phase4_rank,phase4_score_100,phase1_rank,phase1_score_100,phase2_rank,phase2_score_100,symbol,name,prev_rank,universe_rank,intraday_trade_date,intraday_quote_datetime,intraday_source,intraday_pct_change,phase1_excluded_by_top20_risk,phase1_feature_trade_date,phase2_excluded_by_top20_risk,phase2_is_cusum_event,phase2_feature_trade_date,phase4_feature_trade_date,macd,macd_signal_line,macd_hist,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,atr_trade_date,atr_close,atr_14,atr_pct_14,atr_stop_loss_1x,atr_stop_loss_2x,atr_take_profit_2x,atr_take_profit_3x,atr_volatility_regime,prev_source,prev_pattern_match,prev_pattern_id,prev_pattern_ids,prev_reason,prev_watchlist_streak,prev_source_tags,prev_patterns,prev_phase1_score_100,prev_phase2_score_100,prev_phase4_score_100,intraday_quote_time,intraday_fetched_at,intraday_provisional,phase1_model_name,phase1_model_version,phase2_mlfin_daily_vol,phase2_mlfin_cusum_threshold,phase2_model_name,phase2_model_version,phase4_name,phase4_model_name,phase4_model_version,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag
91,96.99,1009,66.16,1748,41.36,603919,金徽酒,,1464,2026-05-08,2026-05-08 15:36:33,eastmoney_direct,4.36,False,2026-05-08,False,1.0,2026-05-08,2026-05-08,-0.15338669002839467,-0.20494971105362722,0.1031260420504651,above_signal,bottom_divergence,bullish,False,True,2026-05-08,18.42,0.5305,0.0288,17.8895,17.3589,19.4811,20.0116,低波动,,False,,,,,,,,,,15:36:33,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.021771254381173184,0.025353210717770636,lightgbm_classifier,barrier_risk_phase2_v1,金徽酒,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,2026-04-15,True,False
95,96.85,1750,41.29,1762,40.89,601003,柳钢股份,,705,2026-05-08,2026-05-08 15:36:51,eastmoney_direct,6.35,False,2026-05-08,False,1.0,2026-05-08,2026-05-08,-0.06360637115345469,-0.1032672094943611,0.07932167668181284,above_signal,none,bullish,False,False,2026-05-08,4.86,0.1516,0.0312,4.7084,4.5569,5.1631,5.3147,中等波动,,False,,,,,,,,,,15:36:51,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.025944663117877874,0.026519779371922087,lightgbm_classifier,barrier_risk_phase2_v1,柳钢股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,True,False
104,96.55,1558,47.73,6,99.83,600067,冠城新材,,49,2026-05-08,2026-05-08 15:36:38,eastmoney_direct,0.85,False,2026-05-08,False,0.0,2026-05-08,2026-05-08,-0.11077837476943087,-0.05645485367953253,-0.10864704217979668,below_signal,none,bearish,False,False,2026-05-08,3.58,0.1336,0.0373,3.4464,3.3128,3.8472,3.9808,中等波动,,False,,,,,,,,,,15:36:38,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.028800424877681807,0.024359043752678427,lightgbm_classifier,barrier_risk_phase2_v1,冠城新材,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,True
105,96.52,1633,45.22,721,75.83,603258,电魂网络,,1131,2026-05-08,2026-05-08 15:36:32,eastmoney_direct,3.26,False,2026-05-08,False,1.0,2026-05-08,2026-05-08,-0.17390643139833983,-0.14990460204364953,-0.048003658709380614,below_signal,none,none,False,False,2026-05-08,17.4,0.5213,0.03,16.8787,16.3574,18.4426,18.9639,低波动,,False,,,,,,,,,,15:36:32,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.02204407710380246,0.029728422381674523,lightgbm_classifier,barrier_risk_phase2_v1,电魂网络,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
114,96.22,851,71.47,557,81.34,000576,甘化科工,,1757,2026-05-08,2026-05-08 15:34:42,eastmoney_direct,2.38,False,2026-05-08,False,0.0,2026-05-08,2026-05-08,-0.20872057598987226,-0.16042729774305858,-0.09658655649362735,below_signal,none,bearish,False,False,2026-05-08,9.02,0.3062,0.034,8.7138,8.4075,9.6325,9.9387,中等波动,,False,,,,,,,,,,15:34:42,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.026736922956688555,0.03074217904795037,lightgbm_classifier,barrier_risk_phase2_v1,甘化科工,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,True
115,96.18,1232,58.68,1661,44.28,600389,江山股份,,266,2026-05-08,2026-05-08 15:36:46,eastmoney_direct,5.5,False,2026-05-08,False,1.0,2026-05-08,2026-05-08,-0.1871867982808162,-0.007081999139540024,-0.36020959828255233,below_signal,none,none,False,False,2026-05-08,28.95,1.3116,0.0453,27.6384,26.3268,31.5732,32.8848,中等波动,,False,,,,,,,,,,15:36:46,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.03052794968451253,0.04177253069455903,lightgbm_classifier,barrier_risk_phase2_v1,江山股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
116,96.15,1175,60.59,1024,65.66,002772,众兴菌业,,2763,2026-05-08,2026-05-08 15:34:42,eastmoney_direct,3.84,False,2026-05-08,False,1.0,2026-05-08,2026-05-08,-0.10893554951575979,0.04765242116390707,-0.3131759413593337,below_signal,none,none,False,False,2026-05-08,17.04,0.8783,0.0515,16.1617,15.2833,18.7967,19.675,中等波动,,False,,,,,,,,,,15:34:42,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.03316141490261536,0.026512994538062794,lightgbm_classifier,barrier_risk_phase2_v1,众兴菌业,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
124,95.88,1194,59.95,191,93.62,603402,陕西旅游,,1239,2026-05-08,2026-05-08 15:36:54,eastmoney_direct,3.11,False,2026-05-08,False,0.0,2026-05-08,2026-05-08,-6.62370379812495,-4.2841729673306785,-4.679061661588543,below_signal,none,none,False,False,2026-05-08,112.91,4.6766,0.0414,108.2334,103.5569,122.2631,126.9397,中等波动,,False,,,,,,,,,,15:36:54,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,,,lightgbm_classifier,barrier_risk_phase2_v1,陕西旅游,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
126,95.82,1551,47.97,509,82.95,603516,淳中科技,,1266,2026-05-08,2026-05-08 15:36:29,eastmoney_direct,-0.27,False,2026-05-08,False,0.0,2026-05-08,2026-05-08,-1.331379508150178,-1.2656415827848413,-0.13147585073067347,below_signal,bottom_divergence,bearish,False,True,2026-05-08,142.61,9.2922,0.0652,133.3178,124.0257,161.1943,170.4865,高波动,,False,,,,,,,,,,15:36:29,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.0452795281655714,0.035210894245893416,lightgbm_classifier,barrier_risk_phase2_v1,淳中科技,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,2026-04-30,False,True
130,95.68,1724,42.16,1210,59.42,603528,多伦科技,,1271,2026-05-08,2026-05-08 15:36:44,eastmoney_direct,3.39,False,2026-05-08,False,1.0,2026-05-08,2026-05-08,-0.11493710349696684,-0.14304169123564642,0.05620917547735915,golden_cross,bottom_divergence,none,False,True,2026-05-08,8.24,0.2565,0.0311,7.9835,7.727,8.753,9.0096,中等波动,,False,,,,,,,,,,15:36:44,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.024561134246110304,0.02989819884707518,lightgbm_classifier,barrier_risk_phase2_v1,多伦科技,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,2026-05-07,False,False
