intraday_trade_date,symbol,name,intraday_pct_change,prev_source,prev_pattern_match,prev_pattern_id,prev_pattern_ids,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase5_score_100,atr_pct_14,建议总仓位%,intraday_source,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,atr_trade_date,atr_close,atr_14,atr_stop_loss_1x,atr_stop_loss_2x,atr_take_profit_2x,atr_take_profit_3x,atr_volatility_regime,intraday_focus_score,centered_risk_score,phase1_center_score,phase2_center_score,phase4_rank,phase4_5d_mean_rank,phase4_5d_mean_top5,phase1_rank,phase2_rank,phase1_excluded_by_top20_risk,phase2_excluded_by_top20_risk,phase2_is_cusum_event,phase1_feature_trade_date,phase2_feature_trade_date,phase4_feature_trade_date,phase1_model_name,phase1_model_version,phase2_mlfin_daily_vol,phase2_mlfin_cusum_threshold,phase2_model_name,phase2_model_version,phase4_name,phase4_model_name,phase4_model_version,track_stock,prev_rank,universe_rank,intraday_quote_datetime,intraday_quote_time,intraday_fetched_at,intraday_provisional,prev_source_tags,prev_reason,prev_watchlist_streak,prev_patterns,prev_phase1_score_100,prev_phase2_score_100,prev_phase4_score_100,prev_phase5_score_100,phase4_5d_count,intraday_selection_source
2026-05-12,600202,哈空调,,phase4_top,False,,,81.7,80.02,97.39,95.47,0.23,76.59,0.0292,40.0,sina_raw,above_signal,bottom_divergence,none,False,True,,2026-04-20,False,False,0.12249796897192144,0.07063321607343465,0.1037295057969736,2026-05-12,6.41,0.1874,6.2226,6.0352,6.7848,6.9721,低波动,117.1132,117.1132,96.6,99.96000000000001,79,23.0,False,547,597,False,False,0.0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.021298275143645122,0.02835736811900886,lightgbm_classifier,barrier_risk_phase2_v1,哈空调,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,21,140,2026-05-12 11:30:00,11:30:00,2026-05-12T12:22:10,True,"[""phase4_top""]",,1,,73.0,70.45,95.65,76.59,3,top20
2026-05-12,002316,亚联发展,,phase4_top,False,,,87.66,81.6,97.09,96.34,0.38,68.99,0.0351,33.52,sina_raw,above_signal,none,none,False,False,,,False,False,0.06408438255915261,0.006769039590800124,0.11463068593670497,2026-05-12,5.63,0.1976,5.4324,5.2348,6.0252,6.2228,中等波动,115.4804,115.4804,84.68,96.80000000000001,88,17.0,False,369,550,False,False,0.0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.030215791453856746,0.03478760087902916,lightgbm_classifier,barrier_risk_phase2_v1,亚联发展,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,22,2383,2026-05-12 11:30:00,11:30:00,2026-05-12T12:22:10,True,"[""phase4_top""]",,2,,93.66,70.11,96.52,68.99,3,top20
2026-05-12,603057,紫燕食品,,,False,,,64.13,88.8,98.46,49.05,18.27,,0.0468,25.15,sina_raw,above_signal,none,none,False,False,,,False,False,0.131121820938791,0.11370351401131101,0.03483661385495995,2026-05-12,25.93,1.2131,24.7169,23.5038,28.3562,29.5693,中等波动,113.8088,113.8088,68.25999999999999,82.4,47,1566.0,False,1071,335,False,False,1.0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.03325638082395761,0.0239780679473615,lightgbm_classifier,barrier_risk_phase2_v1,紫燕食品,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,972,2026-05-12 11:30:00,11:30:00,2026-05-12T12:22:10,True,,,,,,,,,3,top20
2026-05-12,000605,渤海股份,,phase4_top,False,,,82.0,92.09,96.85,91.44,5.69,35.35,0.0271,40.0,sina_raw,above_signal,bottom_divergence,none,False,True,,2026-04-27,False,False,0.08053012781392077,0.026585635227835462,0.10788898517217062,2026-05-12,7.17,0.1945,6.9755,6.7811,7.5589,7.7534,低波动,113.6284,113.6284,96.0,75.82,95,79.0,False,538,237,False,False,0.0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.019668707089625065,0.028784139281680738,lightgbm_classifier,barrier_risk_phase2_v1,渤海股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,16,1774,2026-05-12 11:30:00,11:30:00,2026-05-12T12:22:10,True,"[""phase4_top""]",,1,,74.61,86.78,96.82,35.35,3,top20
2026-05-12,603616,韩建河山,,,False,,,77.47,86.36,95.15,73.27,15.37,,0.0495,23.76,sina_raw,above_signal,bottom_divergence,none,False,True,,2026-04-29,False,False,-0.03522086850944195,-0.09707764604403471,0.12371355506918552,2026-05-12,6.38,0.3159,6.0641,5.7482,7.0118,7.3277,中等波动,113.2188,113.2188,94.94,87.28,146,534.0,False,673,408,False,False,1.0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.037568989437185736,0.03172867385034854,lightgbm_classifier,barrier_risk_phase2_v1,韩建河山,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1313,2026-05-12 11:30:00,11:30:00,2026-05-12T12:22:10,True,,,,,,,,,3,top20
2026-05-12,605177,东亚药业,,,False,,,82.17,85.69,94.51,79.98,7.87,,0.0328,35.83,sina_raw,above_signal,none,none,False,False,,,False,False,0.07515009413778628,-0.04376001922522151,0.2378202267260156,2026-05-12,21.48,0.7052,20.7748,20.0697,22.8903,23.5955,中等波动,112.7972,112.7972,95.66,88.62,165,317.0,False,533,428,False,False,0.0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.023697587196543555,0.022760816584217733,lightgbm_classifier,barrier_risk_phase2_v1,东亚药业,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1558,2026-05-12 11:30:00,11:30:00,2026-05-12T12:22:10,True,,,,,,,,,3,top20
2026-05-12,603585,苏利股份,,,False,,,82.4,98.19,97.32,83.37,9.37,,0.0537,21.92,sina_raw,below_signal,none,none,False,False,,,False,False,-0.9521416007731744,-0.5562242208765931,-0.7918347597931628,2026-05-12,18.55,0.9958,17.5542,16.5584,20.5416,21.5374,中等波动,112.5704,112.5704,95.19999999999999,63.620000000000005,81,236.0,False,526,55,False,False,1.0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.039584644099842525,0.021459999820591318,lightgbm_classifier,barrier_risk_phase2_v1,苏利股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1291,2026-05-12 11:30:00,11:30:00,2026-05-12T12:22:10,True,,,,,,,,,3,top20
2026-05-12,605500,森林包装,,,False,,,70.26,80.49,93.81,79.05,10.73,,0.0221,40.0,sina_raw,above_signal,none,none,False,False,,,False,False,0.08424987351450319,0.05605788866154998,0.05638396970590642,2026-05-12,9.33,0.206,9.124,8.9181,9.7419,9.9479,低波动,112.134,112.134,80.52000000000001,99.02000000000001,186,348.0,False,888,583,False,False,0.0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.017882273828385916,0.01952849336535562,lightgbm_classifier,barrier_risk_phase2_v1,森林包装,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1608,2026-05-12 11:30:00,11:30:00,2026-05-12T12:22:10,True,,,,,,,,,3,top20
2026-05-12,002622,皓宸医疗,,,False,,,70.3,87.23,95.38,73.45,8.91,,0.037,31.8,sina_raw,above_signal,none,none,False,False,,,False,False,0.039463837311381145,-0.0002059041215430133,0.07933948286584831,2026-05-12,2.8,0.1036,2.6964,2.5929,3.0071,3.1107,中等波动,112.0928,112.0928,80.6,85.53999999999999,139,526.0,False,887,382,False,False,0.0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.024333120295743388,0.03420582963509858,lightgbm_classifier,barrier_risk_phase2_v1,皓宸医疗,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2644,2026-05-12 11:30:00,11:30:00,2026-05-12T12:22:10,True,,,,,,,,,3,top20
2026-05-12,605007,五洲特纸,,,False,,,85.25,69.23,95.31,47.76,31.8,,0.0367,32.05,sina_raw,above_signal,none,none,False,False,,,False,False,0.31695712035810075,0.30406413224212053,0.02578597623196044,2026-05-12,15.21,0.5584,14.6516,14.0932,16.3268,16.8852,中等波动,111.8852,111.8852,89.5,78.46000000000001,141,1622.0,False,441,919,False,False,0.0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.030331563138623844,0.024287330208878556,lightgbm_classifier,barrier_risk_phase2_v1,五洲特纸,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1513,2026-05-12 11:30:00,11:30:00,2026-05-12T12:22:10,True,,,,,,,,,3,top20
