intraday_trade_date,symbol,name,intraday_pct_change,prev_source,prev_pattern_match,prev_pattern_id,prev_pattern_ids,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase8_score_100,phase5_score_100,atr_pct_14,建议总仓位%,intraday_source,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,atr_trade_date,atr_close,atr_14,atr_stop_loss_1x,atr_stop_loss_2x,atr_take_profit_2x,atr_take_profit_3x,atr_volatility_regime,intraday_focus_score,centered_risk_score,phase1_center_score,phase2_center_score,phase4_rank,phase4_5d_mean_rank,phase4_5d_mean_top5,phase8_rank,phase8_raw_score,phase8_feature_trade_date,phase8_model_name,phase8_model_version,today_limit_up_excluded,today_high_return_vs_prev_close,today_close_return_vs_prev_close,phase1_rank,phase2_rank,phase1_excluded_by_top20_risk,phase2_excluded_by_top20_risk,phase2_is_cusum_event,phase1_feature_trade_date,phase2_feature_trade_date,phase4_feature_trade_date,phase1_model_name,phase1_model_version,phase2_mlfin_daily_vol,phase2_mlfin_cusum_threshold,phase2_model_name,phase2_model_version,phase4_name,phase4_model_name,phase4_model_version,track_stock,prev_rank,universe_rank,intraday_quote_datetime,intraday_quote_time,intraday_fetched_at,intraday_provisional,prev_source_tags,prev_reason,prev_watchlist_streak,prev_patterns,prev_phase1_score_100,prev_phase2_score_100,prev_phase4_score_100,prev_phase5_score_100,phase4_5d_count,intraday_selection_source
2026-05-13,001311,多利科技,1.4400535833891448,,False,,,75.87,79.19,97.92,80.82,18.5,67.46,,0.0446,26.36,sina_raw,above_signal,bottom_divergence,none,False,True,,2026-04-28,False,False,-0.5223179736869561,-0.6566319254096431,0.268627903445374,2026-05-13,30.29,1.3519,28.9381,27.5862,32.9938,34.3457,中等波动,117.0648,117.0648,91.74000000000001,98.38,63,241.0,False,928.0,-0.02751444671140372,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.023777628935030215,0.014400535833891448,721,622,False,False,0.0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.028947777394037064,0.02778749927290456,lightgbm_classifier,barrier_risk_phase2_v1,多利科技,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2058,2026-05-13 14:15:27,14:15:27,2026-05-13T14:15:30,True,,,,,,,,,4,top20
2026-05-13,603818,曲美家居,0.0,,False,,,77.35,79.86,96.72,87.8,7.51,73.89,,0.0309,38.04,sina_raw,above_signal,bottom_divergence,bullish,False,True,,2026-04-27,True,False,0.07250855949764423,0.02500180320242585,0.09501351259043676,2026-05-13,3.79,0.1172,3.6728,3.5555,4.0245,4.1417,中等波动,116.2624,116.2624,94.69999999999999,99.72,99,103.0,False,745.0,-0.019346041368785354,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.01319261213720302,0.0,677,602,False,False,0.0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.022588904998271358,0.026894338141668698,lightgbm_classifier,barrier_risk_phase2_v1,曲美家居,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1414,2026-05-13 14:15:20,14:15:20,2026-05-13T14:15:30,True,,,,,,,,,4,top20
2026-05-13,603276,恒兴新材,-1.2630422844590927,,False,,,64.75,82.27,98.09,62.28,20.9,89.08,,0.0283,40.0,sina_raw,above_signal,none,none,False,False,,,False,False,0.356012345271818,0.26912811121432456,0.17376846811498692,2026-05-13,17.98,0.5086,17.4714,16.9629,18.9971,19.5057,低波动,115.1052,115.1052,69.5,95.46000000000001,58,930.0,False,312.0,-0.0009173947989558911,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0016474464579900872,-0.012630422844590927,1053,530,False,False,1.0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.018531335916208,0.025344203572701188,lightgbm_classifier,barrier_risk_phase2_v1,恒兴新材,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1143,2026-05-13 14:15:22,14:15:22,2026-05-13T14:15:30,True,,,,,,,,,4,top20
2026-05-13,603022,新通联,0.08726003490400203,phase4_top,False,,,82.14,83.85,96.21,91.18,7.03,86.49,32.88,0.0285,40.0,sina_raw,above_signal,none,bullish,False,False,,,True,False,0.257654506244565,0.16173771672452605,0.19183357904007786,2026-05-13,11.47,0.3268,11.1432,10.8165,12.1235,12.4503,低波动,114.9436,114.9436,95.72,92.30000000000001,114,54.0,False,386.0,-0.003874468582606562,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.013089005235601858,0.0008726003490400203,534,483,False,False,0.0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.021824322076178883,0.02854881723541418,lightgbm_classifier,barrier_risk_phase2_v1,新通联,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,32,944,2026-05-13 14:15:23,14:15:23,2026-05-13T14:15:30,True,"[""phase4_top""]",,1,,44.75,76.53,98.43,32.88,4,top20
2026-05-13,001387,雪祺电气,-0.9688581314878819,,False,,,59.58,79.89,97.65,93.12,0.98,57.14,,0.0245,40.0,sina_raw,above_signal,bottom_divergence,none,False,True,,2026-04-28,False,False,0.26932008113968386,0.16105070082846548,0.21653876062243677,2026-05-13,14.31,0.3509,13.9591,13.6082,15.0118,15.3626,低波动,114.3564,114.3564,59.16,99.78,71,33.0,False,10.0,-0.022030527333363508,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.006920415224913601,-0.009688581314878819,1207,601,False,False,1.0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.02053401131487894,0.025002091511717107,lightgbm_classifier,barrier_risk_phase2_v1,雪祺电气,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2096,2026-05-13 14:15:27,14:15:27,2026-05-13T14:15:30,True,,,,,,,,,4,top20
2026-05-13,603183,建研院,-0.20876826722338038,,False,,,82.07,79.49,94.71,84.64,11.64,64.94,,0.0328,35.82,sina_raw,above_signal,none,none,False,False,,,False,False,0.0646782148289029,0.056229082012693554,0.016898265632418696,2026-05-13,4.78,0.157,4.623,4.466,5.094,5.251,中等波动,114.2564,114.2564,95.86000000000001,98.97999999999999,159,161.0,False,1000.0,-0.03020258876937417,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.014613778705636848,-0.0020876826722338038,536,613,False,False,0.0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.02226672026663264,0.02651108651385119,lightgbm_classifier,barrier_risk_phase2_v1,建研院,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1075,2026-05-13 14:15:21,14:15:21,2026-05-13T14:15:30,True,,,,,,,,,4,top20
2026-05-13,002316,亚联发展,-0.35460992907800915,phase4_top,False,,,92.53,79.83,95.88,96.53,0.46,84.63,68.99,0.0347,33.94,sina_raw,above_signal,none,bullish,False,False,,,True,False,0.06958558554116934,0.0194599841085094,0.10025120286531988,2026-05-13,5.62,0.1948,5.4252,5.2304,6.0096,6.2045,中等波动,113.8344,113.8344,74.94,99.66,124,5.0,True,439.0,-0.006203572380975431,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.014184397163120588,-0.0035460992907800915,224,603,False,False,0.0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.029905319167833087,0.0347854312944431,lightgbm_classifier,barrier_risk_phase2_v1,亚联发展,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,16,2383,2026-05-13 14:15:27,14:15:27,2026-05-13T14:15:30,True,"[""phase4_top""]",,3,,88.43,81.8,97.09,68.99,4,top20
2026-05-13,002388,新亚制程,-0.1828153564899404,,False,,,76.04,71.82,96.28,92.08,6.48,86.52,,0.0329,35.77,sina_raw,above_signal,bottom_divergence,none,False,True,,2026-04-28,False,False,0.12009108732730578,0.07973053295775911,0.08072110873909333,2026-05-13,5.46,0.1796,5.2804,5.1008,5.8192,5.9988,中等波动,113.6832,113.6832,92.08000000000001,83.63999999999999,112,44.0,False,385.0,-0.003728721623953963,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.009140767824497242,-0.001828153564899404,716,842,False,False,0.0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.025031269135876884,0.03195799262023519,lightgbm_classifier,barrier_risk_phase2_v1,新亚制程,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2449,2026-05-13 14:15:27,14:15:27,2026-05-13T14:15:30,True,,,,,,,,,4,top20
2026-05-13,600448,华纺股份,-1.1173184357541888,,False,,,77.98,72.32,95.44,79.16,8.45,71.22,,0.0365,32.21,sina_raw,above_signal,none,none,False,False,,,False,False,0.08133800116858536,0.05950135749236998,0.043673287352430756,2026-05-13,3.54,0.1293,3.4107,3.2813,3.7987,3.928,中等波动,113.2736,113.2736,95.96000000000001,84.63999999999999,137,294.0,False,821.0,-0.022433040032937304,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.005586592178770999,-0.011173184357541888,658,827,False,False,0.0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.02440634518422961,0.026576357039935942,lightgbm_classifier,barrier_risk_phase2_v1,华纺股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,299,2026-05-13 14:15:18,14:15:18,2026-05-13T14:15:30,True,,,,,,,,,4,top20
2026-05-13,603041,美思德,0.6526468455402501,,False,,,64.11,72.62,97.45,81.84,13.82,78.34,,0.0282,40.0,sina_raw,above_signal,none,none,False,False,,,False,False,0.3278767363142716,0.2758125487412782,0.10412837514598683,2026-05-13,13.88,0.3916,13.4884,13.0969,14.6631,15.0547,低波动,113.1364,113.1364,68.22,85.24000000000001,77,215.0,False,618.0,-0.013862443618678826,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.022480058013053084,0.006526468455402501,1072,818,False,False,0.0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.02066848779191589,0.021259769487086643,lightgbm_classifier,barrier_risk_phase2_v1,美思德,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,961,2026-05-13 14:15:22,14:15:22,2026-05-13T14:15:30,True,,,,,,,,,4,top20
