phase4_rank,phase4_score_100,phase1_rank,phase1_score_100,phase2_rank,phase2_score_100,symbol,name,prev_rank,universe_rank,intraday_trade_date,intraday_quote_datetime,intraday_source,intraday_pct_change,phase1_excluded_by_top20_risk,phase1_feature_trade_date,phase2_excluded_by_top20_risk,phase2_is_cusum_event,phase2_feature_trade_date,phase4_feature_trade_date,macd,macd_signal_line,macd_hist,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,atr_trade_date,atr_close,atr_14,atr_pct_14,atr_stop_loss_1x,atr_stop_loss_2x,atr_take_profit_2x,atr_take_profit_3x,atr_volatility_regime,prev_source,prev_pattern_match,prev_pattern_id,prev_pattern_ids,prev_reason,prev_watchlist_streak,prev_source_tags,prev_patterns,prev_phase1_score_100,prev_phase2_score_100,prev_phase4_score_100,intraday_quote_time,intraday_fetched_at,intraday_provisional,phase1_model_name,phase1_model_version,phase2_mlfin_daily_vol,phase2_mlfin_cusum_threshold,phase2_model_name,phase2_model_version,phase4_name,phase4_model_name,phase4_model_version,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag
1,100.0,10,0.0,6,44.44,001333,光华股份,,2074,2026-05-08,2026-05-08 15:34:57,eastmoney_direct,9.99,True,2026-05-08,False,1,2026-05-08,2026-05-08,-0.26351650115772074,-0.3132545049104676,0.09947600750549368,golden_cross,none,none,False,False,2026-05-08,25.77,0.7219,0.028,25.0481,24.3262,27.2138,27.9358,低波动,,False,,,,,,,,,,15:34:57,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.025443460042496993,0.023821066142913436,lightgbm_classifier,barrier_risk_phase2_v1,光华股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
2,88.89,7,33.33,5,55.56,600866,星湖科技,,617,2026-05-08,2026-05-08 15:36:31,eastmoney_direct,3.96,False,2026-05-08,False,1,2026-05-08,2026-05-08,-0.34807598878211365,-0.2798704433435991,-0.13641109087702907,below_signal,none,bearish,False,False,2026-05-08,6.04,0.1993,0.033,5.8407,5.6415,6.4385,6.6378,中等波动,,False,,,,,,,,,,15:36:31,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.021946076347241356,0.02554368792651756,lightgbm_classifier,barrier_risk_phase2_v1,星湖科技,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,True
3,77.78,3,77.78,1,100.0,600067,冠城新材,,49,2026-05-08,2026-05-08 15:36:38,eastmoney_direct,0.85,False,2026-05-08,False,0,2026-05-08,2026-05-08,-0.11077837476943087,-0.05645485367953253,-0.10864704217979668,below_signal,none,bearish,False,False,2026-05-08,3.58,0.1336,0.0373,3.4464,3.3128,3.8472,3.9808,中等波动,,False,,,,,,,,,,15:36:38,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.028800424877681807,0.024359043752678427,lightgbm_classifier,barrier_risk_phase2_v1,冠城新材,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,True
4,66.67,4,66.67,4,66.67,603258,电魂网络,,1131,2026-05-08,2026-05-08 15:36:32,eastmoney_direct,3.26,False,2026-05-08,False,1,2026-05-08,2026-05-08,-0.17390643139833983,-0.14990460204364953,-0.048003658709380614,below_signal,none,none,False,False,2026-05-08,17.4,0.5213,0.03,16.8787,16.3574,18.4426,18.9639,低波动,,False,,,,,,,,,,15:36:32,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.02204407710380246,0.029728422381674523,lightgbm_classifier,barrier_risk_phase2_v1,电魂网络,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
5,55.56,5,55.56,8,22.22,001278,一彬科技,,2039,2026-05-08,2026-05-08 15:34:00,eastmoney_direct,7.95,False,2026-05-08,False,1,2026-05-08,2026-05-08,0.15688797406517452,-0.036255905653106484,0.386287759436562,above_signal,bottom_divergence,bullish,False,True,2026-05-08,23.63,1.0693,0.0453,22.5607,21.4915,25.7685,26.8378,中等波动,,False,,,,,,,,,,15:34:00,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.03229288772239283,0.029214211481588984,lightgbm_classifier,barrier_risk_phase2_v1,一彬科技,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,2026-04-28,True,False
6,44.44,6,44.44,9,11.11,600751,海航科技,,528,2026-05-08,2026-05-08 15:36:40,eastmoney_direct,5.85,False,2026-05-08,True,1,2026-05-08,2026-05-08,-0.03448759550134106,-0.056938712577184816,0.04490223415168751,golden_cross,bottom_divergence,none,False,True,2026-05-08,3.98,0.1468,0.0369,3.8332,3.6864,4.2736,4.4204,中等波动,,False,,,,,,,,,,15:36:40,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.028457002336277588,0.029898199830123012,lightgbm_classifier,barrier_risk_phase2_v1,海航科技,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,2026-04-28,False,False
7,33.33,2,88.89,10,0.0,603598,引力传媒,,1297,2026-05-08,2026-05-08 15:36:42,eastmoney_direct,3.66,False,2026-05-08,True,0,2026-05-08,2026-05-08,0.49801509300405655,0.07492719876770992,0.8461757884726933,above_signal,bottom_divergence,none,False,True,2026-05-08,24.9,1.0937,0.0439,23.8063,22.7127,27.0873,28.181,中等波动,,False,,,,,,,,,,15:36:42,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.04124979067312291,0.03740325551082453,lightgbm_classifier,barrier_risk_phase2_v1,引力传媒,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,2026-04-30,False,False
8,22.22,1,100.0,7,33.33,002800,天顺股份,,2786,2026-05-08,2026-05-08 15:34:18,eastmoney_direct,6.13,False,2026-05-08,False,1,2026-05-08,2026-05-08,-0.5764488175107765,-0.7308451953529389,0.30879275568432485,above_signal,none,none,False,False,2026-05-08,18.18,0.9921,0.0546,17.1879,16.1958,20.1642,21.1563,中等波动,,False,,,,,,,,,,15:34:18,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.03720180402277828,0.03141974794398424,lightgbm_classifier,barrier_risk_phase2_v1,天顺股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
9,11.11,9,11.11,2,88.89,002209,达 意 隆,,2289,2026-05-08,2026-05-08 15:34:45,eastmoney_direct,3.06,True,2026-05-08,False,1,2026-05-08,2026-05-08,-0.1617159334994529,0.09352527488870527,-0.5104824167763163,below_signal,bottom_divergence,bearish,False,True,2026-05-08,14.82,0.7845,0.0529,14.0355,13.2509,16.3891,17.1736,中等波动,,False,,,,,,,,,,15:34:45,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,0.03350772094703364,0.029881980681704882,lightgbm_classifier,barrier_risk_phase2_v1,达 意 隆,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,2026-04-20,False,True
10,0.0,8,22.22,3,77.78,001325,元创股份,,2068,2026-05-08,2026-05-08 15:34:21,eastmoney_direct,2.35,False,2026-05-08,False,0,2026-05-08,2026-05-08,-0.9892945087770215,0.4358363957431507,-2.8502618090403447,below_signal,none,bullish,False,False,2026-05-08,54.35,2.629,0.0484,51.721,49.0921,59.6079,62.2369,中等波动,,False,,,,,,,,,,15:34:21,2026-05-08T15:36:58,True,logistic_regression,tail_risk_phase1_v1,,,lightgbm_classifier,barrier_risk_phase2_v1,元创股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,True,False
