phase4_rank,phase4_score_100,intraday_focus_score,centered_risk_score,phase1_center_score,phase2_center_score,phase1_rank,phase1_score_100,phase2_rank,phase2_score_100,symbol,name,track_stock,prev_rank,universe_rank,intraday_trade_date,intraday_quote_datetime,intraday_source,intraday_pct_change,建议总仓位%,phase1_excluded_by_top20_risk,phase1_feature_trade_date,phase2_excluded_by_top20_risk,phase2_is_cusum_event,phase2_feature_trade_date,phase4_feature_trade_date,macd,macd_signal_line,macd_hist,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,atr_trade_date,atr_close,atr_14,atr_pct_14,atr_stop_loss_1x,atr_stop_loss_2x,atr_take_profit_2x,atr_take_profit_3x,atr_volatility_regime,prev_source,prev_pattern_match,prev_pattern_id,prev_pattern_ids,prev_reason,prev_watchlist_streak,prev_source_tags,prev_patterns,prev_phase1_score_100,prev_phase2_score_100,prev_phase4_score_100,intraday_quote_time,intraday_fetched_at,intraday_provisional,phase1_model_name,phase1_model_version,phase2_mlfin_daily_vol,phase2_mlfin_cusum_threshold,phase2_model_name,phase2_model_version,phase4_name,phase4_model_name,phase4_model_version,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag
1,100.0,101.6,101.6,20.0,0.0,13,40.0,16,25.0,002579,中京电子,False,2,2610,2026-05-11,2026-05-11 15:00:00,sina_raw,,28.19,False,2026-05-11,False,0,2026-05-11,2026-05-11,0.17532492226672503,0.1446082357032082,0.061433373127033675,golden_cross,none,none,False,False,2026-05-11,13.46,0.5618,0.0417,12.8982,12.3363,14.5837,15.1455,中等波动,pattern,True,5,"[""5""]","recent 10d high on 2026-04-22 at 13.52, MA20 touch on 2026-05-08, latest distance=-1.92%, vol5_20=0.86",2,"[""pattern""]","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-22 at 13.52, MA20 touch on 2026-05-08, latest distance=-1.92%, vol5_20=0.86"", ""close"": 13.26, ""distance_to_ma20"": 0.0321, ""volume_ratio_20"": 0.7552, ""recent_high_date"": ""2026-04-22"", ""recent_high_price"": 13.52, ""days_since_recent_high"": 9.0, ""distance_from_recent_high_pct"": -0.0192, ""ma20_slope_short_pct"": 0.0025, ""ma20_slope_long_pct"": 0.0316, ""ma60_slope_short_pct"": 0.0024, ""ma60_slope_long_pct"": 0.0053, ""pullback_volume_contraction_ratio"": 0.8591, ""ma20_touch_date"": ""2026-05-08"", ""ma20_touch_distance"": 0.112}]",68.46,21.14,97.76,15:00:00,2026-05-11T16:58:33,True,logistic_regression,tail_risk_phase1_v1,0.031047063969677716,0.03164287261259864,lightgbm_classifier,barrier_risk_phase2_v1,中京电子,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
2,95.0,113.0,113.0,90.0,90.0,6,75.0,6,75.0,002949,华阳国际,False,,2913,2026-05-11,2026-05-11 15:00:00,sina_raw,,33.89,False,2026-05-11,False,1,2026-05-11,2026-05-11,0.13017845402474393,0.057731668548896116,0.14489357095169564,above_signal,none,none,False,False,2026-05-11,14.85,0.5155,0.0347,14.3345,13.8189,15.8811,16.3966,中等波动,,False,,,,,,,,,,15:00:00,2026-05-11T16:58:33,True,logistic_regression,tail_risk_phase1_v1,0.027833791943978864,0.029807158326167718,lightgbm_classifier,barrier_risk_phase2_v1,华阳国际,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
3,90.0,90.0,90.0,0.0,0.0,15,30.0,18,15.0,002443,金洲管道,False,19,2497,2026-05-11,2026-05-11 15:00:00,sina_raw,,25.98,False,2026-05-11,True,0,2026-05-11,2026-05-11,0.768585517429921,0.6450532231410135,0.24706458857781488,above_signal,none,none,False,False,2026-05-11,12.0,0.5435,0.0453,11.4565,10.913,13.087,13.6305,中等波动,pattern,True,1,"[""1""]","near old high 12.41 from 2016-10-26, distance=4.83%, drawdown=67.20%, vol20=1.04",1,"[""pattern""]","[{""pattern_id"": 1, ""reason"": ""near old high 12.41 from 2016-10-26, distance=4.83%, drawdown=67.20%, vol20=1.04"", ""close"": 11.81, ""old_high_date"": ""2016-10-26"", ""old_high_price"": 12.41, ""days_since_old_high"": 2253.0, ""max_drawdown_since_old_high"": 0.672, ""distance_to_old_high_pct"": 0.0483, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 1.0364}]",6.58,8.76,75.94,15:00:00,2026-05-11T16:58:33,True,logistic_regression,tail_risk_phase1_v1,0.030320601702288195,0.02510358001200823,lightgbm_classifier,barrier_risk_phase2_v1,金洲管道,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
4,85.0,85.0,85.0,0.0,0.0,21,0.0,21,0.0,002805,丰元股份,False,3,2790,2026-05-11,2026-05-11 15:00:00,sina_raw,,24.06,True,2026-05-11,True,1,2026-05-11,2026-05-11,1.8951999072652228,1.1312423313799171,1.5279151517706113,above_signal,top_divergence,none,True,False,2026-05-11,25.46,1.2447,0.0489,24.2153,22.9706,27.9494,29.1941,中等波动,pattern,True,2,"[""2""]","price above old high 23.85 from 2025-11-18, post_breakout=2d, vol_ratio=1.07",1,"[""pattern""]","[{""pattern_id"": 2, ""reason"": ""price above old high 23.85 from 2025-11-18, post_breakout=2d, vol_ratio=1.07"", ""close"": 24.65, ""old_high_date"": ""2025-11-18"", ""old_high_price"": 23.85, ""days_since_old_high"": 111.0, ""max_drawdown_since_old_high"": 0.3459, ""distance_to_old_high_pct"": -0.0335, ""breakout_date"": ""2026-05-06"", ""breakout_volume_ratio"": 1.0671, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 0.7627, ""breakout_turnover"": 0.2487, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0335, ""days_after_breakout"": 2.0, ""post_breakout_max_high_extension_pct"": 0.0541, ""volume_ratio_20"": 2.1009}]",0.91,0.7,99.23,15:00:00,2026-05-11T16:58:33,True,logistic_regression,tail_risk_phase1_v1,0.03476100775443602,0.03508558156637637,lightgbm_classifier,barrier_risk_phase2_v1,丰元股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-04-20,,False,False
5,80.0,80.0,80.0,0.0,0.0,16,25.0,15,30.0,002293,罗莱生活,False,8,2362,2026-05-11,2026-05-11 15:00:00,sina_raw,,32.79,False,2026-05-11,False,1,2026-05-11,2026-05-11,0.21024892380965632,0.20365823575941389,0.013181376100484865,above_signal,bottom_divergence,bearish,False,True,2026-05-11,10.98,0.3939,0.0359,10.5861,10.1923,11.7677,12.1616,中等波动,pattern,True,3,"[""3""]","post breakout 8d from 2026-04-23, below old high 11.15, vol_ratio=1.55",1,"[""pattern""]","[{""pattern_id"": 3, ""reason"": ""post breakout 8d from 2026-04-23, below old high 11.15, vol_ratio=1.55"", ""close"": 10.7, ""old_high_date"": ""2023-05-09"", ""old_high_price"": 11.15, ""days_since_old_high"": 725.0, ""max_drawdown_since_old_high"": 0.5, ""distance_to_old_high_pct"": 0.0404, ""breakout_date"": ""2026-04-23"", ""breakout_volume_ratio"": 1.5516, ""breakout_close_position"": 0.6986, ""breakout_upper_shadow_pct"": 0.3014, ""breakout_body_pct"": 0.3562, ""breakout_turnover"": 0.039, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0, ""days_after_breakout"": 8.0, ""post_breakout_max_high_extension_pct"": 0.0401, ""volume_ratio_20"": 1.0211}]",38.22,51.81,88.52,15:00:00,2026-05-11T16:58:33,True,logistic_regression,tail_risk_phase1_v1,0.020100726662343804,0.0213644472197242,lightgbm_classifier,barrier_risk_phase2_v1,罗莱生活,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,2026-04-16,False,True
6,75.0,75.8,75.8,10.0,0.0,14,35.0,17,20.0,002628,成都路桥,False,17,2649,2026-05-11,2026-05-11 15:00:00,sina_raw,,30.75,False,2026-05-11,True,1,2026-05-11,2026-05-11,0.1632564874306226,0.13515228604037,0.05620840278050521,above_signal,none,none,False,False,2026-05-11,5.87,0.2246,0.0383,5.6454,5.4208,6.3192,6.5438,中等波动,pattern,True,1,"[""1""]","near old high 6.08 from 2025-07-22, distance=3.95%, drawdown=35.03%, vol20=0.97",1,"[""pattern""]","[{""pattern_id"": 1, ""reason"": ""near old high 6.08 from 2025-07-22, distance=3.95%, drawdown=35.03%, vol20=0.97"", ""close"": 5.84, ""old_high_date"": ""2025-07-22"", ""old_high_price"": 6.08, ""days_since_old_high"": 190.0, ""max_drawdown_since_old_high"": 0.3503, ""distance_to_old_high_pct"": 0.0395, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.968}]",55.47,16.04,73.39,15:00:00,2026-05-11T16:58:33,True,logistic_regression,tail_risk_phase1_v1,0.027808985806769007,0.025835912008455687,lightgbm_classifier,barrier_risk_phase2_v1,成都路桥,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
7,70.0,70.0,70.0,0.0,0.0,18,15.0,19,10.0,601869,长飞光纤,False,15,882,2026-05-11,2026-05-11 15:00:01,sina_raw,,18.79,True,2026-05-11,True,1,2026-05-11,2026-05-11,22.79287211032107,26.187754006729808,-6.7897637928174746,below_signal,top_divergence,none,True,False,2026-05-11,400.31,25.0577,0.0626,375.2523,350.1945,450.4255,475.4832,高波动,pattern,True,5,"[""5""]","recent 10d high on 2026-04-23 at 422.88, MA20 touch on 2026-05-07, latest distance=-6.07%, vol5_20=0.88",1,"[""pattern""]","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-23 at 422.88, MA20 touch on 2026-05-07, latest distance=-6.07%, vol5_20=0.88"", ""close"": 397.23, ""distance_to_ma20"": 0.0556, ""volume_ratio_20"": 1.0447, ""recent_high_date"": ""2026-04-23"", ""recent_high_price"": 422.88, ""days_since_recent_high"": 8.0, ""distance_from_recent_high_pct"": -0.0607, ""ma20_slope_short_pct"": 0.0054, ""ma20_slope_long_pct"": 0.1179, ""ma60_slope_short_pct"": 0.0148, ""ma60_slope_long_pct"": 0.1762, ""pullback_volume_contraction_ratio"": 0.8847, ""ma20_touch_date"": ""2026-05-07"", ""ma20_touch_distance"": -6.1205}]",4.13,6.17,85.07,15:00:01,2026-05-11T16:58:33,True,logistic_regression,tail_risk_phase1_v1,0.047276336110039424,0.027789789755120677,lightgbm_classifier,barrier_risk_phase2_v1,长飞光纤,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-04-27,,False,False
8,65.0,75.4,75.4,70.0,40.0,8,65.0,11,50.0,605162,新中港,False,14,1552,2026-05-11,2026-05-11 15:00:03,sina_raw,,17.57,False,2026-05-11,False,0,2026-05-11,2026-05-11,-0.11670271916868913,0.12397548891361218,-0.4813564161646026,below_signal,bottom_divergence,none,False,True,2026-05-11,11.68,0.7821,0.067,10.8979,10.1157,13.2443,14.0264,高波动,pattern,True,6,"[""6""]","double-volume break reclaim: anchor=2026-03-31 support=11.61, peak=15.48 on 2026-04-08, launch=33.33%, limit_up_like=5, pullback_max/rise_tail=0.84, broke=2026-05-06 vol_ratio=0.37, reclaimed=2026-05-07 in 1d",1,"[""pattern""]","[{""pattern_id"": 6, ""reason"": ""double-volume break reclaim: anchor=2026-03-31 support=11.61, peak=15.48 on 2026-04-08, launch=33.33%, limit_up_like=5, pullback_max/rise_tail=0.84, broke=2026-05-06 vol_ratio=0.37, reclaimed=2026-05-07 in 1d"", ""close"": 11.77, ""pullback_low_date"": ""2026-04-30"", ""pullback_low_price"": 11.09, ""peak_to_pullback_drawdown_pct"": 0.2836, ""pullback_back_half_volume_ratio"": 0.4871, ""volume_ratio_20"": 0.4431, ""pattern6_branch"": ""break_reclaim"", ""anchor_date"": ""2026-03-31"", ""anchor_close"": 11.61, ""support_price"": 11.61, ""anchor_volume_ratio_prev"": 1.1209, ""anchor_volume_ratio_ma20"": 1.6448, ""launch_confirm_high_date"": ""2026-04-08"", ""launch_confirm_high_price"": 15.48, ""launch_confirm_return_pct"": 0.3333, ""peak_date"": ""2026-04-08"", ""peak_price"": 15.48, ""anchor_to_peak_return_pct"": 0.3333, ""limit_up_like_count"": 5.0, ""pullback_volume_ratio_to_anchor"": 0.8831, ""pullback_front_half_avg_volume"": 39459994.2222, ""pullback_back_half_avg_volume"": 19222045.2, ""rise_tail_avg_volume"": 62073972.6667, ""pullback_max_volume"": 51978014.0, ""pullback_max_rise_tail_volume_ratio"": 0.8374, ""breakdown_date"": ""2026-05-06"", ""breakdown_volume_ratio_to_anchor"": 0.3736, ""reclaim_date"": ""2026-05-07"", ""days_to_reclaim"": 1.0, ""post_reclaim_days"": 1.0}]",44.03,57.52,76.31,15:00:03,2026-05-11T16:58:33,True,logistic_regression,tail_risk_phase1_v1,0.04070219390572888,0.027873845850237344,lightgbm_classifier,barrier_risk_phase2_v1,新中港,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,2026-04-20,False,False
9,60.0,75.2,75.2,40.0,100.0,11,50.0,5,80.0,605177,东亚药业,False,,1557,2026-05-11,2026-05-11 15:00:03,sina_raw,,34.61,False,2026-05-11,False,0,2026-05-11,2026-05-11,0.030608300756075124,-0.07348754756597346,0.20819169664409717,above_signal,none,none,False,False,2026-05-11,21.48,0.7302,0.034,20.7498,20.0197,22.9403,23.6705,中等波动,,False,,,,,,,,,,15:00:03,2026-05-11T16:58:33,True,logistic_regression,tail_risk_phase1_v1,0.023935551099490922,0.02276004873945353,lightgbm_classifier,barrier_risk_phase2_v1,东亚药业,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,,False,False
10,55.0,57.4,57.4,0.0,20.0,20,5.0,13,40.0,600929,雪天盐业,False,10,657,2026-05-11,2026-05-11 15:00:04,sina_raw,,26.55,True,2026-05-11,False,1,2026-05-11,2026-05-11,0.16000382491997112,0.19371498384414412,-0.06742231784834601,below_signal,bottom_divergence,bearish,False,True,2026-05-11,6.83,0.3027,0.0443,6.5273,6.2246,7.4354,7.738,中等波动,pattern,True,5,"[""5""]","recent 10d high on 2026-04-22 at 7.30, MA20 touch on 2026-05-08, latest distance=-1.37%, vol5_20=0.77",1,"[""pattern""]","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-22 at 7.30, MA20 touch on 2026-05-08, latest distance=-1.37%, vol5_20=0.77"", ""close"": 7.2, ""distance_to_ma20"": 0.0434, ""volume_ratio_20"": 1.3887, ""recent_high_date"": ""2026-04-22"", ""recent_high_price"": 7.3, ""days_since_recent_high"": 9.0, ""distance_from_recent_high_pct"": -0.0137, ""ma20_slope_short_pct"": 0.0085, ""ma20_slope_long_pct"": 0.0869, ""ma60_slope_short_pct"": 0.0026, ""ma60_slope_long_pct"": 0.0262, ""pullback_volume_contraction_ratio"": 0.7722, ""ma20_touch_date"": ""2026-05-08"", ""ma20_touch_distance"": -0.1305}]",7.42,15.54,94.21,15:00:04,2026-05-11T16:58:33,True,logistic_regression,tail_risk_phase1_v1,0.023595218765515028,0.02172759864335508,lightgbm_classifier,barrier_risk_phase2_v1,雪天盐业,lightgbm_regressor,alpha158_qlib_return_phase4_v1,,2026-04-29,False,True
