intraday_trade_date,symbol,name,intraday_pct_change,prev_source,prev_pattern_match,prev_pattern_id,prev_pattern_ids,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase5_score_100,atr_pct_14,建议总仓位%,intraday_source,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,atr_trade_date,atr_close,atr_14,atr_stop_loss_1x,atr_stop_loss_2x,atr_take_profit_2x,atr_take_profit_3x,atr_volatility_regime,intraday_focus_score,centered_risk_score,phase1_center_score,phase2_center_score,phase4_rank,phase4_5d_mean_rank,phase4_5d_mean_top5,phase1_rank,phase2_rank,phase1_excluded_by_top20_risk,phase2_excluded_by_top20_risk,phase2_is_cusum_event,phase1_feature_trade_date,phase2_feature_trade_date,phase4_feature_trade_date,phase1_model_name,phase1_model_version,phase2_mlfin_daily_vol,phase2_mlfin_cusum_threshold,phase2_model_name,phase2_model_version,phase4_name,phase4_model_name,phase4_model_version,track_stock,prev_rank,universe_rank,intraday_quote_datetime,intraday_quote_time,intraday_fetched_at,intraday_provisional,prev_source_tags,prev_reason,prev_watchlist_streak,prev_patterns,prev_phase1_score_100,prev_phase2_score_100,prev_phase4_score_100,prev_phase5_score_100,phase4_5d_count
2026-05-12,002293,罗莱生活,4.01,pattern,True,3,"[""3""]",22.73,36.36,100.0,91.73,2.82,83.47,0.0368,31.99,eastmoney_direct,above_signal,none,bullish,False,False,,,True,False,0.24439079817395992,0.2118047482423231,0.06517209986327366,2026-05-12,11.42,0.42,11.0,10.58,12.26,12.68,中等波动,101.5264,101.5264,0.0,12.719999999999999,1,75,False,18,15,False,False,1,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.020582828034987264,0.021364150702582796,lightgbm_classifier,barrier_risk_phase2_v1,罗莱生活,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,7,2363,2026-05-12 10:53:00,10:53:00,2026-05-12T10:53:12,True,"[""pattern""]","post breakout 9d from 2026-04-23, below old high 11.15, vol_ratio=1.55",2,"[{""pattern_id"": 3, ""reason"": ""post breakout 9d from 2026-04-23, below old high 11.15, vol_ratio=1.55"", ""close"": 10.98, ""old_high_date"": ""2023-05-09"", ""old_high_price"": 11.15, ""days_since_old_high"": 726.0, ""max_drawdown_since_old_high"": 0.5, ""distance_to_old_high_pct"": 0.0152, ""breakout_date"": ""2026-04-23"", ""breakout_volume_ratio"": 1.5516, ""breakout_close_position"": 0.6986, ""breakout_upper_shadow_pct"": 0.3014, ""breakout_body_pct"": 0.3562, ""breakout_turnover"": 0.039, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0, ""days_after_breakout"": 9.0, ""post_breakout_max_high_extension_pct"": 0.0401, ""volume_ratio_20"": 1.0737}]",22.44,31.97,91.3,83.47,3
2026-05-12,002491,通鼎互联,9.99,,False,,,13.64,72.73,95.45,99.96,0.04,,0.0587,20.03,eastmoney_direct,above_signal,bottom_divergence,bullish,False,True,,2026-04-20,True,False,2.3151048782469346,1.6413964476180989,1.3474168612576713,2026-05-12,25.0,1.4687,23.5313,22.0626,27.9374,29.406,中等波动,105.7052,105.7052,0.0,85.46000000000001,2,1,True,20,7,True,False,1,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.05426520755569071,0.02866654158407291,lightgbm_classifier,barrier_risk_phase2_v1,通鼎互联,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2540,2026-05-12 10:53:06,10:53:06,2026-05-12T10:53:12,True,,,,,,,,,3
2026-05-12,601869,长飞光纤,3.37,,False,,,27.27,9.09,90.91,91.01,5.12,,0.0614,19.17,eastmoney_direct,below_signal,top_divergence,bullish,True,False,2026-04-27,,True,False,23.889797102709622,25.728162625925773,-3.6767310464323018,2026-05-12,413.8,25.3886,388.4114,363.0228,464.5772,489.9659,高波动,90.91,90.91,0.0,0.0,3,85,False,17,21,False,True,1,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.046891840512003194,0.027800455333432728,lightgbm_classifier,barrier_risk_phase2_v1,长飞光纤,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,882,2026-05-12 10:52:51,10:52:51,2026-05-12T10:53:12,True,,,,,,,,,3
2026-05-12,002805,丰元股份,-2.28,pattern,True,2,"[""2""]",0.0,13.64,86.36,63.88,45.19,70.81,0.0497,23.66,eastmoney_direct,above_signal,top_divergence,none,True,False,2026-04-20,,False,False,1.9844370193369798,1.3018812689713297,1.3651115007313002,2026-05-12,24.88,1.2372,23.6428,22.4055,27.3545,28.5917,中等波动,86.36,86.36,0.0,0.0,4,918,False,23,20,True,True,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.03467784857259355,0.035085403361396574,lightgbm_classifier,barrier_risk_phase2_v1,丰元股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,6,2791,2026-05-12 10:53:09,10:53:09,2026-05-12T10:53:12,True,"[""pattern""]","price above old high 23.85 from 2025-11-18, post_breakout=3d, vol_ratio=1.07",2,"[{""pattern_id"": 2, ""reason"": ""price above old high 23.85 from 2025-11-18, post_breakout=3d, vol_ratio=1.07"", ""close"": 25.46, ""old_high_date"": ""2025-11-18"", ""old_high_price"": 23.85, ""days_since_old_high"": 112.0, ""max_drawdown_since_old_high"": 0.3459, ""distance_to_old_high_pct"": -0.0675, ""breakout_date"": ""2026-05-06"", ""breakout_volume_ratio"": 1.0671, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 0.7627, ""breakout_turnover"": 0.2487, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0675, ""days_after_breakout"": 3.0, ""post_breakout_max_high_extension_pct"": 0.0541, ""volume_ratio_20"": 1.8171}]",2.62,2.62,92.3,70.81,3
2026-05-12,002443,金洲管道,-2.25,pattern,True,1,"[""1""]",36.36,31.82,81.82,86.54,7.73,80.79,0.0461,25.54,eastmoney_direct,above_signal,none,none,False,False,,,False,False,0.748967022245381,0.6658359829618871,0.16626207856698794,2026-05-12,11.73,0.5404,11.1896,10.6492,12.8108,13.3511,中等波动,83.2744,83.2744,12.719999999999999,3.6400000000000006,5,167,False,15,16,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.03027807912846209,0.025105656456276475,lightgbm_classifier,barrier_risk_phase2_v1,金洲管道,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,4,2498,2026-05-12 10:53:06,10:53:06,2026-05-12T10:53:12,True,"[""pattern""]","near old high 12.41 from 2016-10-26, distance=3.30%, drawdown=67.20%, vol20=0.81",2,"[{""pattern_id"": 1, ""reason"": ""near old high 12.41 from 2016-10-26, distance=3.30%, drawdown=67.20%, vol20=0.81"", ""close"": 12.0, ""old_high_date"": ""2016-10-26"", ""old_high_price"": 12.41, ""days_since_old_high"": 2254.0, ""max_drawdown_since_old_high"": 0.672, ""distance_to_old_high_pct"": 0.033, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.8118}]",37.91,11.27,94.18,80.79,3
2026-05-12,000605,渤海股份,0.0,phase4_top,False,,,81.82,95.45,77.27,91.44,5.69,35.35,0.0265,40.0,eastmoney_direct,above_signal,bottom_divergence,bullish,False,True,,2026-04-27,True,False,0.08451873180252445,0.027383356025556197,0.11427075155393651,2026-05-12,7.22,0.1916,7.0284,6.8368,7.6032,7.7948,低波动,93.2708,93.2708,96.36000000000001,69.1,6,79,False,5,2,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.019640615996477283,0.02878412841051466,lightgbm_classifier,barrier_risk_phase2_v1,渤海股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,16,1774,2026-05-12 10:52:51,10:52:51,2026-05-12T10:53:12,True,"[""phase4_top""]",,1,,74.61,86.78,96.82,35.35,3
2026-05-12,002579,中京电子,-0.74,,False,,,72.73,50.0,72.73,97.7,0.89,,0.0403,29.21,eastmoney_direct,golden_cross,none,none,False,False,,,False,False,0.19959302301270476,0.1556051931651075,0.0879756596951945,2026-05-12,13.36,0.5381,12.8219,12.2838,14.4362,14.9744,中等波动,84.3668,84.3668,85.46000000000001,40.0,7,9,False,7,12,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.0307660954205635,0.03164252427044844,lightgbm_classifier,barrier_risk_phase2_v1,中京电子,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2611,2026-05-12 10:53:09,10:53:09,2026-05-12T10:53:12,True,,,,,,,,,3
2026-05-12,000561,烽火电子,-2.01,,False,,,59.09,86.36,68.18,86.46,4.77,,0.0261,40.0,eastmoney_direct,above_signal,bottom_divergence,bullish,False,True,,2026-05-06,True,False,-0.07648644896958956,-0.13429179576300812,0.11561069358683712,2026-05-12,9.74,0.2542,9.4858,9.2316,10.2484,10.5026,低波动,83.308,83.308,58.18000000000001,87.28,8,169,False,10,4,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.027260840176378642,0.02970727981453995,lightgbm_classifier,barrier_risk_phase2_v1,烽火电子,lightgbm_regressor,alpha158_qlib_return_phase4_v1,True,,1747,2026-05-12 10:52:57,10:52:57,2026-05-12T10:53:12,True,,,,,,,,,3
2026-05-12,600481,双良节能,0.0,phase4_top,False,,,100.0,63.64,63.64,94.88,2.44,67.68,0.041,28.69,eastmoney_direct,above_signal,bottom_divergence,none,False,True,,2026-05-06,False,False,-0.15376782226242902,-0.21894574432602246,0.13035584412718687,2026-05-12,6.46,0.2649,6.1951,5.9303,6.9897,7.2546,中等波动,76.5136,76.5136,60.0,67.28,9,28,False,1,9,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.037383894263859824,0.03322279057748603,lightgbm_classifier,barrier_risk_phase2_v1,双良节能,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,15,318,2026-05-12 10:52:49,10:52:49,2026-05-12T10:53:12,True,"[""phase4_top""]",,1,,100.0,81.89,98.29,67.68,3
2026-05-12,002943,宇晶股份,-0.4,,False,,,45.45,27.27,59.09,34.96,45.41,,0.0543,21.67,eastmoney_direct,above_signal,none,bullish,False,False,,,True,False,6.38965463248865,3.8932434990346123,4.9928222669080755,2026-05-12,81.62,4.4312,77.1888,72.7576,90.4824,94.9136,中等波动,61.562,61.562,30.900000000000006,0.0,10,2155,False,13,17,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.042962366814895035,0.03570901570452009,lightgbm_classifier,barrier_risk_phase2_v1,宇晶股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2909,2026-05-12 10:53:09,10:53:09,2026-05-12T10:53:12,True,,,,,,,,,3
