intraday_trade_date,symbol,name,intraday_pct_change,prev_source,prev_pattern_match,prev_pattern_id,prev_pattern_ids,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase8_score_100,phase5_score_100,atr_pct_14,建议总仓位%,intraday_source,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,atr_trade_date,atr_close,atr_14,atr_stop_loss_1x,atr_stop_loss_2x,atr_take_profit_2x,atr_take_profit_3x,atr_volatility_regime,intraday_focus_score,centered_risk_score,phase1_center_score,phase2_center_score,phase4_rank,phase4_5d_mean_rank,phase4_5d_mean_top5,phase8_rank,phase8_raw_score,phase8_feature_trade_date,phase8_model_name,phase8_model_version,today_limit_up_excluded,today_high_return_vs_prev_close,today_close_return_vs_prev_close,phase1_rank,phase2_rank,phase1_excluded_by_top20_risk,phase2_excluded_by_top20_risk,phase2_is_cusum_event,phase1_feature_trade_date,phase2_feature_trade_date,phase4_feature_trade_date,phase1_model_name,phase1_model_version,phase2_mlfin_daily_vol,phase2_mlfin_cusum_threshold,phase2_model_name,phase2_model_version,phase4_name,phase4_model_name,phase4_model_version,track_stock,prev_rank,universe_rank,intraday_quote_datetime,intraday_quote_time,intraday_fetched_at,intraday_provisional,prev_source_tags,prev_reason,prev_watchlist_streak,prev_patterns,prev_phase1_score_100,prev_phase2_score_100,prev_phase4_score_100,prev_phase5_score_100,phase4_5d_count
2026-05-13,600707,彩虹股份,9.999999999999986,,False,,,0.0,13.64,100.0,26.32,42.15,0.0,,0.0566,20.8,sina_raw,above_signal,none,none,False,False,,,False,False,0.7683249471503988,0.6415711292330433,0.25350763583471103,2026-05-13,10.45,0.5911,9.8589,9.2678,11.6322,12.2233,中等波动,100.0,100.0,0.0,0.0,1,2503,False,,-0.07041251234737184,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,True,0.09999999999999987,0.09999999999999987,23,20,True,True,1,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.04084175959917795,0.029633606099534807,lightgbm_classifier,barrier_risk_phase2_v1,彩虹股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,True,,491,2026-05-13 14:15:18,14:15:18,2026-05-13T14:15:30,True,,,,,,,,,4
2026-05-13,002663,普邦股份,-3.70370370370372,pattern,True,1,"[""1""]",54.55,50.0,95.45,83.96,15.6,33.33,69.86,0.0496,23.71,sina_raw,above_signal,none,none,False,False,,,False,False,0.03921112484049516,0.01224818333371722,0.05392588301355588,2026-05-13,2.34,0.1161,2.2239,2.1078,2.5722,2.6883,中等波动,104.178,104.178,49.099999999999994,40.0,2,173,False,15.0,-0.040033993143228336,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0,-0.0370370370370372,11,12,False,False,1,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.03505822646723186,0.026667377752381326,lightgbm_classifier,barrier_risk_phase2_v1,普邦股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,4,2681,2026-05-13 14:15:27,14:15:27,2026-05-13T14:15:30,True,"[""pattern""]","near old high 2.55 from 2025-11-14, distance=4.71%, drawdown=26.67%, vol20=0.93",1,"[{""pattern_id"": 1, ""reason"": ""near old high 2.55 from 2025-11-14, distance=4.71%, drawdown=26.67%, vol20=0.93"", ""close"": 2.43, ""old_high_date"": ""2025-11-14"", ""old_high_price"": 2.55, ""days_since_old_high"": 115.0, ""max_drawdown_since_old_high"": 0.2667, ""distance_to_old_high_pct"": 0.0471, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.9304}]",85.45,21.52,89.9,69.86,4
2026-05-13,001387,雪祺电气,-0.9688581314878819,,False,,,40.91,68.18,90.91,93.12,0.98,57.14,,0.0245,40.0,sina_raw,above_signal,bottom_divergence,none,False,True,,2026-04-28,False,False,0.26932008113968386,0.16105070082846548,0.21653876062243677,2026-05-13,14.31,0.3509,13.9591,13.6082,15.0118,15.3626,低波动,101.8188,101.8188,21.819999999999993,76.36000000000001,3,33,False,10.0,-0.022030527333363508,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.006920415224913601,-0.009688581314878819,14,8,False,False,1,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.02053401131487894,0.025002091511717107,lightgbm_classifier,barrier_risk_phase2_v1,雪祺电气,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2096,2026-05-13 14:15:27,14:15:27,2026-05-13T14:15:30,True,,,,,,,,,4
2026-05-13,000048,京基智农,-1.4794889038332149,,False,,,100.0,77.27,86.36,78.72,15.94,76.19,,0.0433,27.15,sina_raw,above_signal,none,none,False,False,,,False,False,-0.7330114748501,-0.9110723911719836,0.3561218326437672,2026-05-13,14.65,0.6349,14.0151,13.3803,15.9197,16.5546,中等波动,102.5048,102.5048,60.0,94.53999999999999,4,304,False,6.0,-0.011197793590356032,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.005379959650302579,-0.014794889038332149,1,6,False,False,1,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.03708101507569281,0.026187562035484176,lightgbm_classifier,barrier_risk_phase2_v1,京基智农,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1647,2026-05-13 14:15:24,14:15:24,2026-05-13T14:15:30,True,,,,,,,,,4
2026-05-13,000301,东方盛虹,-1.0038610038609952,,False,,,59.09,54.55,81.82,93.29,4.27,61.9,,0.0345,34.07,sina_raw,dead_cross,none,none,False,False,,,False,False,0.36364902955157596,0.36976383319444844,-0.012229607285744959,2026-05-13,12.82,0.4427,12.3773,11.9347,13.7053,14.148,中等波动,92.3664,92.3664,58.18000000000001,49.099999999999994,5,29,False,9.0,-0.018426582956209105,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.007722007722007929,-0.010038610038609952,10,11,False,False,0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.026046106530087914,0.02641214204146527,lightgbm_classifier,barrier_risk_phase2_v1,东方盛虹,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1676,2026-05-13 14:15:24,14:15:24,2026-05-13T14:15:30,True,,,,,,,,,4
2026-05-13,003022,联泓新科,-2.228303362001549,pattern,True,2,"[""2""]",9.09,18.18,77.27,54.0,40.72,14.29,83.84,0.0421,27.96,sina_raw,above_signal,none,none,False,False,,,False,False,1.0873192702549872,1.0657145825768115,0.04320937535635139,2026-05-13,25.01,1.0522,23.9578,22.9056,27.1144,28.1666,中等波动,77.27,77.27,0.0,0.0,6,1323,False,19.0,-0.06673470660662399,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,-0.0050820953870210905,-0.02228303362001549,21,19,True,True,0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.027320717370113715,0.03179827606076972,lightgbm_classifier,barrier_risk_phase2_v1,联泓新科,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,5,2980,2026-05-13 14:15:27,14:15:27,2026-05-13T14:15:30,True,"[""pattern""]","price above old high 23.89 from 2025-09-12, post_breakout=10d, vol_ratio=1.48",1,"[{""pattern_id"": 2, ""reason"": ""price above old high 23.89 from 2025-09-12, post_breakout=10d, vol_ratio=1.48"", ""close"": 25.58, ""old_high_date"": ""2025-09-12"", ""old_high_price"": 23.89, ""days_since_old_high"": 154.0, ""max_drawdown_since_old_high"": 0.2453, ""distance_to_old_high_pct"": -0.0707, ""breakout_date"": ""2026-04-23"", ""breakout_volume_ratio"": 1.4798, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 1.0, ""breakout_turnover"": 0.0292, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0707, ""days_after_breakout"": 10.0, ""post_breakout_max_high_extension_pct"": 0.069, ""volume_ratio_20"": 1.6445}]",8.08,7.68,95.62,83.84,4
2026-05-13,605298,必得科技,-0.23082386363636465,pattern,True,6,"[""6""]",27.27,31.82,72.73,68.2,26.82,4.76,76.46,0.0474,24.82,sina_raw,below_signal,none,none,False,False,,,False,False,2.1376023846574768,2.791539425177692,-1.3078740810404303,2026-05-13,56.19,2.6633,53.5267,50.8634,61.5166,64.18,中等波动,73.1668,73.1668,0.0,3.6400000000000006,7,691,False,21.0,-0.09148393820692342,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0008877840909089496,-0.0023082386363636465,17,16,False,False,0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.031737886264532986,0.027526555014114513,lightgbm_classifier,barrier_risk_phase2_v1,必得科技,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,6,1583,2026-05-13 14:15:23,14:15:23,2026-05-13T14:15:30,True,"[""pattern""]","double-volume support hold: anchor=2026-04-17 close=54.75, peak=65.00 on 2026-04-23, launch=18.72%, limit_up_like=2, pullback=14.31%, vol_back/front=0.58, pullback_max/rise_tail=1.00, touch=2026-05-12",1,"[{""pattern_id"": 6, ""reason"": ""double-volume support hold: anchor=2026-04-17 close=54.75, peak=65.00 on 2026-04-23, launch=18.72%, limit_up_like=2, pullback=14.31%, vol_back/front=0.58, pullback_max/rise_tail=1.00, touch=2026-05-12"", ""close"": 56.32, ""pullback_low_date"": ""2026-05-12"", ""pullback_low_price"": 55.7, ""peak_to_pullback_drawdown_pct"": 0.1431, ""pullback_back_half_volume_ratio"": 0.582, ""volume_ratio_20"": 0.8154, ""pattern6_branch"": ""support_hold"", ""anchor_date"": ""2026-04-17"", ""anchor_close"": 54.75, ""support_price"": 54.75, ""anchor_volume_ratio_prev"": 1.3196, ""anchor_volume_ratio_ma20"": 1.8433, ""launch_confirm_high_date"": ""2026-04-23"", ""launch_confirm_high_price"": 65.0, ""launch_confirm_return_pct"": 0.1872, ""peak_date"": ""2026-04-23"", ""peak_price"": 65.0, ""anchor_to_peak_return_pct"": 0.1872, ""limit_up_like_count"": 2.0, ""pullback_volume_ratio_to_anchor"": 0.7655, ""pullback_front_half_avg_volume"": 3401296.8, ""pullback_back_half_avg_volume"": 1979595.6, ""rise_tail_avg_volume"": 5103046.6667, ""pullback_max_volume"": 5104351.0, ""pullback_max_rise_tail_volume_ratio"": 1.0003, ""support_touch_date"": ""2026-05-12""}]",7.88,31.04,95.08,76.46,4
2026-05-13,002624,完美世界,0.23738872403560318,,False,,,50.0,59.09,68.18,58.32,28.18,42.86,,0.0658,17.89,sina_raw,below_signal,none,bullish,False,False,,,True,False,-0.7227693232562835,-0.634014752217613,-0.17750914207734092,2026-05-13,16.89,1.1105,15.7795,14.669,19.111,20.2216,高波动,78.3616,78.3616,40.0,58.18000000000001,8,1128,False,13.0,-0.029797704208447878,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.014836795252225476,0.002373887240356032,12,10,False,False,0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.039521590805762195,0.0284085454311399,lightgbm_classifier,barrier_risk_phase2_v1,完美世界,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2646,2026-05-13 14:15:27,14:15:27,2026-05-13T14:15:30,True,,,,,,,,,4
2026-05-13,600850,电科数字,1.9989748846745092,,False,,,77.27,40.91,63.64,77.1,16.04,47.62,,0.0364,32.29,sina_raw,above_signal,bottom_divergence,none,False,True,,2026-05-07,False,False,-0.7273430593230046,-0.8933975558848899,0.3321089931237706,2026-05-13,19.9,0.725,19.175,18.45,21.35,22.0751,中等波动,73.8216,73.8216,94.53999999999999,21.819999999999993,9,350,False,12.0,-0.028970839012355813,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.02614044079958977,0.019989748846745092,6,14,False,False,0,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.027506244933839713,0.02781666081418632,lightgbm_classifier,barrier_risk_phase2_v1,电科数字,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,603,2026-05-13 14:15:20,14:15:20,2026-05-13T14:15:30,True,,,,,,,,,4
2026-05-13,601512,中新集团,-4.274353876739556,pattern,True,3,"[""3""]",4.55,86.36,59.09,30.83,30.14,66.67,86.17,0.0551,21.36,sina_raw,dead_cross,none,bearish,False,False,,,False,True,0.30180287621738877,0.33631839857786305,-0.06903104472094856,2026-05-13,9.63,0.5303,9.0997,8.5695,10.6905,11.2208,中等波动,69.5636,69.5636,0.0,87.28,10,2350,False,8.0,-0.012765407255721,2026-05-13,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0,-0.04274353876739556,22,4,True,False,1,2026-05-13,2026-05-13,2026-05-13,logistic_regression,tail_risk_phase1_v1,0.031624272687336426,0.01867180207165139,lightgbm_classifier,barrier_risk_phase2_v1,中新集团,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,13,812,2026-05-13 14:15:22,14:15:22,2026-05-13T14:15:30,True,"[""pattern""]","post breakout 10d from 2026-04-23, below old high 10.34, vol_ratio=1.17",1,"[{""pattern_id"": 3, ""reason"": ""post breakout 10d from 2026-04-23, below old high 10.34, vol_ratio=1.17"", ""close"": 10.06, ""old_high_date"": ""2026-01-12"", ""old_high_price"": 10.34, ""days_since_old_high"": 76.0, ""max_drawdown_since_old_high"": 0.2021, ""distance_to_old_high_pct"": 0.0271, ""breakout_date"": ""2026-04-23"", ""breakout_volume_ratio"": 1.175, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 1.0, ""breakout_turnover"": 0.0255, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0, ""days_after_breakout"": 10.0, ""post_breakout_max_high_extension_pct"": 0.0053, ""volume_ratio_20"": 1.2396}]",4.76,93.6,76.71,86.17,4
