trade_date,symbol,name,pattern_id,close,reason,ma_10,ma_20,ma_60,return_15d,volume_ratio_20,platform_window_days,platform_range_pct,breakout_date,distance_to_platform_high_pct
2026-04-09,"=""000719""",中原传媒,2,13.71,"recent platform breakout on 2026-04-09, platform_range=12.91%, distance=1.11%",13.126,13.005,12.9063,0.049,1.1222,20,0.1290591174021649,2026-04-09,0.011061946902654893
2026-04-09,"=""000729""",燕京啤酒,2,14.01,"recent platform breakout on 2026-04-03, platform_range=11.17%, distance=4.24%",13.393,13.093,12.6767,0.0736,1.4262,20,0.1116625310173697,2026-04-03,0.04241071428571431
2026-04-09,"=""000989""",中证全指可选消费指数,2,9.54,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.14%",9.448,9.183,9.0133,0.037,0.9448,20,0.11445783132530112,2026-03-27,0.03135135135135126
2026-04-09,"=""000989""",九芝堂,2,9.54,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.14%",9.448,9.183,9.0133,0.037,0.9448,20,0.11445783132530112,2026-03-27,0.03135135135135126
2026-04-09,"=""001325""",元创股份,2,61.99,"recent platform breakout on 2026-04-07, platform_range=13.29%, distance=5.23%",57.258,56.067,53.0245,0.163,1.2515,20,0.13288461538461532,2026-04-07,0.052283143778645486
2026-04-09,"=""003026""",中晶科技,2,36.4,"recent platform breakout on 2026-03-30, platform_range=14.37%, distance=2.08%",35.474,34.948,34.0228,0.0406,1.0394,20,0.1436818473380371,2026-03-30,0.02075154234436349
2026-04-09,"=""600015""",华夏银行,2,7.32,"recent platform breakout on 2026-04-02, platform_range=11.18%, distance=-1.88%",7.317,7.228,6.8033,0.011,0.7995,20,0.11177347242921014,2026-04-02,-0.01876675603217154
2026-04-09,"=""600250""",南京商旅,2,13.05,"recent platform breakout on 2026-03-26, platform_range=14.88%, distance=6.97%",13.207,12.397,11.8062,0.1135,1.2809,20,0.14877589453860643,2026-03-26,0.0696721311475411
2026-04-09,"=""600502""",安徽建工,2,5.52,"recent platform breakout on 2026-03-30, platform_range=14.00%, distance=9.31%",5.301,5.0555,4.8207,0.1311,1.1596,20,0.13995485327313772,2026-03-30,0.09306930693069303
2026-04-09,"=""600641""",先导基电,2,21.06,"recent platform breakout on 2026-04-08, platform_range=13.87%, distance=6.42%",19.083,18.8905,18.747,0.1125,2.2031,20,0.13866513233601843,2026-04-08,0.06417382516422433
2026-04-09,"=""600664""",哈药股份,2,3.75,"recent platform breakout on 2026-04-07, platform_range=14.69%, distance=2.18%",3.578,3.5255,3.525,0.0504,3.8064,20,0.14687499999999992,2026-04-07,0.021798365122615824
2026-04-09,"=""600872""",中炬高新,2,19.31,"recent platform breakout on 2026-04-01, platform_range=10.25%, distance=-0.77%",19.091,18.8055,18.4482,0.0152,0.6865,20,0.10254957507082167,2026-04-01,-0.007708119218910695
2026-04-09,"=""600901""",江苏金租,2,6.78,"recent platform breakout on 2026-03-31, platform_range=7.73%, distance=1.35%",6.651,6.587,6.3887,0.0463,0.7809,20,0.07729468599033823,2026-03-31,0.013452914798206256
2026-04-09,"=""601000""",唐山港,2,4.72,"recent platform breakout on 2026-04-01, platform_range=13.46%, distance=0.00%",4.615,4.4815,4.2765,0.0801,0.8437,20,0.13461538461538453,2026-04-01,0.0
2026-04-09,"=""601083""",锦江航运,2,13.11,"recent platform breakout on 2026-04-02, platform_range=14.32%, distance=1.39%",12.638,12.338,12.067,0.0564,0.9108,20,0.14323607427055696,2026-04-02,0.013921113689095106
2026-04-09,"=""601825""",沪农商行,2,9.04,"recent platform breakout on 2026-03-31, platform_range=9.31%, distance=0.00%",9.069,8.944,8.7023,0.0157,0.614,20,0.09310761789600963,2026-03-31,0.0
2026-04-09,"=""601988""",中国银行,2,5.69,"recent platform breakout on 2026-03-31, platform_range=7.58%, distance=0.18%",5.755,5.608,5.4537,0.0345,0.7407,20,0.07575757575757565,2026-03-31,0.001760563380281809
2026-04-09,"=""603196""",璞源材料,2,31.33,"recent platform breakout on 2026-04-08, platform_range=14.98%, distance=6.86%",28.267,27.6785,26.545,0.1561,2.7126,20,0.14980392156862746,2026-04-08,0.06855388813096855
2026-04-09,"=""603288""",海天味业,2,41.15,"recent platform breakout on 2026-03-31, platform_range=14.82%, distance=1.38%",40.749,39.216,37.3578,0.0672,0.5557,20,0.14823196605374828,2026-03-31,0.01379650160137953
2026-04-09,"=""603565""",中谷物流,2,11.32,"recent platform breakout on 2026-03-30, platform_range=6.94%, distance=-0.70%",11.391,11.229,10.6793,0.0162,0.7496,20,0.06941838649155724,2026-03-30,-0.007017543859649129
2026-04-09,"=""605178""",时空科技,2,79.1,"recent platform breakout on 2026-04-09, platform_range=14.83%, distance=9.59%",68.689,68.1585,66.3942,0.1257,2.5652,20,0.1482659879096406,2026-04-09,0.09587143252978646
2026-04-09,"=""605319""",无锡振华,2,27.83,"recent platform breakout on 2026-04-03, platform_range=13.76%, distance=8.25%",25.624,24.738,24.1183,0.1639,2.0235,20,0.1376106194690265,2026-04-03,0.0824581874756903
