trade_date,candidate_index,symbol,name,source,pattern_match,pattern_ids,pattern_id,phase1_score_100,phase2_score_100,phase2_is_cusum_event,phase4_score_100,phase5_score_100,phase7_score_100,phase7_trade_permission,macd_cross_state,macd_divergence_state,volume_price_divergence_state,ATR14,ATR%,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,reason,trade_permission,next_open_trade_permission,next_open_trade_warning,trade_permission_note,source_tags,phase7_feature_trade_date,phase7_model_name,phase7_model_version,phase1_feature_trade_date,phase1_model_name,phase1_model_version,phase2_feature_trade_date,phase2_model_name,phase2_model_version,phase4_feature_trade_date,phase4_model_name,phase4_model_version,macd,macd_signal_line,macd_hist,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,交易日期,收盘价,patterns,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,连续上榜天数,macd_bottom_divergence_signal_date,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,extension_above_old_high_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,pullback_back_half_volume_ratio,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_volume,pullback_max_rise_tail_volume_ratio,support_touch_date,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,days_after_breakout,post_breakout_max_high_extension_pct
2026-05-07,1,"=""603158""",腾龙股份,pattern,True,"[""5""]",5,40.97,48.49,1,99.8,60.28,100.0,allow,golden_cross,top_divergence,bullish,0.7919,5.13,14.6481,13.8561,17.0239,17.8158,中等波动,"recent 10d high on 2026-04-24 at 14.18, MA20 touch on 2026-05-06, latest distance=8.89%, vol5_20=0.74",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-07,naive_bayes,trade_day_gate_phase7_v1,2026-05-07,logistic_regression,tail_risk_phase1_v1,2026-05-07,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-07,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.547,0.4571,0.1798,True,False,2026-04-28,True,False,2026-05-07,15.44,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-24 at 14.18, MA20 touch on 2026-05-06, latest distance=8.89%, vol5_20=0.74"", ""close"": 15.44, ""distance_to_ma20"": 0.1659, ""volume_ratio_20"": 0.3978, ""recent_high_date"": ""2026-04-24"", ""recent_high_price"": 14.18, ""days_since_recent_high"": 6.0, ""distance_from_recent_high_pct"": 0.0889, ""ma20_slope_short_pct"": 0.0147, ""ma20_slope_long_pct"": 0.0799, ""ma60_slope_short_pct"": 0.0072, ""ma60_slope_long_pct"": 0.0416, ""pullback_volume_contraction_ratio"": 0.7424, ""ma20_touch_date"": ""2026-05-06"", ""ma20_touch_distance"": -0.261}]",0.1659,0.3978,2026-04-24,14.18,6.0,0.0889,0.0147,0.0799,0.0072,0.0416,0.7424,2026-05-06,-0.261,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,2,"=""603938""",三孚股份,pattern,True,"[""5""]",5,64.71,51.85,1,99.4,77.87,100.0,allow,above_signal,bottom_divergence,bullish,1.6522,5.06,30.9778,29.3256,35.9344,37.5865,中等波动,"recent 10d high on 2026-04-23 at 30.96, MA20 touch on 2026-05-06, latest distance=5.39%, vol5_20=0.61",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-07,naive_bayes,trade_day_gate_phase7_v1,2026-05-07,logistic_regression,tail_risk_phase1_v1,2026-05-07,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-07,lightgbm_regressor,alpha158_qlib_return_phase4_v1,1.1501,0.9428,0.4144,False,True,,True,False,2026-05-07,32.63,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-23 at 30.96, MA20 touch on 2026-05-06, latest distance=5.39%, vol5_20=0.61"", ""close"": 32.63, ""distance_to_ma20"": 0.1365, ""volume_ratio_20"": 0.8529, ""recent_high_date"": ""2026-04-23"", ""recent_high_price"": 30.96, ""days_since_recent_high"": 7.0, ""distance_from_recent_high_pct"": 0.0539, ""ma20_slope_short_pct"": 0.0119, ""ma20_slope_long_pct"": 0.1153, ""ma60_slope_short_pct"": 0.0043, ""ma60_slope_long_pct"": 0.0168, ""pullback_volume_contraction_ratio"": 0.6086, ""ma20_touch_date"": ""2026-05-06"", ""ma20_touch_distance"": 0.156}]",0.1365,0.8529,2026-04-23,30.96,7.0,0.0539,0.0119,0.1153,0.0043,0.0168,0.6086,2026-05-06,0.156,1,2026-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,3,"=""002579""",中京电子,pattern,True,"[""5""]",5,47.28,21.36,1,98.76,56.81,100.0,allow,below_signal,none,none,0.5833,4.4,12.6667,12.0834,14.4166,14.9999,中等波动,"recent 10d high on 2026-04-22 at 13.52, MA20 touch on 2026-05-07, latest distance=-2.00%, vol5_20=0.89",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-07,naive_bayes,trade_day_gate_phase7_v1,2026-05-07,logistic_regression,tail_risk_phase1_v1,2026-05-07,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-07,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.0943,0.1383,-0.088,False,False,,False,False,2026-05-07,13.25,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-22 at 13.52, MA20 touch on 2026-05-07, latest distance=-2.00%, vol5_20=0.89"", ""close"": 13.25, ""distance_to_ma20"": 0.0338, ""volume_ratio_20"": 1.1018, ""recent_high_date"": ""2026-04-22"", ""recent_high_price"": 13.52, ""days_since_recent_high"": 8.0, ""distance_from_recent_high_pct"": -0.02, ""ma20_slope_short_pct"": 0.0035, ""ma20_slope_long_pct"": 0.0364, ""ma60_slope_short_pct"": 0.0019, ""ma60_slope_long_pct"": 0.0039, ""pullback_volume_contraction_ratio"": 0.8869, ""ma20_touch_date"": ""2026-05-07"", ""ma20_touch_distance"": -0.1765}]",0.0338,1.1018,2026-04-22,13.52,8.0,-0.02,0.0035,0.0364,0.0019,0.0039,0.8869,2026-05-07,-0.1765,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,4,"=""603220""",中贝通信,pattern,True,"[""5""]",5,29.45,26.33,1,96.42,61.24,100.0,allow,below_signal,none,none,1.9929,6.38,29.2671,27.2742,35.2458,37.2388,高波动,"recent 10d high on 2026-04-23 at 34.23, MA20 touch on 2026-05-06, latest distance=-8.68%, vol5_20=0.92",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-07,naive_bayes,trade_day_gate_phase7_v1,2026-05-07,logistic_regression,tail_risk_phase1_v1,2026-05-07,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-07,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.9095,1.0697,-0.3203,False,False,,False,False,2026-05-07,31.26,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-23 at 34.23, MA20 touch on 2026-05-06, latest distance=-8.68%, vol5_20=0.92"", ""close"": 31.26, ""distance_to_ma20"": 0.0568, ""volume_ratio_20"": 0.8287, ""recent_high_date"": ""2026-04-23"", ""recent_high_price"": 34.23, ""days_since_recent_high"": 7.0, ""distance_from_recent_high_pct"": -0.0868, ""ma20_slope_short_pct"": 0.0085, ""ma20_slope_long_pct"": 0.0976, ""ma60_slope_short_pct"": 0.0037, ""ma60_slope_long_pct"": 0.0379, ""pullback_volume_contraction_ratio"": 0.922, ""ma20_touch_date"": ""2026-05-06"", ""ma20_touch_distance"": -0.109}]",0.0568,0.8287,2026-04-23,34.23,7.0,-0.0868,0.0085,0.0976,0.0037,0.0379,0.922,2026-05-06,-0.109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,5,"=""000957""",中通客车,pattern,True,"[""5""]",5,52.01,41.94,0,93.01,74.46,100.0,allow,below_signal,none,none,0.3827,3.13,11.8273,11.4446,12.9754,13.3581,中等波动,"recent 10d high on 2026-04-23 at 12.78, MA20 touch on 2026-05-07, latest distance=-4.46%, vol5_20=0.78",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-07,naive_bayes,trade_day_gate_phase7_v1,2026-05-07,logistic_regression,tail_risk_phase1_v1,2026-05-07,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-07,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.1951,0.2135,-0.0369,False,False,,False,False,2026-05-07,12.21,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-23 at 12.78, MA20 touch on 2026-05-07, latest distance=-4.46%, vol5_20=0.78"", ""close"": 12.21, ""distance_to_ma20"": 0.0203, ""volume_ratio_20"": 0.8407, ""recent_high_date"": ""2026-04-23"", ""recent_high_price"": 12.78, ""days_since_recent_high"": 7.0, ""distance_from_recent_high_pct"": -0.0446, ""ma20_slope_short_pct"": 0.0054, ""ma20_slope_long_pct"": 0.051, ""ma60_slope_short_pct"": 0.0009, ""ma60_slope_long_pct"": 0.0072, ""pullback_volume_contraction_ratio"": 0.7802, ""ma20_touch_date"": ""2026-05-07"", ""ma20_touch_distance"": -0.007}]",0.0203,0.8407,2026-04-23,12.78,7.0,-0.0446,0.0054,0.051,0.0009,0.0072,0.7802,2026-05-07,-0.007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,6,"=""000070""",特发信息,pattern,True,"[""5""]",5,60.85,79.68,1,89.56,68.7,100.0,allow,below_signal,top_divergence,none,1.5683,7.8,18.5417,16.9734,23.2466,24.8149,高波动,"recent 10d high on 2026-04-24 at 22.50, MA20 touch on 2026-05-07, latest distance=-10.62%, vol5_20=0.64",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-07,naive_bayes,trade_day_gate_phase7_v1,2026-05-07,logistic_regression,tail_risk_phase1_v1,2026-05-07,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-07,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.4181,0.7111,-0.586,True,False,2026-04-28,False,False,2026-05-07,20.11,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-24 at 22.50, MA20 touch on 2026-05-07, latest distance=-10.62%, vol5_20=0.64"", ""close"": 20.11, ""distance_to_ma20"": 0.0105, ""volume_ratio_20"": 0.9399, ""recent_high_date"": ""2026-04-24"", ""recent_high_price"": 22.5, ""days_since_recent_high"": 6.0, ""distance_from_recent_high_pct"": -0.1062, ""ma20_slope_short_pct"": 0.0036, ""ma20_slope_long_pct"": 0.0883, ""ma60_slope_short_pct"": 0.0084, ""ma60_slope_long_pct"": 0.0832, ""pullback_volume_contraction_ratio"": 0.645, ""ma20_touch_date"": ""2026-05-07"", ""ma20_touch_distance"": -1.1315}]",0.0105,0.9399,2026-04-24,22.5,6.0,-0.1062,0.0036,0.0883,0.0084,0.0832,0.645,2026-05-07,-1.1315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,7,"=""603129""",春风动力,pattern,True,"[""5""]",5,33.28,42.55,1,88.46,65.12,100.0,allow,dead_cross,none,none,10.0866,3.77,257.2134,247.1268,287.4732,297.5598,中等波动,"recent 10d high on 2026-04-27 at 285.00, MA20 touch on 2026-05-07, latest distance=-6.21%, vol5_20=0.81",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-07,naive_bayes,trade_day_gate_phase7_v1,2026-05-07,logistic_regression,tail_risk_phase1_v1,2026-05-07,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-07,lightgbm_regressor,alpha158_qlib_return_phase4_v1,7.1259,7.3668,-0.4817,False,False,,False,False,2026-05-07,267.3,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-27 at 285.00, MA20 touch on 2026-05-07, latest distance=-6.21%, vol5_20=0.81"", ""close"": 267.3, ""distance_to_ma20"": 0.0103, ""volume_ratio_20"": 0.9514, ""recent_high_date"": ""2026-04-27"", ""recent_high_price"": 285.0, ""days_since_recent_high"": 5.0, ""distance_from_recent_high_pct"": -0.0621, ""ma20_slope_short_pct"": 0.0055, ""ma20_slope_long_pct"": 0.0868, ""ma60_slope_short_pct"": 0.0005, ""ma60_slope_long_pct"": 0.0013, ""pullback_volume_contraction_ratio"": 0.8059, ""ma20_touch_date"": ""2026-05-07"", ""ma20_touch_distance"": -0.7265}]",0.0103,0.9514,2026-04-27,285.0,5.0,-0.0621,0.0055,0.0868,0.0005,0.0013,0.8059,2026-05-07,-0.7265,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,8,"=""603966""",法兰泰克,pattern,True,"[""1""]",1,89.62,38.78,1,87.89,79.17,100.0,allow,below_signal,none,none,0.4701,3.33,13.6299,13.1599,15.0401,15.5102,中等波动,"near old high 14.72 from 2026-01-19, distance=4.21%, drawdown=25.88%, vol20=0.57",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-07,naive_bayes,trade_day_gate_phase7_v1,2026-05-07,logistic_regression,tail_risk_phase1_v1,2026-05-07,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-07,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.2693,0.3303,-0.1221,False,False,,False,False,2026-05-07,14.1,"[{""pattern_id"": 1, ""reason"": ""near old high 14.72 from 2026-01-19, distance=4.21%, drawdown=25.88%, vol20=0.57"", ""close"": 14.1, ""old_high_date"": ""2026-01-19"", ""old_high_price"": 14.72, ""days_since_old_high"": 68.0, ""max_drawdown_since_old_high"": 0.2588, ""distance_to_old_high_pct"": 0.0421, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.568}]",,0.568,,,,,,,,,,,,1,,2026-01-19,14.72,68.0,0.2588,0.0421,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,9,"=""002940""",昂利康,pattern,True,"[""6""]",6,25.82,80.46,0,84.61,56.81,100.0,allow,below_signal,none,bearish,2.188,6.68,30.562,28.374,37.126,39.314,高波动,"double-volume support hold: anchor=2026-04-15 close=32.36, peak=43.08 on 2026-04-20, launch=33.13%, limit_up_like=2, pullback=24.40%, vol_back/front=0.66, pullback_max/rise_tail=0.80, touch=2026-05-07",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-07,naive_bayes,trade_day_gate_phase7_v1,2026-05-07,logistic_regression,tail_risk_phase1_v1,2026-05-07,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-07,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.503,1.1403,-1.2746,False,False,,False,True,2026-05-07,32.75,"[{""pattern_id"": 6, ""reason"": ""double-volume support hold: anchor=2026-04-15 close=32.36, peak=43.08 on 2026-04-20, launch=33.13%, limit_up_like=2, pullback=24.40%, vol_back/front=0.66, pullback_max/rise_tail=0.80, touch=2026-05-07"", ""close"": 32.75, ""pullback_low_date"": ""2026-05-07"", ""pullback_low_price"": 32.57, ""peak_to_pullback_drawdown_pct"": 0.244, ""pullback_back_half_volume_ratio"": 0.6618, ""volume_ratio_20"": 0.6163, ""pattern6_branch"": ""support_hold"", ""anchor_date"": ""2026-04-15"", ""anchor_close"": 32.36, ""support_price"": 32.36, ""anchor_volume_ratio_prev"": 2.1928, ""anchor_volume_ratio_ma20"": 1.4922, ""launch_confirm_high_date"": ""2026-04-20"", ""launch_confirm_high_price"": 43.08, ""launch_confirm_return_pct"": 0.3313, ""peak_date"": ""2026-04-20"", ""peak_price"": 43.08, ""anchor_to_peak_return_pct"": 0.3313, ""limit_up_like_count"": 2.0, ""pullback_volume_ratio_to_anchor"": 0.8, ""pullback_front_half_avg_volume"": 21919056.2, ""pullback_back_half_avg_volume"": 14505124.4, ""rise_tail_avg_volume"": 39890097.6667, ""pullback_max_volume"": 31792863.0, ""pullback_max_rise_tail_volume_ratio"": 0.797, ""support_touch_date"": ""2026-05-07""}]",,0.6163,,,,,,,,,,,,1,,,,,,,,2026-05-07,32.57,0.244,0.6618,support_hold,2026-04-15,32.36,32.36,2.1928,1.4922,2026-04-20,43.08,0.3313,2026-04-20,43.08,0.3313,2.0,0.8,21919056.2,14505124.4,39890097.6667,31792863.0,0.797,2026-05-07,,,,,,,,,
2026-05-07,10,"=""603012""",创力集团,pattern,True,"[""5""]",5,70.05,57.45,0,81.53,79.91,100.0,allow,below_signal,none,none,0.3096,3.57,8.3704,8.0607,9.2993,9.6089,中等波动,"recent 10d high on 2026-04-23 at 9.13, MA20 touch on 2026-05-06, latest distance=-4.93%, vol5_20=0.90",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-07,naive_bayes,trade_day_gate_phase7_v1,2026-05-07,logistic_regression,tail_risk_phase1_v1,2026-05-07,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-07,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.175,0.2068,-0.0635,False,False,,False,False,2026-05-07,8.68,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-23 at 9.13, MA20 touch on 2026-05-06, latest distance=-4.93%, vol5_20=0.90"", ""close"": 8.68, ""distance_to_ma20"": 0.0005, ""volume_ratio_20"": 0.7591, ""recent_high_date"": ""2026-04-23"", ""recent_high_price"": 9.13, ""days_since_recent_high"": 7.0, ""distance_from_recent_high_pct"": -0.0493, ""ma20_slope_short_pct"": 0.0057, ""ma20_slope_long_pct"": 0.0746, ""ma60_slope_short_pct"": 0.0014, ""ma60_slope_long_pct"": 0.0217, ""pullback_volume_contraction_ratio"": 0.8978, ""ma20_touch_date"": ""2026-05-06"", ""ma20_touch_distance"": 0.0335}]",0.0005,0.7591,2026-04-23,9.13,7.0,-0.0493,0.0057,0.0746,0.0014,0.0217,0.8978,2026-05-06,0.0335,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
