trade_date,candidate_index,symbol,name,涨幅%,source,pattern_match,pattern_ids,pattern_id,phase1_score_100,phase2_score_100,phase2_is_cusum_event,phase1_center_score,phase2_center_score,centered_risk_score,phase4_score_100,phase4_composite_score,phase4_composite_rank,phase5_score_100,phase7_score_100,phase7_trade_permission,macd_cross_state,macd_divergence_state,volume_price_divergence_state,ATR14,ATR%,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,建议总仓位%,波动分层,reason,trade_permission,next_open_trade_permission,next_open_trade_warning,trade_permission_note,source_tags,phase7_feature_trade_date,phase7_model_name,phase7_model_version,phase1_feature_trade_date,phase1_model_name,phase1_model_version,phase2_feature_trade_date,phase2_model_name,phase2_model_version,phase4_feature_trade_date,phase4_model_name,phase4_model_version,macd,macd_signal_line,macd_hist,macd_top_divergence_15d,macd_bottom_divergence_15d,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,交易日期,收盘价,patterns,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,连续上榜天数,macd_top_divergence_signal_date,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,extension_above_old_high_pct,days_after_breakout,post_breakout_max_high_extension_pct,macd_bottom_divergence_signal_date,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,pullback_max_volume,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_rise_tail_volume_ratio,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days,support_touch_date
2026-05-08,1,"=""605058""",澳弘电子,3.1024,pattern,True,"[""5""]",5,67.62,12.52,1,75.24,0.0,104.6492,98.63,104.6492,,75.63,100.0,allow,below_signal,none,bullish,1.6781,4.35,36.8719,35.1937,41.9063,43.5844,27.05,中等波动,"recent 10d high on 2026-04-22 at 38.81, MA20 touch on 2026-05-07, latest distance=-0.67%, vol5_20=0.83",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-08,naive_bayes,trade_day_gate_phase7_v1,2026-05-08,logistic_regression,tail_risk_phase1_v1,2026-05-08,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-08,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.7878,0.8291,-0.0826,False,False,True,False,2026-05-08,38.55,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-22 at 38.81, MA20 touch on 2026-05-07, latest distance=-0.67%, vol5_20=0.83"", ""close"": 38.55, ""distance_to_ma20"": 0.0578, ""volume_ratio_20"": 0.9114, ""recent_high_date"": ""2026-04-22"", ""recent_high_price"": 38.81, ""days_since_recent_high"": 9.0, ""distance_from_recent_high_pct"": -0.0067, ""ma20_slope_short_pct"": 0.0083, ""ma20_slope_long_pct"": 0.0569, ""ma60_slope_short_pct"": 0.004, ""ma60_slope_long_pct"": 0.026, ""pullback_volume_contraction_ratio"": 0.8307, ""ma20_touch_date"": ""2026-05-07"", ""ma20_touch_distance"": -0.9245}]",0.0578,0.9114,2026-04-22,38.81,9.0,-0.0067,0.0083,0.0569,0.004,0.026,0.8307,2026-05-07,-0.9245,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,2,"=""002579""",中京电子,0.0755,pattern,True,"[""5""]",5,68.46,21.14,0,76.92,0.0,103.9136,97.76,103.9136,,56.81,100.0,allow,below_signal,none,bullish,0.5674,4.28,12.6926,12.1253,14.3947,14.9621,27.49,中等波动,"recent 10d high on 2026-04-22 at 13.52, MA20 touch on 2026-05-08, latest distance=-1.92%, vol5_20=0.86",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-08,naive_bayes,trade_day_gate_phase7_v1,2026-05-08,logistic_regression,tail_risk_phase1_v1,2026-05-08,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-08,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.1316,0.1369,-0.0106,False,False,True,False,2026-05-08,13.26,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-22 at 13.52, MA20 touch on 2026-05-08, latest distance=-1.92%, vol5_20=0.86"", ""close"": 13.26, ""distance_to_ma20"": 0.0321, ""volume_ratio_20"": 0.7552, ""recent_high_date"": ""2026-04-22"", ""recent_high_price"": 13.52, ""days_since_recent_high"": 9.0, ""distance_from_recent_high_pct"": -0.0192, ""ma20_slope_short_pct"": 0.0025, ""ma20_slope_long_pct"": 0.0316, ""ma60_slope_short_pct"": 0.0024, ""ma60_slope_long_pct"": 0.0053, ""pullback_volume_contraction_ratio"": 0.8591, ""ma20_touch_date"": ""2026-05-08"", ""ma20_touch_distance"": 0.112}]",0.0321,0.7552,2026-04-22,13.52,9.0,-0.0192,0.0025,0.0316,0.0024,0.0053,0.8591,2026-05-08,0.112,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,3,"=""002805""",丰元股份,0.5302,pattern,True,"[""2""]",2,0.91,0.7,0,0.0,0.0,99.23,99.23,99.23,,70.81,100.0,allow,above_signal,top_divergence,none,1.2328,5.0,23.4172,22.1845,27.1155,28.3483,23.53,中等波动,"price above old high 23.85 from 2025-11-18, post_breakout=2d, vol_ratio=1.07",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-08,naive_bayes,trade_day_gate_phase7_v1,2026-05-08,logistic_regression,tail_risk_phase1_v1,2026-05-08,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-08,lightgbm_regressor,alpha158_qlib_return_phase4_v1,1.6947,0.9403,1.5089,True,False,False,False,2026-05-08,24.65,"[{""pattern_id"": 2, ""reason"": ""price above old high 23.85 from 2025-11-18, post_breakout=2d, vol_ratio=1.07"", ""close"": 24.65, ""old_high_date"": ""2025-11-18"", ""old_high_price"": 23.85, ""days_since_old_high"": 111.0, ""max_drawdown_since_old_high"": 0.3459, ""distance_to_old_high_pct"": -0.0335, ""breakout_date"": ""2026-05-06"", ""breakout_volume_ratio"": 1.0671, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 0.7627, ""breakout_turnover"": 0.2487, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0335, ""days_after_breakout"": 2.0, ""post_breakout_max_high_extension_pct"": 0.0541, ""volume_ratio_20"": 2.1009}]",,2.1009,,,,,,,,,,,,1,2026-04-20,2025-11-18,23.85,111.0,0.3459,-0.0335,2026-05-06,1.0671,1.0,0.0,0.7627,0.2487,low,0.0335,2.0,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,4,"=""600815""",厦工股份,0.0,pattern,True,"[""1""]",1,21.24,5.64,0,0.0,0.0,98.39,98.39,98.39,,83.38,100.0,allow,above_signal,none,bullish,0.2808,5.7,4.6492,4.3684,5.4916,5.7725,20.64,中等波动,"near old high 4.94 from 2018-06-21, distance=0.20%, drawdown=64.17%, vol20=1.08",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-08,naive_bayes,trade_day_gate_phase7_v1,2026-05-08,logistic_regression,tail_risk_phase1_v1,2026-05-08,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-08,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.2587,0.1957,0.126,False,False,True,False,2026-05-08,4.93,"[{""pattern_id"": 1, ""reason"": ""near old high 4.94 from 2018-06-21, distance=0.20%, drawdown=64.17%, vol20=1.08"", ""close"": 4.93, ""old_high_date"": ""2018-06-21"", ""old_high_price"": 4.94, ""days_since_old_high"": 1906.0, ""max_drawdown_since_old_high"": 0.6417, ""distance_to_old_high_pct"": 0.002, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 1.0812}]",,1.0812,,,,,,,,,,,,1,,2018-06-21,4.94,1906.0,0.6417,0.002,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,5,"=""603966""",法兰泰克,2.6241,pattern,True,"[""1""]",1,60.03,17.21,0,60.06,0.0,98.0148,93.21,98.0148,,79.17,100.0,allow,below_signal,none,bullish,0.4844,3.35,13.9856,13.5013,15.4387,15.9231,35.12,中等波动,"near old high 14.72 from 2026-01-19, distance=1.70%, drawdown=25.88%, vol20=0.85",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-08,naive_bayes,trade_day_gate_phase7_v1,2026-05-08,logistic_regression,tail_risk_phase1_v1,2026-05-08,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-08,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.298,0.3239,-0.0517,False,False,True,False,2026-05-08,14.47,"[{""pattern_id"": 1, ""reason"": ""near old high 14.72 from 2026-01-19, distance=1.70%, drawdown=25.88%, vol20=0.85"", ""close"": 14.47, ""old_high_date"": ""2026-01-19"", ""old_high_price"": 14.72, ""days_since_old_high"": 69.0, ""max_drawdown_since_old_high"": 0.2588, ""distance_to_old_high_pct"": 0.017, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.8504}]",,0.8504,,,,,,,,,,,,2,,2026-01-19,14.72,69.0,0.2588,0.017,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,6,"=""601231""",环旭电子,-1.2848,pattern,True,"[""5""]",5,78.22,28.96,0,96.44,0.0,97.2052,89.49,97.2052,,74.78,100.0,allow,golden_cross,none,none,2.5072,6.04,38.9828,36.4755,46.5045,49.0117,19.48,高波动,"recent 10d high on 2026-04-22 at 44.89, MA20 touch on 2026-05-07, latest distance=-7.57%, vol5_20=0.85",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-08,naive_bayes,trade_day_gate_phase7_v1,2026-05-08,logistic_regression,tail_risk_phase1_v1,2026-05-08,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-08,lightgbm_regressor,alpha158_qlib_return_phase4_v1,1.05,0.9582,0.1835,False,False,False,False,2026-05-08,41.49,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-22 at 44.89, MA20 touch on 2026-05-07, latest distance=-7.57%, vol5_20=0.85"", ""close"": 41.49, ""distance_to_ma20"": 0.0563, ""volume_ratio_20"": 0.7596, ""recent_high_date"": ""2026-04-22"", ""recent_high_price"": 44.89, ""days_since_recent_high"": 9.0, ""distance_from_recent_high_pct"": -0.0757, ""ma20_slope_short_pct"": 0.0111, ""ma20_slope_long_pct"": 0.0953, ""ma60_slope_short_pct"": 0.0033, ""ma60_slope_long_pct"": 0.0404, ""pullback_volume_contraction_ratio"": 0.8451, ""ma20_touch_date"": ""2026-05-07"", ""ma20_touch_distance"": -0.095}]",0.0563,0.7596,2026-04-22,44.89,9.0,-0.0757,0.0111,0.0953,0.0033,0.0404,0.8451,2026-05-07,-0.095,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,7,"=""003022""",联泓新科,-4.1237,pattern,True,"[""2""]",2,7.95,39.87,1,0.0,19.74,95.8788,93.51,95.8788,,83.84,100.0,allow,above_signal,none,none,0.9882,4.09,23.1918,22.2035,26.1565,27.1447,28.76,中等波动,"price above old high 23.89 from 2025-09-12, post_breakout=8d, vol_ratio=1.48",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-08,naive_bayes,trade_day_gate_phase7_v1,2026-05-08,logistic_regression,tail_risk_phase1_v1,2026-05-08,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-08,lightgbm_regressor,alpha158_qlib_return_phase4_v1,1.116,1.0275,0.177,False,False,False,False,2026-05-08,24.18,"[{""pattern_id"": 2, ""reason"": ""price above old high 23.89 from 2025-09-12, post_breakout=8d, vol_ratio=1.48"", ""close"": 24.18, ""old_high_date"": ""2025-09-12"", ""old_high_price"": 23.89, ""days_since_old_high"": 152.0, ""max_drawdown_since_old_high"": 0.2453, ""distance_to_old_high_pct"": -0.0121, ""breakout_date"": ""2026-04-23"", ""breakout_volume_ratio"": 1.4798, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 1.0, ""breakout_turnover"": 0.0292, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0121, ""days_after_breakout"": 8.0, ""post_breakout_max_high_extension_pct"": 0.0468, ""volume_ratio_20"": 1.3195}]",,1.3195,,,,,,,,,,,,1,,2025-09-12,23.89,152.0,0.2453,-0.0121,2026-04-23,1.4798,1.0,0.0,1.0,0.0292,low,0.0121,8.0,0.0468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,8,"=""002293""",罗莱生活,0.7533,pattern,True,"[""3""]",3,38.22,51.81,0,16.44,43.62,95.0696,88.52,95.0696,,83.47,100.0,allow,above_signal,bottom_divergence,none,0.3865,3.61,10.3135,9.9271,11.4729,11.8594,32.59,中等波动,"post breakout 8d from 2026-04-23, below old high 11.15, vol_ratio=1.55",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-08,naive_bayes,trade_day_gate_phase7_v1,2026-05-08,logistic_regression,tail_risk_phase1_v1,2026-05-08,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-08,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.2084,0.202,0.0128,False,True,False,False,2026-05-08,10.7,"[{""pattern_id"": 3, ""reason"": ""post breakout 8d from 2026-04-23, below old high 11.15, vol_ratio=1.55"", ""close"": 10.7, ""old_high_date"": ""2023-05-09"", ""old_high_price"": 11.15, ""days_since_old_high"": 725.0, ""max_drawdown_since_old_high"": 0.5, ""distance_to_old_high_pct"": 0.0404, ""breakout_date"": ""2026-04-23"", ""breakout_volume_ratio"": 1.5516, ""breakout_close_position"": 0.6986, ""breakout_upper_shadow_pct"": 0.3014, ""breakout_body_pct"": 0.3562, ""breakout_turnover"": 0.039, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0, ""days_after_breakout"": 8.0, ""post_breakout_max_high_extension_pct"": 0.0401, ""volume_ratio_20"": 1.0211}]",,1.0211,,,,,,,,,,,,1,,2023-05-09,11.15,725.0,0.5,0.0404,2026-04-23,1.5516,0.6986,0.3014,0.3562,0.039,low,0.0,8.0,0.0401,2026-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,9,"=""002821""",凯莱英,-3.5134,pattern,True,"[""4""]",4,11.21,29.09,1,0.0,0.0,94.24,94.24,94.24,,57.83,100.0,allow,above_signal,top_divergence,none,5.2917,4.28,118.2883,112.9966,134.1634,139.4552,27.49,中等波动,"duck peak 2026-04-02 at 129.80, neck=25.47%, pullback=15.25%, cross=2026-04-28, vol/pk_tail=0.45",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-08,naive_bayes,trade_day_gate_phase7_v1,2026-05-08,logistic_regression,tail_risk_phase1_v1,2026-05-08,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-08,lightgbm_regressor,alpha158_qlib_return_phase4_v1,4.4743,4.1771,0.5944,True,False,False,False,2026-05-08,123.58,"[{""pattern_id"": 4, ""reason"": ""duck peak 2026-04-02 at 129.80, neck=25.47%, pullback=15.25%, cross=2026-04-28, vol/pk_tail=0.45"", ""close"": 123.58, ""duck_peak_date"": ""2026-04-02"", ""duck_peak_price"": 129.8, ""days_since_duck_peak"": 22.0, ""neck_start_date"": ""2026-02-12"", ""neck_return_pct"": 0.2547, ""neck_low_to_peak_return_pct"": 0.4212, ""pullback_low_date"": ""2026-04-22"", ""pullback_low_price"": 110.0, ""peak_to_pullback_drawdown_pct"": 0.1525, ""nostril_cross_date"": ""2026-04-28"", ""days_since_nostril_cross"": 5.0, ""cross_after_pullback_low_days"": 4.0, ""nostril_cross_ma5_ma10_gap_pct"": 0.0126, ""latest_ma5_ma10_gap_pct"": 0.0323, ""nostril_volume_ma20_ratio"": 0.8097, ""distance_to_duck_peak_pct"": -0.0479, ""pullback_volume_peak_tail_ratio"": 0.4527, ""pullback_back_half_volume_ratio"": 0.6244, ""pullback_max_single_day_peak_tail_ratio"": 0.9594, ""large_bearish_count"": 0.0, ""max_bearish_body_pct"": 0.0372, ""max_bearish_volume_ratio"": 2.1191, ""volume_ratio_20"": 0.6142, ""pullback_max_volume"": 21306284.0}]",,0.6142,,,,,,,,,,,,1,2026-04-30,,,,,,,,,,,,,,,,,2026-04-02,129.8,22.0,2026-02-12,0.2547,0.4212,2026-04-22,110.0,0.1525,2026-04-28,5.0,4.0,0.0126,0.0323,0.8097,-0.0479,0.4527,0.6244,0.9594,0.0,0.0372,2.1191,21306284.0,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,10,"=""600929""",雪天盐业,6.0383,pattern,True,"[""5""]",5,7.42,15.54,1,0.0,0.0,94.21,94.21,94.21,,73.84,100.0,allow,below_signal,bottom_divergence,bullish,0.2898,4.03,6.9102,6.6204,7.7796,8.0694,29.19,中等波动,"recent 10d high on 2026-04-22 at 7.30, MA20 touch on 2026-05-08, latest distance=-1.37%, vol5_20=0.77",allow,allow,False,Phase7 判断当日买点环境允许交易。,"[""pattern""]",2026-05-08,naive_bayes,trade_day_gate_phase7_v1,2026-05-08,logistic_regression,tail_risk_phase1_v1,2026-05-08,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-08,lightgbm_regressor,alpha158_qlib_return_phase4_v1,0.1814,0.2021,-0.0416,False,True,True,False,2026-05-08,7.2,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-22 at 7.30, MA20 touch on 2026-05-08, latest distance=-1.37%, vol5_20=0.77"", ""close"": 7.2, ""distance_to_ma20"": 0.0434, ""volume_ratio_20"": 1.3887, ""recent_high_date"": ""2026-04-22"", ""recent_high_price"": 7.3, ""days_since_recent_high"": 9.0, ""distance_from_recent_high_pct"": -0.0137, ""ma20_slope_short_pct"": 0.0085, ""ma20_slope_long_pct"": 0.0869, ""ma60_slope_short_pct"": 0.0026, ""ma60_slope_long_pct"": 0.0262, ""pullback_volume_contraction_ratio"": 0.7722, ""ma20_touch_date"": ""2026-05-08"", ""ma20_touch_distance"": -0.1305}]",0.0434,1.3887,2026-04-22,7.3,9.0,-0.0137,0.0085,0.0869,0.0026,0.0262,0.7722,2026-05-08,-0.1305,1,,,,,,,,,,,,,,,,,2026-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
