trade_date,candidate_index,symbol,name,涨幅%,source,pattern_match,pattern_ids,pattern_id,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase5_score_100,ATR%,建议总仓位%,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,ATR14,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,phase2_is_cusum_event,phase1_center_score,phase2_center_score,centered_risk_score,phase4_composite_score,phase4_composite_rank,phase7_score_100,phase7_trade_permission,phase1_feature_trade_date,phase1_model_name,phase1_model_version,phase2_feature_trade_date,phase2_model_name,phase2_model_version,phase4_feature_trade_date,phase4_model_name,phase4_model_version,phase7_feature_trade_date,phase7_model_name,phase7_model_version,trade_permission,next_open_trade_permission,next_open_trade_warning,trade_permission_note,reason,patterns,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,extension_above_old_high_pct,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_volume,pullback_max_rise_tail_volume_ratio,support_touch_date,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days,source_tags,phase4_5d_mean_rank,phase4_5d_mean_top5,交易日期,收盘价,连续上榜天数
2026-05-12,1,"=""002805""",丰元股份,-2.5137,pattern,True,"[""2""]",2,2.92,5.8,98.39,72.5,41.89,70.81,4.98,23.6,above_signal,top_divergence,none,True,False,2026-04-20,,False,False,1.9797,1.3009,1.3575,1.2372,23.5828,22.3455,27.2945,28.5317,中等波动,0,0.0,0.0,98.39,98.39,,100.0,allow,2026-05-12,logistic_regression,tail_risk_phase1_v1,2026-05-12,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-12,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-05-12,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"price above old high 23.85 from 2025-11-18, post_breakout=4d, vol_ratio=1.07","[{""pattern_id"": 2, ""reason"": ""price above old high 23.85 from 2025-11-18, post_breakout=4d, vol_ratio=1.07"", ""close"": 24.82, ""old_high_date"": ""2025-11-18"", ""old_high_price"": 23.85, ""days_since_old_high"": 113.0, ""max_drawdown_since_old_high"": 0.3459, ""distance_to_old_high_pct"": -0.0407, ""breakout_date"": ""2026-05-06"", ""breakout_volume_ratio"": 1.0671, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 0.7627, ""breakout_turnover"": 0.2487, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0407, ""days_after_breakout"": 4.0, ""post_breakout_max_high_extension_pct"": 0.0541, ""volume_ratio_20"": 1.1013}]",2025-11-18,23.85,113.0,0.3459,-0.0407,2026-05-06,1.0671,1.0,0.0,0.7627,0.2487,low,0.0407,4.0,0.0541,,,,,,,,,,,,,,,,,,,,,,,,1.1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",528.0,False,2026-05-12,24.82,3
2026-05-12,2,"=""002803""",吉宏股份,1.4447,pattern,True,"[""1""]",1,54.17,14.88,94.31,54.31,38.33,55.66,3.81,30.9,above_signal,none,none,False,False,,,False,False,1.1857,0.7907,0.7899,0.8556,21.6144,20.7587,24.1813,25.0369,中等波动,0,48.34,0.0,98.1772,98.1772,,100.0,allow,2026-05-12,logistic_regression,tail_risk_phase1_v1,2026-05-12,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-12,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-05-12,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"near old high 23.65 from 2023-11-21, distance=4.99%, drawdown=61.70%, vol20=0.77","[{""pattern_id"": 1, ""reason"": ""near old high 23.65 from 2023-11-21, distance=4.99%, drawdown=61.70%, vol20=0.77"", ""close"": 22.47, ""old_high_date"": ""2023-11-21"", ""old_high_price"": 23.65, ""days_since_old_high"": 595.0, ""max_drawdown_since_old_high"": 0.617, ""distance_to_old_high_pct"": 0.0499, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.7654}]",2023-11-21,23.65,595.0,0.617,0.0499,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.7654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1303.0,False,2026-05-12,22.47,1
2026-05-12,3,"=""002293""",罗莱生活,6.0109,pattern,True,"[""2""]",2,13.24,19.88,97.06,93.06,3.36,83.47,3.61,32.61,above_signal,none,none,False,False,,,False,False,0.2619,0.2153,0.0933,0.42,11.22,10.8,12.48,12.9,中等波动,1,0.0,0.0,97.06,97.06,,100.0,allow,2026-05-12,logistic_regression,tail_risk_phase1_v1,2026-05-12,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-12,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-05-12,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"price above old high 11.15 from 2023-05-09, post_breakout=10d, vol_ratio=1.55","[{""pattern_id"": 2, ""reason"": ""price above old high 11.15 from 2023-05-09, post_breakout=10d, vol_ratio=1.55"", ""close"": 11.64, ""old_high_date"": ""2023-05-09"", ""old_high_price"": 11.15, ""days_since_old_high"": 727.0, ""max_drawdown_since_old_high"": 0.5, ""distance_to_old_high_pct"": -0.0439, ""breakout_date"": ""2026-04-23"", ""breakout_volume_ratio"": 1.5516, ""breakout_close_position"": 0.6986, ""breakout_upper_shadow_pct"": 0.3014, ""breakout_body_pct"": 0.3562, ""breakout_turnover"": 0.039, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0439, ""days_after_breakout"": 10.0, ""post_breakout_max_high_extension_pct"": 0.0629, ""volume_ratio_20"": 1.4642}]",2023-05-09,11.15,727.0,0.5,-0.0439,2026-04-23,1.5516,0.6986,0.3014,0.3562,0.039,low,0.0439,10.0,0.0629,,,,,,,,,,,,,,,,,,,,,,,,1.4642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",35.0,False,2026-05-12,11.64,3
2026-05-12,4,"=""002663""",普邦股份,0.4132,pattern,True,"[""1""]",1,85.45,21.52,89.9,83.96,15.6,69.86,4.86,24.21,above_signal,none,none,False,False,,,False,False,0.039,0.0055,0.0671,0.1181,2.3119,2.1938,2.6662,2.7843,中等波动,1,89.1,0.0,97.028,97.028,,100.0,allow,2026-05-12,logistic_regression,tail_risk_phase1_v1,2026-05-12,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-12,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-05-12,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"near old high 2.55 from 2025-11-14, distance=4.71%, drawdown=26.67%, vol20=0.93","[{""pattern_id"": 1, ""reason"": ""near old high 2.55 from 2025-11-14, distance=4.71%, drawdown=26.67%, vol20=0.93"", ""close"": 2.43, ""old_high_date"": ""2025-11-14"", ""old_high_price"": 2.55, ""days_since_old_high"": 115.0, ""max_drawdown_since_old_high"": 0.2667, ""distance_to_old_high_pct"": 0.0471, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.9304}]",2025-11-14,2.55,115.0,0.2667,0.0471,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.9304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",173.0,False,2026-05-12,2.43,1
2026-05-12,5,"=""003022""",联泓新科,2.1158,pattern,True,"[""2""]",2,8.08,7.68,95.62,54.0,40.72,83.84,4.15,28.33,above_signal,none,none,False,False,,,False,False,1.1284,1.0603,0.1361,1.0624,24.5176,23.4553,27.7047,28.7671,中等波动,0,0.0,0.0,95.62,95.62,,100.0,allow,2026-05-12,logistic_regression,tail_risk_phase1_v1,2026-05-12,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-12,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-05-12,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"price above old high 23.89 from 2025-09-12, post_breakout=10d, vol_ratio=1.48","[{""pattern_id"": 2, ""reason"": ""price above old high 23.89 from 2025-09-12, post_breakout=10d, vol_ratio=1.48"", ""close"": 25.58, ""old_high_date"": ""2025-09-12"", ""old_high_price"": 23.89, ""days_since_old_high"": 154.0, ""max_drawdown_since_old_high"": 0.2453, ""distance_to_old_high_pct"": -0.0707, ""breakout_date"": ""2026-04-23"", ""breakout_volume_ratio"": 1.4798, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 1.0, ""breakout_turnover"": 0.0292, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0707, ""days_after_breakout"": 10.0, ""post_breakout_max_high_extension_pct"": 0.069, ""volume_ratio_20"": 1.6445}]",2025-09-12,23.89,154.0,0.2453,-0.0707,2026-04-23,1.4798,1.0,0.0,1.0,0.0292,low,0.0707,10.0,0.069,,,,,,,,,,,,,,,,,,,,,,,,1.6445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1323.0,False,2026-05-12,25.58,1
2026-05-12,6,"=""605298""",必得科技,-1.7103,pattern,True,"[""6""]",6,7.88,31.04,95.08,68.2,26.82,76.46,4.85,24.24,below_signal,none,none,False,False,,,False,False,2.4069,2.955,-1.0962,2.7336,53.5864,50.8528,61.7872,64.5207,中等波动,1,0.0,2.08,95.3296,95.3296,,100.0,allow,2026-05-12,logistic_regression,tail_risk_phase1_v1,2026-05-12,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-12,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-05-12,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"double-volume support hold: anchor=2026-04-17 close=54.75, peak=65.00 on 2026-04-23, launch=18.72%, limit_up_like=2, pullback=14.31%, vol_back/front=0.58, pullback_max/rise_tail=1.00, touch=2026-05-12","[{""pattern_id"": 6, ""reason"": ""double-volume support hold: anchor=2026-04-17 close=54.75, peak=65.00 on 2026-04-23, launch=18.72%, limit_up_like=2, pullback=14.31%, vol_back/front=0.58, pullback_max/rise_tail=1.00, touch=2026-05-12"", ""close"": 56.32, ""pullback_low_date"": ""2026-05-12"", ""pullback_low_price"": 55.7, ""peak_to_pullback_drawdown_pct"": 0.1431, ""pullback_back_half_volume_ratio"": 0.582, ""volume_ratio_20"": 0.8154, ""pattern6_branch"": ""support_hold"", ""anchor_date"": ""2026-04-17"", ""anchor_close"": 54.75, ""support_price"": 54.75, ""anchor_volume_ratio_prev"": 1.3196, ""anchor_volume_ratio_ma20"": 1.8433, ""launch_confirm_high_date"": ""2026-04-23"", ""launch_confirm_high_price"": 65.0, ""launch_confirm_return_pct"": 0.1872, ""peak_date"": ""2026-04-23"", ""peak_price"": 65.0, ""anchor_to_peak_return_pct"": 0.1872, ""limit_up_like_count"": 2.0, ""pullback_volume_ratio_to_anchor"": 0.7655, ""pullback_front_half_avg_volume"": 3401296.8, ""pullback_back_half_avg_volume"": 1979595.6, ""rise_tail_avg_volume"": 5103046.6667, ""pullback_max_volume"": 5104351.0, ""pullback_max_rise_tail_volume_ratio"": 1.0003, ""support_touch_date"": ""2026-05-12""}]",,,,,,,,,,,,,,,,,,,,,,2026-05-12,55.7,0.1431,,,,,,,,,0.582,,,,,,0.8154,,,,,,,,,,,,support_hold,2026-04-17,54.75,54.75,1.3196,1.8433,2026-04-23,65.0,0.1872,2026-04-23,65.0,0.1872,2.0,0.7655,3401296.8,1979595.6,5103046.6667,5104351.0,1.0003,2026-05-12,,,,,,"[""pattern""]",691.0,False,2026-05-12,56.32,1
2026-05-12,7,"=""000810""",创维数字,-1.7829,pattern,True,"[""5""]",5,44.52,49.15,86.22,70.42,15.83,57.01,2.89,40.0,dead_cross,top_divergence,bearish,True,False,2026-05-12,,False,True,0.3684,0.3795,-0.0222,0.3664,12.3036,11.9372,13.4028,13.7693,低波动,0,29.04,38.3,93.1392,93.1392,,100.0,allow,2026-05-12,logistic_regression,tail_risk_phase1_v1,2026-05-12,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-12,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-05-12,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"recent 10d high on 2026-04-27 at 13.08, MA20 touch on 2026-05-12, latest distance=-3.13%, vol5_20=0.80","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-27 at 13.08, MA20 touch on 2026-05-12, latest distance=-3.13%, vol5_20=0.80"", ""close"": 12.67, ""distance_to_ma20"": 0.014, ""volume_ratio_20"": 0.6861, ""recent_high_date"": ""2026-04-27"", ""recent_high_price"": 13.08, ""days_since_recent_high"": 8.0, ""distance_from_recent_high_pct"": -0.0313, ""ma20_slope_short_pct"": 0.0028, ""ma20_slope_long_pct"": 0.0768, ""ma60_slope_short_pct"": 0.0014, ""ma60_slope_long_pct"": 0.0129, ""pullback_volume_contraction_ratio"": 0.7986, ""ma20_touch_date"": ""2026-05-12"", ""ma20_touch_distance"": 0.1055}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.6861,2026-04-27,13.08,8.0,-0.0313,0.0028,0.0768,0.0014,0.0129,0.7986,2026-05-12,0.1055,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",604.0,False,2026-05-12,12.67,1
2026-05-12,8,"=""605258""",协和电子,-2.0005,pattern,True,"[""1""]",1,77.98,43.01,80.9,84.56,11.13,61.27,4.03,29.18,above_signal,top_divergence,none,True,False,2026-04-29,,False,False,0.7067,0.5922,0.229,1.5407,36.6693,35.1286,41.2914,42.8321,中等波动,0,95.96,26.02,91.6992,91.6992,,100.0,allow,2026-05-12,logistic_regression,tail_risk_phase1_v1,2026-05-12,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-12,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-05-12,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"near old high 39.67 from 2025-11-04, distance=3.68%, drawdown=24.02%, vol20=0.88","[{""pattern_id"": 1, ""reason"": ""near old high 39.67 from 2025-11-04, distance=3.68%, drawdown=24.02%, vol20=0.88"", ""close"": 38.21, ""old_high_date"": ""2025-11-04"", ""old_high_price"": 39.67, ""days_since_old_high"": 123.0, ""max_drawdown_since_old_high"": 0.2402, ""distance_to_old_high_pct"": 0.0368, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.8831}]",2025-11-04,39.67,123.0,0.2402,0.0368,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.8831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",164.0,False,2026-05-12,38.21,1
2026-05-12,9,"=""002768""",国恩股份,0.7598,pattern,True,"[""2""]",2,31.18,12.3,91.03,54.4,33.36,81.48,3.77,31.24,above_signal,none,none,False,False,,,False,False,2.3269,1.3128,2.0282,2.2975,58.7025,56.405,65.595,67.8924,中等波动,0,2.36,0.0,91.2188,91.2188,,100.0,allow,2026-05-12,logistic_regression,tail_risk_phase1_v1,2026-05-12,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-12,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-05-12,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"price above old high 60.98 from 2026-01-27, post_breakout=1d, vol_ratio=1.30","[{""pattern_id"": 2, ""reason"": ""price above old high 60.98 from 2026-01-27, post_breakout=1d, vol_ratio=1.30"", ""close"": 61.0, ""old_high_date"": ""2026-01-27"", ""old_high_price"": 60.98, ""days_since_old_high"": 65.0, ""max_drawdown_since_old_high"": 0.2748, ""distance_to_old_high_pct"": -0.0003, ""breakout_date"": ""2026-05-11"", ""breakout_volume_ratio"": 1.3047, ""breakout_close_position"": 0.8072, ""breakout_upper_shadow_pct"": 0.1928, ""breakout_body_pct"": 0.6992, ""breakout_turnover"": 0.0567, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0003, ""days_after_breakout"": 1.0, ""post_breakout_max_high_extension_pct"": 0.0167, ""volume_ratio_20"": 1.1527}]",2026-01-27,60.98,65.0,0.2748,-0.0003,2026-05-11,1.3047,0.8072,0.1928,0.6992,0.0567,low,0.0003,1.0,0.0167,,,,,,,,,,,,,,,,,,,,,,,,1.1527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1299.0,False,2026-05-12,61.0,1
2026-05-12,10,"=""603259""",药明康德,1.4809,pattern,True,"[""1""]",1,11.0,18.0,90.2,91.44,4.69,56.67,3.43,34.28,above_signal,top_divergence,bullish,True,False,2026-05-06,,True,False,2.7759,2.4205,0.7108,3.7862,106.5438,102.7576,117.9024,121.6887,中等波动,1,0.0,0.0,90.2,90.2,,100.0,allow,2026-05-12,logistic_regression,tail_risk_phase1_v1,2026-05-12,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-12,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2026-05-12,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"near old high 115.41 from 2025-09-02, distance=4.40%, drawdown=24.54%, vol20=1.42","[{""pattern_id"": 1, ""reason"": ""near old high 115.41 from 2025-09-02, distance=4.40%, drawdown=24.54%, vol20=1.42"", ""close"": 110.33, ""old_high_date"": ""2025-09-02"", ""old_high_price"": 115.4126, ""days_since_old_high"": 162.0, ""max_drawdown_since_old_high"": 0.2454, ""distance_to_old_high_pct"": 0.044, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 1.4192}]",2025-09-02,115.4126,162.0,0.2454,0.044,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.4192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",50.0,False,2026-05-12,110.33,1
