trade_date,candidate_index,symbol,name,涨幅%,source,pattern_match,pattern_ids,pattern_id,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase8_score_100,phase5_score_100,ATR%,建议总仓位%,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,ATR14,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,phase2_is_cusum_event,phase1_center_score,phase2_center_score,centered_risk_score,phase4_composite_score,phase4_composite_rank,phase7_score_100,phase7_trade_permission,phase1_feature_trade_date,phase1_model_name,phase1_model_version,phase2_feature_trade_date,phase2_model_name,phase2_model_version,phase4_feature_trade_date,phase4_model_name,phase4_model_version,phase8_rank,phase8_top5_rank,phase8_feature_trade_date,phase8_model_name,phase8_model_version,today_limit_up_excluded,today_high_return_vs_prev_close,today_close_return_vs_prev_close,phase7_feature_trade_date,phase7_model_name,phase7_model_version,trade_permission,next_open_trade_permission,next_open_trade_warning,trade_permission_note,reason,patterns,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,extension_above_old_high_pct,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_volume,pullback_max_rise_tail_volume_ratio,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days,source_tags,phase4_5d_mean_rank,phase4_5d_mean_top5,交易日期,收盘价,连续上榜天数
2026-05-14,1,"=""603815""",交建股份,-2.6352,pattern,True,"[""5""]",5,21.46,94.34,97.32,60.18,33.4,76.58,15.46,4.88,24.09,dead_cross,none,none,False,False,,,False,False,0.2502,0.2531,-0.0059,0.3429,6.6771,6.3341,7.7059,8.0488,中等波动,0,0.0,71.32,105.8784,105.8784,,100.0,allow,2026-05-14,logistic_regression,tail_risk_phase1_v1,2026-05-14,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-14,lightgbm_regressor,alpha158_qlib_return_phase4_v1,682.0,,2026-05-14,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0208,-0.0264,2026-05-14,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"recent 10d high on 2026-05-07 at 7.77, MA20 touch on 2026-05-13, latest distance=-9.65%, vol5_20=0.76","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-05-07 at 7.77, MA20 touch on 2026-05-13, latest distance=-9.65%, vol5_20=0.76"", ""close"": 7.02, ""distance_to_ma20"": 0.0019, ""volume_ratio_20"": 0.4301, ""recent_high_date"": ""2026-05-07"", ""recent_high_price"": 7.77, ""days_since_recent_high"": 5.0, ""distance_from_recent_high_pct"": -0.0965, ""ma20_slope_short_pct"": 0.009, ""ma20_slope_long_pct"": 0.1128, ""ma60_slope_short_pct"": 0.0002, ""ma60_slope_long_pct"": 0.0049, ""pullback_volume_contraction_ratio"": 0.7566, ""ma20_touch_date"": ""2026-05-13"", ""ma20_touch_distance"": 0.0655}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019,0.4301,2026-05-07,7.77,5.0,-0.0965,0.009,0.1128,0.0002,0.0049,0.7566,2026-05-13,0.0655,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1001.0,False,2026-05-14,7.02,1
2026-05-14,2,"=""000906""",浙商中拓,-2.7778,pattern,True,"[""2""]",2,33.88,60.9,92.8,42.36,29.04,96.46,42.67,3.13,37.54,above_signal,bottom_divergence,none,False,True,,2026-04-21,False,False,0.2447,0.1852,0.119,0.2084,6.4416,6.2333,7.0667,7.2751,中等波动,1,7.76,61.8,100.8368,100.8368,,100.0,allow,2026-05-14,logistic_regression,tail_risk_phase1_v1,2026-05-14,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-14,lightgbm_regressor,alpha158_qlib_return_phase4_v1,104.0,,2026-05-14,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0,-0.0278,2026-05-14,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"price above old high 6.38 from 2025-11-14, post_breakout=10d, vol_ratio=1.27","[{""pattern_id"": 2, ""reason"": ""price above old high 6.38 from 2025-11-14, post_breakout=10d, vol_ratio=1.27"", ""close"": 6.65, ""old_high_date"": ""2025-11-14"", ""old_high_price"": 6.38, ""days_since_old_high"": 117.0, ""max_drawdown_since_old_high"": 0.1677, ""distance_to_old_high_pct"": -0.0423, ""breakout_date"": ""2026-04-27"", ""breakout_volume_ratio"": 1.2689, ""breakout_close_position"": 0.8837, ""breakout_upper_shadow_pct"": 0.1163, ""breakout_body_pct"": 0.3023, ""breakout_turnover"": 0.1054, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0423, ""days_after_breakout"": 10.0, ""post_breakout_max_high_extension_pct"": 0.0792, ""volume_ratio_20"": 0.7525}]",2025-11-14,6.38,117.0,0.1677,-0.0423,2026-04-27,1.2689,0.8837,0.1163,0.3023,0.1054,low,0.0423,10.0,0.0792,,,,,,,,,,,,,,,,,,,,,,,,0.7525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1861.0,False,2026-05-14,6.65,1
2026-05-14,3,"=""002034""",旺能环境,2.5151,pattern,True,"[""2""]",2,9.07,2.91,99.56,88.72,10.02,35.59,82.92,4.3,27.33,above_signal,top_divergence,none,True,False,2026-05-11,,False,False,0.6259,0.2598,0.7322,0.9475,21.0625,20.1151,23.9049,24.8524,中等波动,0,0.0,0.0,99.56,99.56,,100.0,allow,2026-05-14,logistic_regression,tail_risk_phase1_v1,2026-05-14,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-14,lightgbm_regressor,alpha158_qlib_return_phase4_v1,1874.0,,2026-05-14,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0573,0.0252,2026-05-14,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"price above old high 20.63 from 2025-03-18, post_breakout=1d, vol_ratio=1.65","[{""pattern_id"": 2, ""reason"": ""price above old high 20.63 from 2025-03-18, post_breakout=1d, vol_ratio=1.65"", ""close"": 22.01, ""old_high_date"": ""2025-03-18"", ""old_high_price"": 20.6289, ""days_since_old_high"": 279.0, ""max_drawdown_since_old_high"": 0.2704, ""distance_to_old_high_pct"": -0.0669, ""breakout_date"": ""2026-05-13"", ""breakout_volume_ratio"": 1.6491, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 0.9427, ""breakout_turnover"": 0.0977, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0669, ""days_after_breakout"": 1.0, ""post_breakout_max_high_extension_pct"": 0.0573, ""volume_ratio_20"": 2.2052}]",2025-03-18,20.6289,279.0,0.2704,-0.0669,2026-05-13,1.6491,1.0,0.0,0.9427,0.0977,low,0.0669,1.0,0.0573,,,,,,,,,,,,,,,,,,,,,,,,2.2052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",57.0,False,2026-05-14,22.01,1
2026-05-14,4,"=""603270""",金帝股份,-0.6662,pattern,True,"[""1""]",1,52.9,47.81,90.53,66.79,25.09,86.24,32.42,3.06,38.45,above_signal,bottom_divergence,bullish,False,True,,2026-05-06,True,False,0.8211,0.7028,0.2366,0.8669,27.4631,26.5961,30.0639,30.9308,中等波动,0,45.8,35.62,98.4684,98.4684,,100.0,allow,2026-05-14,logistic_regression,tail_risk_phase1_v1,2026-05-14,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-14,lightgbm_regressor,alpha158_qlib_return_phase4_v1,401.0,,2026-05-14,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0123,-0.0067,2026-05-14,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"near old high 29.24 from 2025-08-21, distance=3.11%, drawdown=21.78%, vol20=1.03","[{""pattern_id"": 1, ""reason"": ""near old high 29.24 from 2025-08-21, distance=3.11%, drawdown=21.78%, vol20=1.03"", ""close"": 28.33, ""old_high_date"": ""2025-08-21"", ""old_high_price"": 29.2392, ""days_since_old_high"": 172.0, ""max_drawdown_since_old_high"": 0.2178, ""distance_to_old_high_pct"": 0.0311, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 1.0315}]",2025-08-21,29.2392,172.0,0.2178,0.0311,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",701.0,False,2026-05-14,28.33,1
2026-05-14,5,"=""600150""",中国船舶,-3.7108,pattern,True,"[""3""]",3,14.93,28.36,91.36,69.91,25.65,58.49,72.23,3.49,33.66,above_signal,none,none,False,False,,,False,False,1.9482,1.8473,0.2019,1.4057,38.8143,37.4086,43.0314,44.437,中等波动,1,0.0,0.0,91.36,91.36,,100.0,allow,2026-05-14,logistic_regression,tail_risk_phase1_v1,2026-05-14,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-14,lightgbm_regressor,alpha158_qlib_return_phase4_v1,1208.0,,2026-05-14,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0007,-0.0371,2026-05-14,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"post breakout 9d from 2026-04-28, below old high 40.98, vol_ratio=1.09","[{""pattern_id"": 3, ""reason"": ""post breakout 9d from 2026-04-28, below old high 40.98, vol_ratio=1.09"", ""close"": 40.22, ""old_high_date"": ""2025-08-19"", ""old_high_price"": 40.98, ""days_since_old_high"": 174.0, ""max_drawdown_since_old_high"": 0.2679, ""distance_to_old_high_pct"": 0.0185, ""breakout_date"": ""2026-04-28"", ""breakout_volume_ratio"": 1.0865, ""breakout_close_position"": 0.8077, ""breakout_upper_shadow_pct"": 0.1923, ""breakout_body_pct"": 0.7722, ""breakout_turnover"": 0.0433, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0, ""days_after_breakout"": 9.0, ""post_breakout_max_high_extension_pct"": 0.0508, ""volume_ratio_20"": 0.7336}]",2025-08-19,40.98,174.0,0.2679,0.0185,2026-04-28,1.0865,0.8077,0.1923,0.7722,0.0433,low,0.0,9.0,0.0508,,,,,,,,,,,,,,,,,,,,,,,,0.7336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",579.0,False,2026-05-14,40.22,3
2026-05-14,6,"=""605162""",新中港,-4.0664,pattern,True,"[""6""]",6,33.91,31.5,90.16,74.64,16.88,23.14,69.03,6.55,17.95,below_signal,none,none,False,False,,,False,False,-0.1371,0.0022,-0.2785,0.7577,10.8023,10.0447,13.0753,13.833,高波动,1,7.82,3.0,91.1456,91.1456,,100.0,allow,2026-05-14,logistic_regression,tail_risk_phase1_v1,2026-05-14,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-14,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2236.0,,2026-05-14,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0274,-0.0407,2026-05-14,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"double-volume break reclaim: anchor=2026-03-31 support=11.61, peak=15.48 on 2026-04-08, launch=33.33%, limit_up_like=5, pullback_max/rise_tail=0.84, broke=2026-05-06 vol_ratio=0.37, reclaimed=2026-05-07 in 1d","[{""pattern_id"": 6, ""reason"": ""double-volume break reclaim: anchor=2026-03-31 support=11.61, peak=15.48 on 2026-04-08, launch=33.33%, limit_up_like=5, pullback_max/rise_tail=0.84, broke=2026-05-06 vol_ratio=0.37, reclaimed=2026-05-07 in 1d"", ""close"": 11.56, ""pullback_low_date"": ""2026-04-30"", ""pullback_low_price"": 11.09, ""peak_to_pullback_drawdown_pct"": 0.2836, ""pullback_back_half_volume_ratio"": 0.4504, ""volume_ratio_20"": 0.9909, ""pattern6_branch"": ""break_reclaim"", ""anchor_date"": ""2026-03-31"", ""anchor_close"": 11.61, ""support_price"": 11.61, ""anchor_volume_ratio_prev"": 1.1209, ""anchor_volume_ratio_ma20"": 1.6448, ""launch_confirm_high_date"": ""2026-04-08"", ""launch_confirm_high_price"": 15.48, ""launch_confirm_return_pct"": 0.3333, ""peak_date"": ""2026-04-08"", ""peak_price"": 15.48, ""anchor_to_peak_return_pct"": 0.3333, ""limit_up_like_count"": 5.0, ""pullback_volume_ratio_to_anchor"": 0.8302, ""pullback_front_half_avg_volume"": 37970096.1818, ""pullback_back_half_avg_volume"": 17102871.8333, ""rise_tail_avg_volume"": 62073972.6667, ""pullback_max_volume"": 51978014.0, ""pullback_max_rise_tail_volume_ratio"": 0.8374, ""breakdown_date"": ""2026-05-06"", ""breakdown_volume_ratio_to_anchor"": 0.3736, ""reclaim_date"": ""2026-05-07"", ""days_to_reclaim"": 1.0, ""post_reclaim_days"": 5.0}]",,,,,,,,,,,,,,,,,,,,,,2026-04-30,11.09,0.2836,,,,,,,,,0.4504,,,,,,0.9909,,,,,,,,,,,,break_reclaim,2026-03-31,11.61,11.61,1.1209,1.6448,2026-04-08,15.48,0.3333,2026-04-08,15.48,0.3333,5.0,0.8302,37970096.1818,17102871.8333,62073972.6667,51978014.0,0.8374,2026-05-06,0.3736,2026-05-07,1.0,5.0,"[""pattern""]",405.0,False,2026-05-14,11.56,1
2026-05-14,7,"=""603333""",尚纬股份,-2.6637,pattern,True,"[""1""]",1,43.02,35.29,87.14,71.09,18.6,96.42,72.68,3.53,33.34,above_signal,none,none,False,False,,,False,False,0.1966,0.1143,0.1646,0.3095,8.4605,8.1511,9.3889,9.6984,中等波动,0,26.04,10.58,90.4928,90.4928,,100.0,allow,2026-05-14,logistic_regression,tail_risk_phase1_v1,2026-05-14,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-14,lightgbm_regressor,alpha158_qlib_return_phase4_v1,105.0,,2026-05-14,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0044,-0.0266,2026-05-14,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"near old high 9.22 from 2026-01-09, distance=4.88%, drawdown=21.58%, vol20=1.36","[{""pattern_id"": 1, ""reason"": ""near old high 9.22 from 2026-01-09, distance=4.88%, drawdown=21.58%, vol20=1.36"", ""close"": 8.77, ""old_high_date"": ""2026-01-09"", ""old_high_price"": 9.22, ""days_since_old_high"": 79.0, ""max_drawdown_since_old_high"": 0.2158, ""distance_to_old_high_pct"": 0.0488, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 1.3632}]",2026-01-09,9.22,79.0,0.2158,0.0488,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.3632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",530.0,False,2026-05-14,8.77,1
2026-05-14,8,"=""603985""",恒润股份,-4.2976,pattern,True,"[""5""]",5,9.54,16.07,86.94,47.75,26.37,6.95,69.07,6.46,18.22,below_signal,none,none,False,False,,,False,False,1.7427,1.9289,-0.3723,1.7113,24.7887,23.0774,29.9226,31.6338,高波动,1,0.0,0.0,86.94,86.94,,100.0,allow,2026-05-14,logistic_regression,tail_risk_phase1_v1,2026-05-14,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-14,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2707.0,,2026-05-14,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.004,-0.043,2026-05-14,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"recent 10d high on 2026-05-07 at 29.60, MA20 touch on 2026-05-13, latest distance=-10.47%, vol5_20=0.78","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-05-07 at 29.60, MA20 touch on 2026-05-13, latest distance=-10.47%, vol5_20=0.78"", ""close"": 26.5, ""distance_to_ma20"": 0.0238, ""volume_ratio_20"": 0.5777, ""recent_high_date"": ""2026-05-07"", ""recent_high_price"": 29.6, ""days_since_recent_high"": 5.0, ""distance_from_recent_high_pct"": -0.1047, ""ma20_slope_short_pct"": 0.0094, ""ma20_slope_long_pct"": 0.1596, ""ma60_slope_short_pct"": 0.0091, ""ma60_slope_long_pct"": 0.0983, ""pullback_volume_contraction_ratio"": 0.7763, ""ma20_touch_date"": ""2026-05-13"", ""ma20_touch_distance"": 0.066}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0238,0.5777,2026-05-07,29.6,5.0,-0.1047,0.0094,0.1596,0.0091,0.0983,0.7763,2026-05-13,0.066,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",1625.0,False,2026-05-14,26.5,1
2026-05-14,9,"=""600790""",轻纺城,-3.2823,pattern,True,"[""2""]",2,6.96,66.42,75.19,25.76,25.54,99.69,76.15,3.81,30.88,above_signal,none,none,False,False,,,False,False,0.2302,0.1801,0.1002,0.1684,4.2516,4.0832,4.7568,4.9252,中等波动,1,0.0,72.84,83.9308,83.9308,,100.0,allow,2026-05-14,logistic_regression,tail_risk_phase1_v1,2026-05-14,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-14,lightgbm_regressor,alpha158_qlib_return_phase4_v1,10.0,,2026-05-14,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0022,-0.0328,2026-05-14,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"price above old high 4.35 from 2025-04-24, post_breakout=6d, vol_ratio=1.18","[{""pattern_id"": 2, ""reason"": ""price above old high 4.35 from 2025-04-24, post_breakout=6d, vol_ratio=1.18"", ""close"": 4.42, ""old_high_date"": ""2025-04-24"", ""old_high_price"": 4.3479, ""days_since_old_high"": 253.0, ""max_drawdown_since_old_high"": 0.2165, ""distance_to_old_high_pct"": -0.0166, ""breakout_date"": ""2026-05-06"", ""breakout_volume_ratio"": 1.175, ""breakout_close_position"": 1.0, ""breakout_upper_shadow_pct"": 0.0, ""breakout_body_pct"": 0.9318, ""breakout_turnover"": 0.0413, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0166, ""days_after_breakout"": 6.0, ""post_breakout_max_high_extension_pct"": 0.0866, ""volume_ratio_20"": 0.9654}]",2025-04-24,4.3479,253.0,0.2165,-0.0166,2026-05-06,1.175,1.0,0.0,0.9318,0.0413,low,0.0166,6.0,0.0866,,,,,,,,,,,,,,,,,,,,,,,,0.9654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",2554.0,False,2026-05-14,4.42,1
2026-05-14,10,"=""603222""",济民健康,-0.4854,pattern,True,"[""4""]",4,49.82,21.12,80.38,61.49,21.9,82.91,66.09,4.89,24.05,golden_cross,none,none,False,False,,,False,False,0.1399,0.1351,0.0097,0.5014,9.7486,9.2473,11.2527,11.7541,中等波动,0,39.64,0.0,83.5512,83.5512,,100.0,allow,2026-05-14,logistic_regression,tail_risk_phase1_v1,2026-05-14,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-14,lightgbm_regressor,alpha158_qlib_return_phase4_v1,498.0,,2026-05-14,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0456,-0.0049,2026-05-14,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"duck peak 2026-04-07 at 11.52, neck=29.15%, pullback=20.75%, cross=2026-05-08, vol/pk_tail=0.40","[{""pattern_id"": 4, ""reason"": ""duck peak 2026-04-07 at 11.52, neck=29.15%, pullback=20.75%, cross=2026-05-08, vol/pk_tail=0.40"", ""close"": 10.25, ""duck_peak_date"": ""2026-04-07"", ""duck_peak_price"": 11.52, ""days_since_duck_peak"": 24.0, ""neck_start_date"": ""2026-02-24"", ""neck_return_pct"": 0.2915, ""neck_low_to_peak_return_pct"": 0.3714, ""pullback_low_date"": ""2026-04-28"", ""pullback_low_price"": 9.13, ""peak_to_pullback_drawdown_pct"": 0.2075, ""nostril_cross_date"": ""2026-05-08"", ""days_since_nostril_cross"": 4.0, ""cross_after_pullback_low_days"": 5.0, ""nostril_cross_ma5_ma10_gap_pct"": 0.0125, ""latest_ma5_ma10_gap_pct"": 0.0207, ""nostril_volume_ma20_ratio"": 0.6086, ""distance_to_duck_peak_pct"": -0.1102, ""pullback_volume_peak_tail_ratio"": 0.4013, ""pullback_back_half_volume_ratio"": 0.5923, ""pullback_max_single_day_peak_tail_ratio"": 0.994, ""large_bearish_count"": 0.0, ""max_bearish_body_pct"": 0.0327, ""max_bearish_volume_ratio"": 2.4768, ""volume_ratio_20"": 0.617, ""pullback_max_volume"": 81460579.0}]",,,,,,,,,,,,,,,,2026-04-07,11.52,24.0,2026-02-24,0.2915,0.3714,2026-04-28,9.13,0.2075,2026-05-08,4.0,5.0,0.0125,0.0207,0.6086,-0.1102,0.4013,0.5923,0.994,0.0,0.0327,2.4768,,0.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81460579.0,,,,,,,"[""pattern""]",939.0,False,2026-05-14,10.25,2
