trade_date,candidate_index,symbol,name,涨幅%,source,pattern_match,pattern_ids,pattern_id,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase8_score_100,phase5_score_100,ATR%,建议总仓位%,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,ATR14,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,phase2_is_cusum_event,phase1_center_score,phase2_center_score,centered_risk_score,phase4_composite_score,phase4_composite_rank,phase7_score_100,phase7_trade_permission,phase1_feature_trade_date,phase1_model_name,phase1_model_version,phase2_feature_trade_date,phase2_model_name,phase2_model_version,phase4_feature_trade_date,phase4_model_name,phase4_model_version,phase8_rank,phase8_top5_rank,phase8_feature_trade_date,phase8_model_name,phase8_model_version,today_limit_up_excluded,today_high_return_vs_prev_close,today_close_return_vs_prev_close,phase7_feature_trade_date,phase7_model_name,phase7_model_version,trade_permission,next_open_trade_permission,next_open_trade_warning,trade_permission_note,reason,patterns,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,extension_above_old_high_pct,days_after_breakout,post_breakout_max_high_extension_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,pullback_back_half_volume_ratio,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_volume,pullback_max_rise_tail_volume_ratio,support_touch_date,source_tags,phase4_5d_mean_rank,phase4_5d_mean_top5,交易日期,收盘价,连续上榜天数
2026-05-15,1,"=""600203""",福日电子,-1.0998,pattern,True,"[""5""]",5,45.97,66.52,90.33,62.64,22.71,78.41,57.19,3.19,36.85,above_signal,none,none,False,False,,,False,False,0.3565,0.3355,0.042,0.4019,12.1881,11.7863,13.3937,13.7956,中等波动,0,31.94,73.04,101.65,101.65,140.0,100.0,allow,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,629.0,,2026-05-15,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0118,-0.011,2026-05-15,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"recent 10d high on 2026-05-08 at 13.43, MA20 touch on 2026-05-15, latest distance=-6.25%, vol5_20=0.88","[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-05-08 at 13.43, MA20 touch on 2026-05-15, latest distance=-6.25%, vol5_20=0.88"", ""close"": 12.59, ""distance_to_ma20"": 0.0189, ""volume_ratio_20"": 0.8389, ""recent_high_date"": ""2026-05-08"", ""recent_high_price"": 13.43, ""days_since_recent_high"": 5.0, ""distance_from_recent_high_pct"": -0.0625, ""ma20_slope_short_pct"": 0.0046, ""ma20_slope_long_pct"": 0.0721, ""ma60_slope_short_pct"": 0.0005, ""ma60_slope_long_pct"": 0.0061, ""pullback_volume_contraction_ratio"": 0.8815, ""ma20_touch_date"": ""2026-05-15"", ""ma20_touch_distance"": 0.123}]",,,,,,,,,,,,,,,,,,,,0.0189,0.8389,2026-05-08,13.43,5.0,-0.0625,0.0046,0.0721,0.0005,0.0061,0.8815,2026-05-15,0.123,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",914.0,False,2026-05-15,12.59,1
2026-05-15,2,"=""002768""",国恩股份,1.7802,pattern,True,"[""2""]",2,12.65,3.62,96.22,68.59,27.01,39.29,81.09,3.95,29.77,above_signal,none,none,False,False,,,False,False,2.9771,2.051,1.8522,2.4632,59.8568,57.3936,67.2464,69.7096,中等波动,1,0.0,0.0,96.22,96.22,,100.0,allow,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,1767.0,,2026-05-15,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0706,0.0178,2026-05-15,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"price above old high 60.98 from 2026-01-27, post_breakout=4d, vol_ratio=1.30","[{""pattern_id"": 2, ""reason"": ""price above old high 60.98 from 2026-01-27, post_breakout=4d, vol_ratio=1.30"", ""close"": 62.32, ""old_high_date"": ""2026-01-27"", ""old_high_price"": 60.98, ""days_since_old_high"": 68.0, ""max_drawdown_since_old_high"": 0.2748, ""distance_to_old_high_pct"": -0.022, ""breakout_date"": ""2026-05-11"", ""breakout_volume_ratio"": 1.3047, ""breakout_close_position"": 0.8072, ""breakout_upper_shadow_pct"": 0.1928, ""breakout_body_pct"": 0.6992, ""breakout_turnover"": 0.0567, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.022, ""days_after_breakout"": 4.0, ""post_breakout_max_high_extension_pct"": 0.0828, ""volume_ratio_20"": 2.0397}]",2026-01-27,60.98,68.0,0.2748,-0.022,2026-05-11,1.3047,0.8072,0.1928,0.6992,0.0567,low,0.022,4.0,0.0828,,,,,,2.0397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",632.0,False,2026-05-15,62.32,1
2026-05-15,3,"=""002563""",森马服饰,0.0,pattern,True,"[""2""]",2,52.83,75.43,79.75,88.26,5.74,92.75,28.78,2.7,40.0,above_signal,top_divergence,none,True,False,2026-04-24,,False,False,0.1433,0.1413,0.0038,0.1573,5.6727,5.5154,6.1446,6.3018,低波动,0,45.66,90.86,94.306,94.306,257.0,100.0,allow,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,212.0,,2026-05-15,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0154,0.0,2026-05-15,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"price above old high 5.73 from 2026-02-06, post_breakout=9d, vol_ratio=1.52","[{""pattern_id"": 2, ""reason"": ""price above old high 5.73 from 2026-02-06, post_breakout=9d, vol_ratio=1.52"", ""close"": 5.83, ""old_high_date"": ""2026-02-06"", ""old_high_price"": 5.73, ""days_since_old_high"": 60.0, ""max_drawdown_since_old_high"": 0.1257, ""distance_to_old_high_pct"": -0.0175, ""breakout_date"": ""2026-04-29"", ""breakout_volume_ratio"": 1.5202, ""breakout_close_position"": 0.8261, ""breakout_upper_shadow_pct"": 0.1739, ""breakout_body_pct"": 0.4783, ""breakout_turnover"": 0.0396, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0175, ""days_after_breakout"": 9.0, ""post_breakout_max_high_extension_pct"": 0.0198, ""volume_ratio_20"": 0.5892}]",2026-02-06,5.73,60.0,0.1257,-0.0175,2026-04-29,1.5202,0.8261,0.1739,0.4783,0.0396,low,0.0175,9.0,0.0198,,,,,,0.5892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",79.0,False,2026-05-15,5.83,1
2026-05-15,4,"=""600150""",中国船舶,0.8205,pattern,True,"[""3""]",3,19.85,17.81,79.48,76.86,22.39,62.26,72.23,3.49,33.67,above_signal,none,none,False,False,,,False,False,1.8474,1.8473,0.0002,1.4167,39.1333,37.7166,43.3834,44.8001,中等波动,0,0.0,0.0,79.48,79.48,,100.0,allow,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,1099.0,,2026-05-15,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0358,0.0082,2026-05-15,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"post breakout 10d from 2026-04-28, below old high 40.98, vol_ratio=1.09","[{""pattern_id"": 3, ""reason"": ""post breakout 10d from 2026-04-28, below old high 40.98, vol_ratio=1.09"", ""close"": 40.55, ""old_high_date"": ""2025-08-19"", ""old_high_price"": 40.98, ""days_since_old_high"": 175.0, ""max_drawdown_since_old_high"": 0.2679, ""distance_to_old_high_pct"": 0.0105, ""breakout_date"": ""2026-04-28"", ""breakout_volume_ratio"": 1.0865, ""breakout_close_position"": 0.8077, ""breakout_upper_shadow_pct"": 0.1923, ""breakout_body_pct"": 0.7722, ""breakout_turnover"": 0.0433, ""breakout_turnover_state"": ""low"", ""extension_above_old_high_pct"": 0.0, ""days_after_breakout"": 10.0, ""post_breakout_max_high_extension_pct"": 0.0508, ""volume_ratio_20"": 0.7203}]",2025-08-19,40.98,175.0,0.2679,0.0105,2026-04-28,1.0865,0.8077,0.1923,0.7722,0.0433,low,0.0,10.0,0.0508,,,,,,0.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",317.0,False,2026-05-15,40.55,4
2026-05-15,5,"=""002443""",金洲管道,0.7353,pattern,True,"[""1""]",1,42.62,6.83,74.3,86.02,11.15,25.3,79.23,4.26,27.6,above_signal,none,bullish,False,False,,,True,False,0.758,0.7081,0.0999,0.5256,11.8044,11.2788,13.3812,13.9067,中等波动,0,25.24,0.0,76.3192,76.3192,,100.0,allow,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2174.0,,2026-05-15,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0106,0.0074,2026-05-15,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"near old high 12.62 from 2016-06-21, distance=2.30%, drawdown=67.75%, vol20=1.07","[{""pattern_id"": 1, ""reason"": ""near old high 12.62 from 2016-06-21, distance=2.30%, drawdown=67.75%, vol20=1.07"", ""close"": 12.33, ""old_high_date"": ""2016-06-21"", ""old_high_price"": 12.62, ""days_since_old_high"": 2342.0, ""max_drawdown_since_old_high"": 0.6775, ""distance_to_old_high_pct"": 0.023, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 1.0677}]",2016-06-21,12.62,2342.0,0.6775,0.023,,,,,,,,0.0,,,,,,,,1.0677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""pattern""]",112.0,False,2026-05-15,12.33,3
2026-05-15,6,"=""600338""",西藏珠峰,-2.4357,pattern,True,"[""6""]",6,9.64,42.45,72.42,86.95,12.99,96.63,79.21,6.91,17.03,below_signal,none,none,False,False,,,False,False,1.0029,1.5657,-1.1257,1.4662,19.7638,18.2975,24.1625,25.6287,高波动,0,0.0,24.9,75.408,75.408,,100.0,allow,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,99.0,,2026-05-15,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0225,-0.0244,2026-05-15,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,"double-volume support hold: anchor=2026-04-16 close=20.51, peak=28.28 on 2026-04-30, launch=37.88%, limit_up_like=3, pullback=25.67%, vol_back/front=0.60, pullback_max/rise_tail=1.07, touch=2026-05-15","[{""pattern_id"": 6, ""reason"": ""double-volume support hold: anchor=2026-04-16 close=20.51, peak=28.28 on 2026-04-30, launch=37.88%, limit_up_like=3, pullback=25.67%, vol_back/front=0.60, pullback_max/rise_tail=1.07, touch=2026-05-15"", ""close"": 21.23, ""pullback_low_date"": ""2026-05-15"", ""pullback_low_price"": 21.02, ""peak_to_pullback_drawdown_pct"": 0.2567, ""pullback_back_half_volume_ratio"": 0.5985, ""volume_ratio_20"": 0.7023, ""pattern6_branch"": ""support_hold"", ""anchor_date"": ""2026-04-16"", ""anchor_close"": 20.51, ""support_price"": 20.51, ""anchor_volume_ratio_prev"": 1.255, ""anchor_volume_ratio_ma20"": 2.0199, ""launch_confirm_high_date"": ""2026-04-30"", ""launch_confirm_high_price"": 28.28, ""launch_confirm_return_pct"": 0.3788, ""peak_date"": ""2026-04-30"", ""peak_price"": 28.28, ""anchor_to_peak_return_pct"": 0.3788, ""limit_up_like_count"": 3.0, ""pullback_volume_ratio_to_anchor"": 0.8356, ""pullback_front_half_avg_volume"": 126634066.0, ""pullback_back_half_avg_volume"": 75787687.25, ""rise_tail_avg_volume"": 145385263.3333, ""pullback_max_volume"": 155809867.0, ""pullback_max_rise_tail_volume_ratio"": 1.0717, ""support_touch_date"": ""2026-05-15""}]",,,,,,,,,,,,,,,,2026-05-15,21.02,0.2567,0.5985,,0.7023,,,,,,,,,,,,support_hold,2026-04-16,20.51,20.51,1.255,2.0199,2026-04-30,28.28,0.3788,2026-04-30,28.28,0.3788,3.0,0.8356,126634066.0,75787687.25,145385263.3333,155809867.0,1.0717,2026-05-15,"[""pattern""]",95.0,False,2026-05-15,21.23,1
2026-05-15,7,"=""002840""",华统股份,-3.8462,p8_top5,False,,,12.32,60.03,93.94,62.1,35.46,99.97,32.86,6.84,17.2,below_signal,top_divergence,bearish,True,False,2026-05-13,,False,True,-0.205,0.0978,-0.6056,0.7353,10.0147,9.2793,12.2207,12.956,高波动,1,0.0,60.06,101.1472,101.1472,,100.0,allow,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,2.0,2.0,2026-05-15,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0018,-0.0385,2026-05-15,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""p8_top5""]",942.0,False,2026-05-15,10.75,1
2026-05-15,8,"=""600497""",驰宏锌锗,-8.5478,p8_top5,False,,,3.21,20.02,90.46,36.6,30.09,100.0,88.37,5.11,23.01,above_signal,none,bearish,False,False,,,False,True,0.467,0.3366,0.2609,0.5087,9.4413,8.9325,10.9675,11.4762,中等波动,1,0.0,0.0,90.46,90.46,,100.0,allow,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,1.0,1.0,2026-05-15,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0074,-0.0855,2026-05-15,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""p8_top5""]",2156.0,False,2026-05-15,9.95,1
2026-05-15,9,"=""002597""",金禾实业,1.4463,p8_top5,False,,,94.51,46.64,70.75,75.04,7.3,99.9,70.33,3.38,34.83,above_signal,bottom_divergence,none,False,True,,2026-05-13,False,False,0.1354,-0.0416,0.3539,0.8293,23.7207,22.8914,26.2086,27.0379,中等波动,0,70.98,33.28,80.422,80.422,,100.0,allow,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,4.0,4.0,2026-05-15,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0207,0.0145,2026-05-15,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""p8_top5""]",382.0,False,2026-05-15,24.55,1
2026-05-15,10,"=""601997""",贵阳银行,-1.4901,p8_top5,False,,,34.25,46.67,43.01,40.06,13.88,99.93,76.22,1.52,40.0,golden_cross,none,none,False,False,,,False,False,0.0459,0.0508,-0.0097,0.0903,5.8597,5.7694,6.1306,6.221,低波动,1,8.5,33.34,47.6908,47.6908,,100.0,allow,2026-05-15,logistic_regression,tail_risk_phase1_v1,2026-05-15,lightgbm_classifier,barrier_risk_phase2_v1,2026-05-15,lightgbm_regressor,alpha158_qlib_return_phase4_v1,3.0,3.0,2026-05-15,lightgbm_regressor,limit_up_3d_opportunity_phase8_v1,False,0.0,-0.0149,2026-05-15,naive_bayes,trade_day_gate_phase7_v1,allow,allow,False,Phase7 判断当日买点环境允许交易。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""p8_top5""]",1991.0,False,2026-05-15,5.95,1
