交易日期,编号,名称,涨幅%,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,Pattern,ATR%,建议仓位,长期主线指数,短期主线指数,P9买入分,P4五日均,P4五日std,macd
2026-05-18,"=""000586""",汇源通信,2.9169,轮转预期,西部大开发/专精特新/智能电网/特高压,特高压,61.93,89.59,81.12,93.84,112.0368,,0.07,18.02,86.35,61.76,31.74,72.56,36.6,below_signal
2026-05-18,"=""002842""",翔鹭钨业,-2.0313,轮转预期,金属铜/有色金属-小金属/光伏概念/小金属概念,有色金属-小金属,77.6,78.71,72.39,90.26,108.2272,,0.06,18.13,83.1,25.36,34.95,72.61,26.63,above_signal
2026-05-18,"=""600549""",厦门钨业,0.1124,轮转预期,动力电池回收/金属钴/国企改革/可控核聚变/福建自贸区/宁德时代概念/光伏概念/无人机/小金属概念/锂电池概念/机器人概念/稀土永磁/固态电池/商业航天/军工/海峡两岸/有色金属-小金属,有色金属-小金属,63.29,60.64,88.45,91.9,106.7744,,0.06,20.78,83.1,25.36,34.95,79.55,10.48,below_signal
2026-05-18,"=""002201""",九鼎新材,-0.0783,轮转预期,创投/高铁/风电/建筑材料-玻璃玻纤/比亚迪概念/商业航天,建筑材料-玻璃玻纤,71.91,40.86,79.48,91.23,104.8428,,0.06,18.84,72.25,45.78,29.09,63.45,25.38,below_signal
2026-05-18,"=""002846""",英联股份,-1.126,轮转预期,轻工制造-包装印刷,轻工制造-包装印刷,62.42,53.82,81.69,79.25,94.6556,,0.04,30.71,81.56,29.87,28.76,68.95,24.23,below_signal
2026-05-18,"=""603042""",华脉科技,2.153,轮转预期,互联网金融/智慧城市/智能医疗/物联网/F5G概念/WiFi 6/华为概念/铜缆高速连接/数据中心/光纤概念/5G,WiFi 6,68.03,85.14,41.2,82.13,91.9956,,0.05,22.2,90.04,51.92,33.89,88.07,7.63,above_signal
2026-05-18,"=""002565""",顺灏股份,-4.8936,轮转预期,工业大麻/新型烟草(电子烟)/一带一路/生态农业/轻工制造-包装印刷/卫星导航/商业航天/回购增持再贷款概念/跨境电商/土壤修复/东数西算(算力),轻工制造-包装印刷,78.47,43.54,71.45,77.01,89.1244,,0.08,13.9,81.56,29.87,28.76,40.07,25.08,below_signal
2026-05-18,"=""002335""",科华数据,-0.2064,轮转预期,电力设备-其他电源设备Ⅱ,电力设备-其他电源设备Ⅱ,70.92,61.95,42.7,79.08,87.24,,0.05,24.24,79.28,57.03,28.63,35.6,31.93,above_signal
2026-05-18,"=""600301""",华锡有色,-0.4821,轮转预期,西部大开发/国企改革/DeepSeek概念/金属锌/金属铅/金属铜/小金属概念/有色金属-小金属,有色金属-小金属,66.24,40.6,50.77,78.48,85.1608,,0.06,18.29,83.1,25.36,34.95,67.81,27.49,above_signal
2026-05-18,"=""600143""",金发科技,-0.4569,轮转预期,可降解塑料/碳中和/合成生物/数字经济/氢能源/医疗器械概念/创投/碳纤维/储能/粤港澳大湾区/充电桩/光伏概念/低空经济/PEEK材料/锂电池概念/机器人概念/无人机/特斯拉概念,PEEK材料,63.0,58.57,46.89,76.31,84.9348,,0.03,40.0,89.99,55.15,29.89,64.45,9.7,above_signal
2026-05-18,"=""002202""",金风科技,2.79,轮转预期,电力设备-风电设备/煤化工概念/抽水蓄能/碳交易/新疆振兴/PPP概念/绿色电力/碳中和/创投/风电/污水处理/人工智能/商业航天/工业互联网/独角兽概念/氢能源/储能/智能电网/西部大开发/东数西算(算力)/特高压/柔性直流输电/海工装备,电力设备-风电设备,82.11,56.56,76.0,65.6,80.8896,,0.05,23.89,84.9,45.32,35.62,60.29,5.47,dead_cross
2026-05-18,"=""600590""",泰豪科技,-2.1146,轮转预期,电力物联网/IP经济(谷子经济)/氢能源/军工信息化/国产航母/AI智能体/碳纤维/光伏概念/国防军工-军工电子Ⅱ/区块链/智能医疗/腾讯概念/创投/无人机/燃料电池/华为概念/虚拟现实/储能/一带一路/智能电网/军民融合/低空经济/军工/机器人概念/数据中心/卫星导航/6G概念/太赫兹,6G概念,65.25,86.28,75.8,59.3,77.2872,,0.07,17.88,88.37,65.38,32.67,48.49,22.24,below_signal
