trade_date,candidate_index,symbol,name,pattern_id,macd_cross_state,macd_divergence_state,volume_price_divergence_state,ATR14,ATR%,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,reason,tier,macd_top_divergence_15d,macd_bottom_divergence_15d,stable_score,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,macd,macd_signal_line,macd_hist,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,交易日期,收盘价,连续上榜天数,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,extension_above_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,pullback_max_volume,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_rise_tail_volume_ratio,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days,support_touch_date
2026-05-08,1,"=""600929""",雪天盐业,5,below_signal,bottom_divergence,bullish,0.2898,4.03,6.9102,6.6204,7.7796,8.0694,中等波动,"recent 10d high on 2026-04-22 at 7.30, MA20 touch on 2026-05-08, latest distance=-1.37%, vol5_20=0.77",第一梯队,False,True,7.7597,0.0434,1.3887,2026-04-22,7.3,9.0,-0.0137,0.0085,0.0869,0.0026,0.0262,0.7722,2026-05-08,-0.1305,0.1814,0.2021,-0.0416,2026-04-29,True,False,2026-05-08,7.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,2,"=""603912""",佳力图,1,golden_cross,bottom_divergence,bullish,0.623,5.35,11.017,10.3939,12.8861,13.5091,中等波动,"near old high 11.90 from 2025-08-19, distance=2.18%, drawdown=33.61%, vol20=0.89",第一梯队,False,True,7.1465,,0.8914,,,,,,,,,,,,0.3555,0.2945,0.1219,2026-04-24,True,False,2026-05-08,11.64,1,2025-08-19,11.9,170.0,0.3361,0.0218,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,3,"=""002579""",中京电子,5,below_signal,none,bullish,0.5674,4.28,12.6926,12.1253,14.3947,14.9621,中等波动,"recent 10d high on 2026-04-22 at 13.52, MA20 touch on 2026-05-08, latest distance=-1.92%, vol5_20=0.86",第一梯队,False,False,6.7572,0.0321,0.7552,2026-04-22,13.52,9.0,-0.0192,0.0025,0.0316,0.0024,0.0053,0.8591,2026-05-08,0.112,0.1316,0.1369,-0.0106,,True,False,2026-05-08,13.26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,4,"=""605058""",澳弘电子,5,below_signal,none,bullish,1.6781,4.35,36.8719,35.1937,41.9063,43.5844,中等波动,"recent 10d high on 2026-04-22 at 38.81, MA20 touch on 2026-05-07, latest distance=-0.67%, vol5_20=0.83",第一梯队,False,False,6.7565,0.0578,0.9114,2026-04-22,38.81,9.0,-0.0067,0.0083,0.0569,0.004,0.026,0.8307,2026-05-07,-0.9245,0.7878,0.8291,-0.0826,,True,False,2026-05-08,38.55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,5,"=""002300""",太阳电缆,5,below_signal,none,bullish,0.4516,4.58,9.4084,8.9568,10.7632,11.2148,中等波动,"recent 10d high on 2026-04-23 at 10.89, MA20 touch on 2026-05-07, latest distance=-9.46%, vol5_20=0.84",第一梯队,False,False,6.7542,0.0012,0.6502,2026-04-23,10.89,8.0,-0.0946,0.0033,0.026,0.0024,0.0113,0.841,2026-05-07,-0.2065,0.0171,0.0441,-0.0539,,True,False,2026-05-08,9.86,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,6,"=""003019""",宸展光电,5,golden_cross,none,none,1.265,3.49,34.935,33.67,38.73,39.995,中等波动,"recent 10d high on 2026-04-22 at 36.66, MA20 touch on 2026-05-08, latest distance=-1.25%, vol5_20=0.83",第一梯队,False,False,6.3651,0.0409,0.9849,2026-04-22,36.66,9.0,-0.0125,0.0081,0.0739,0.0027,0.0162,0.8344,2026-05-08,0.2715,0.9887,0.9757,0.026,,False,False,2026-05-08,36.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,7,"=""002012""",凯恩股份,5,golden_cross,none,none,0.2615,3.67,6.8685,6.6069,7.6531,7.9146,中等波动,"recent 10d high on 2026-04-22 at 7.38, MA20 touch on 2026-05-08, latest distance=-3.39%, vol5_20=0.89",第一梯队,False,False,6.3633,0.0283,1.2083,2026-04-22,7.38,9.0,-0.0339,0.0053,0.0292,0.0017,0.017,0.891,2026-05-08,-0.074,0.0242,0.0233,0.0018,,False,False,2026-05-08,7.13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,8,"=""000977""",浪潮信息,5,golden_cross,none,none,3.7242,4.87,72.7558,69.0316,83.9284,87.6526,中等波动,"recent 10d high on 2026-04-27 at 75.99, MA20 touch on 2026-05-08, latest distance=0.64%, vol5_20=0.85",第一梯队,False,False,6.3513,0.0823,1.4731,2026-04-27,75.99,6.0,0.0064,0.0122,0.1228,0.0036,0.0228,0.8501,2026-05-08,0.435,3.0531,2.9273,0.2516,,False,False,2026-05-08,76.48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,9,"=""600343""",航天动力,5,golden_cross,none,none,1.9955,5.19,36.4845,34.4889,42.4711,44.4666,中等波动,"recent 10d high on 2026-04-22 at 38.88, MA20 touch on 2026-05-08, latest distance=-1.03%, vol5_20=0.81",第一梯队,False,False,6.3481,0.1055,1.3774,2026-04-22,38.88,9.0,-0.0103,0.0102,0.0572,0.001,0.0048,0.8106,2026-05-08,-0.2275,0.6645,0.5208,0.2875,,False,False,2026-05-08,38.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,10,"=""601231""",环旭电子,5,golden_cross,none,none,2.5072,6.04,38.9828,36.4755,46.5045,49.0117,高波动,"recent 10d high on 2026-04-22 at 44.89, MA20 touch on 2026-05-07, latest distance=-7.57%, vol5_20=0.85",第一梯队,False,False,6.3396,0.0563,0.7596,2026-04-22,44.89,9.0,-0.0757,0.0111,0.0953,0.0033,0.0404,0.8451,2026-05-07,-0.095,1.05,0.9582,0.1835,,False,False,2026-05-08,41.49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
