trade_date,candidate_index,symbol,name,pattern_id,macd_cross_state,macd_divergence_state,volume_price_divergence_state,ATR14,ATR%,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,建议总仓位%,波动分层,reason,tier,macd_top_divergence_15d,macd_bottom_divergence_15d,stable_score,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,macd,macd_signal_line,macd_hist,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,交易日期,收盘价,连续上榜天数,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,extension_above_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,pullback_max_volume,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_rise_tail_volume_ratio,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days
2026-05-11,1,"=""601179""",中国西电,5,golden_cross,bottom_divergence,none,0.7627,4.21,17.3373,16.5747,19.6253,20.388,27.92,中等波动,"recent 10d high on 2026-04-23 at 18.51, MA20 touch on 2026-05-11, latest distance=-2.22%, vol5_20=0.94",第一梯队,False,True,7.3579,0.0526,1.4408,2026-04-23,18.51,9.0,-0.0222,0.0061,0.0518,0.0025,0.0191,0.937,2026-05-11,0.004,0.2982,0.2784,0.0396,2026-04-30,False,False,2026-05-11,18.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,2,"=""603912""",佳力图,1,above_signal,bottom_divergence,bullish,0.6085,5.29,10.9015,10.293,12.727,13.3356,22.25,中等波动,"near old high 11.90 from 2025-08-19, distance=3.28%, drawdown=33.61%, vol20=0.76",第一梯队,False,True,6.7471,,0.7559,,,,,,,,,,,,0.3802,0.3116,0.137,2026-04-24,True,False,2026-05-11,11.51,2,2025-08-19,11.9,171.0,0.3361,0.0328,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,3,"=""000977""",浪潮信息,5,golden_cross,none,none,3.6468,4.8,72.3532,68.7065,83.2935,86.9403,24.52,中等波动,"recent 10d high on 2026-04-27 at 75.99, MA20 touch on 2026-05-08, latest distance=0.01%, vol5_20=0.85",第一梯队,False,False,6.352,0.0655,1.0883,2026-04-27,75.99,7.0,0.0001,0.0094,0.119,0.0039,0.0245,0.8501,2026-05-08,0.435,3.1334,2.9685,0.3297,,False,False,2026-05-11,76.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,4,"=""002487""",大金重工,5,below_signal,none,none,4.1487,4.88,80.8513,76.7026,93.2974,97.4462,24.1,中等波动,"recent 10d high on 2026-04-28 at 94.18, MA20 touch on 2026-05-11, latest distance=-9.75%, vol5_20=0.87",第一梯队,False,False,5.9512,0.0169,0.8911,2026-04-28,94.18,6.0,-0.0975,0.0081,0.0851,0.0058,0.0582,0.8659,2026-05-11,-2.0055,2.9216,3.5607,-1.2783,,False,False,2026-05-11,85.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,5,"=""002100""",天康生物,1,below_signal,none,bullish,0.3335,4.13,7.7465,7.413,8.747,9.0806,28.5,中等波动,"near old high 8.49 from 2024-05-23, distance=4.88%, drawdown=35.49%, vol20=1.48",第一梯队,False,False,5.7587,,1.4832,,,,,,,,,,,,0.091,0.0927,-0.0035,,True,False,2026-05-11,8.08,1,2024-05-23,8.4948,474.0,0.3549,0.0488,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,6,"=""603458""",勘设股份,1,above_signal,none,bullish,0.5898,4.4,12.8202,12.2304,14.5896,15.1793,26.75,中等波动,"near old high 13.67 from 2026-01-15, distance=1.90%, drawdown=32.19%, vol20=1.26",第一梯队,False,False,5.756,,1.2568,,,,,,,,,,,,0.5505,0.4076,0.2858,,True,False,2026-05-11,13.41,1,2026-01-15,13.67,72.0,0.3219,0.019,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,7,"=""603800""",洪田股份,1,above_signal,none,bullish,2.7658,4.95,53.0742,50.3084,61.3716,64.1374,23.75,中等波动,"near old high 58.71 from 2025-12-25, distance=4.89%, drawdown=41.73%, vol20=1.20",第一梯队,False,False,5.7505,,1.1986,,,,,,,,,,,,3.4282,2.8864,1.0837,,True,False,2026-05-11,55.84,1,2025-12-25,58.71,85.0,0.4173,0.0489,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,8,"=""603757""",大元泵业,1,golden_cross,none,none,3.6616,6.06,56.7884,53.1267,67.7733,71.4349,19.42,高波动,"near old high 62.26 from 2025-08-28, distance=2.91%, drawdown=43.74%, vol20=0.65",第一梯队,False,False,5.3394,,0.6541,,,,,,,,,,,,1.8337,1.6202,0.4272,,False,False,2026-05-11,60.45,1,2025-08-28,62.2623,164.0,0.4374,0.0291,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,9,"=""002111""",威海广泰,1,above_signal,none,none,0.3643,3.16,11.1657,10.8014,12.2586,12.6229,37.23,中等波动,"near old high 12.13 from 2025-03-27, distance=4.92%, drawdown=27.55%, vol20=1.28",第一梯队,False,False,4.9684,,1.2776,,,,,,,,,,,,0.3477,0.145,0.4055,,False,False,2026-05-11,11.53,1,2025-03-27,12.1261,269.0,0.2755,0.0492,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,10,"=""002628""",成都路桥,1,above_signal,none,none,0.2246,3.83,5.6454,5.4208,6.3192,6.5438,30.75,中等波动,"near old high 6.08 from 2025-07-22, distance=3.45%, drawdown=35.03%, vol20=1.13",第一梯队,False,False,4.9617,,1.1256,,,,,,,,,,,,0.1633,0.1352,0.0562,,False,False,2026-05-11,5.87,2,2025-07-22,6.08,191.0,0.3503,0.0345,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
