trade_date,candidate_index,symbol,name,pattern_id,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase8_score_100,phase5_score_100,ATR%,建议总仓位%,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,ATR14,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,phase2_is_cusum_event,phase7_score_100,phase7_trade_permission,phase8_rank,reason,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,extension_above_old_high_pct,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_volume,pullback_max_rise_tail_volume_ratio,support_touch_date,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days,tier,stable_score,交易日期,收盘价,连续上榜天数
2026-05-13,1,"=""600320""",振华重工,5,30.94,32.45,57.05,57.51,13.19,45.67,86.5,2.98,39.44,above_signal,bottom_divergence,none,False,True,2026-04-29,False,False,0.0784,0.067,0.0227,0.1602,5.2098,5.0497,5.6903,5.8505,低波动,1.0,100.0,allow,1556.0,"recent 10d high on 2026-05-06 at 5.53, MA20 touch on 2026-05-13, latest distance=-2.89%, vol5_20=0.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.921,2026-05-06,5.53,5.0,-0.0289,0.002,0.029,0.0002,0.0033,0.9125,2026-05-13,-0.0285,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,6.9702,2026-05-13,5.37,1
2026-05-13,2,"=""001283""",豪鹏科技,5,52.34,52.14,93.51,64.95,19.68,70.65,58.67,3.49,33.75,above_signal,bottom_divergence,none,False,True,2026-04-30,False,False,1.6341,1.6293,0.0096,2.5764,71.3436,68.7672,79.0728,81.6493,中等波动,0.0,100.0,allow,841.0,"recent 10d high on 2026-04-30 at 77.99, MA20 touch on 2026-05-13, latest distance=-5.22%, vol5_20=0.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0161,0.9021,2026-04-30,77.99,6.0,-0.0522,0.003,0.0439,0.0015,0.0104,0.9302,2026-05-13,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,6.9651,2026-05-13,73.92,1
2026-05-13,3,"=""603826""",坤彩科技,5,10.58,7.33,2.21,9.22,6.64,2.48,57.83,4.87,24.17,below_signal,none,none,False,False,,False,False,2.2128,2.3265,-0.2273,1.834,35.846,34.012,41.348,43.1821,中等波动,1.0,100.0,allow,2792.0,"recent 10d high on 2026-04-28 at 37.10, MA20 touch on 2026-05-12, latest distance=1.56%, vol5_20=0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1083,1.1173,2026-04-28,37.1,8.0,0.0156,0.0151,0.1351,0.0126,0.1259,0.7458,2026-05-12,0.3075,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.9513,2026-05-13,37.68,1
2026-05-13,4,"=""000551""",创元科技,1,17.78,10.18,42.89,57.48,21.61,41.4,86.43,3.12,37.67,above_signal,none,bullish,False,False,,True,False,0.8574,0.6028,0.5092,0.5465,16.9535,16.407,18.593,19.1396,中等波动,1.0,100.0,allow,1678.0,"near old high 18.35 from 2025-12-26, distance=4.63%, drawdown=31.83%, vol20=1.04",2025-12-26,18.35,86.0,0.3183,0.0463,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7688,2026-05-13,17.5,1
2026-05-13,5,"=""002111""",威海广泰,1,20.16,20.46,39.81,34.86,22.16,25.4,69.83,3.12,37.7,above_signal,none,bullish,False,False,,True,False,0.4011,0.2321,0.3379,0.3629,11.2671,10.9042,12.3558,12.7187,中等波动,0.0,100.0,allow,2136.0,"near old high 12.13 from 2025-03-27, distance=4.09%, drawdown=27.55%, vol20=0.98",2025-03-27,12.1261,271.0,0.2755,0.0409,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.9805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7688,2026-05-13,11.63,1
2026-05-13,6,"=""002803""",吉宏股份,1,16.11,7.2,9.61,45.37,38.66,2.55,55.66,3.84,30.6,above_signal,none,bullish,False,False,,True,False,1.3366,0.8999,0.8734,0.9031,22.5869,21.6838,25.2962,26.1993,中等波动,1.0,100.0,allow,2790.0,"near old high 24.33 from 2023-06-13, distance=3.45%, drawdown=62.77%, vol20=1.41",2023-06-13,24.33,703.0,0.6277,0.0345,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7616,2026-05-13,23.49,2
2026-05-13,7,"=""002591""",恒大高新,1,9.31,3.08,98.9,50.82,41.4,17.51,72.99,4.38,26.84,above_signal,none,bullish,False,False,,True,False,0.5127,0.3005,0.4244,0.3953,8.6247,8.2293,9.8107,10.206,中等波动,0.0,100.0,allow,2362.0,"near old high 9.44 from 2025-12-31, distance=4.45%, drawdown=33.79%, vol20=1.30",2025-12-31,9.44,83.0,0.3379,0.0445,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7562,2026-05-13,9.02,1
2026-05-13,8,"=""002443""",金洲管道,1,46.58,9.71,95.15,90.13,7.44,43.12,80.79,4.41,26.71,above_signal,none,bullish,False,False,,True,False,0.7419,0.6816,0.1207,0.5246,11.3854,10.8607,12.9593,13.4839,中等波动,0.0,100.0,allow,1629.0,"near old high 12.41 from 2016-10-26, distance=4.03%, drawdown=67.20%, vol20=0.65",2016-10-26,12.41,2256.0,0.672,0.0403,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7559,2026-05-13,11.91,1
2026-05-13,9,"=""002851""",麦格米特,1,12.36,43.67,99.36,48.08,41.84,0.0,57.64,4.52,26.05,above_signal,none,bullish,False,False,,True,False,5.8532,3.1211,5.4641,6.2266,131.6334,125.4068,150.3132,156.5398,中等波动,1.0,100.0,allow,,"near old high 140.39 from 2026-01-28, distance=1.80%, drawdown=33.31%, vol20=1.33",2026-01-28,140.39,65.0,0.3331,0.018,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7548,2026-05-13,137.86,1
2026-05-13,10,"=""600641""",先导基电,1,6.1,6.13,94.64,30.67,33.73,13.07,71.95,4.76,24.7,above_signal,none,bullish,False,False,,True,False,2.2713,2.1452,0.2521,1.3908,27.8092,26.4184,31.9816,33.3723,中等波动,0.0,100.0,allow,2489.0,"near old high 30.15 from 2022-08-08, distance=3.15%, drawdown=69.86%, vol20=0.88",2022-08-08,30.15,908.0,0.6986,0.0315,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.8758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7524,2026-05-13,29.2,1
