trade_date,candidate_index,symbol,name,pattern_id,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase8_score_100,phase5_score_100,ATR%,建议总仓位%,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,ATR14,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,phase2_is_cusum_event,phase7_score_100,phase7_trade_permission,phase8_rank,reason,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,extension_above_old_high_pct,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_volume,pullback_max_rise_tail_volume_ratio,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days,tier,stable_score,交易日期,收盘价,连续上榜天数
2026-05-14,1,"=""002867""",周大生,5,45.16,89.42,18.88,38.89,15.69,99.0,68.1,2.82,40.0,above_signal,bottom_divergence,none,False,True,2026-04-30,False,False,0.2379,0.2348,0.0063,0.3604,12.4296,12.0692,13.5108,13.8713,低波动,0.0,100.0,allow,30.0,"recent 10d high on 2026-04-30 at 13.97, MA20 touch on 2026-05-13, latest distance=-8.45%, vol5_20=0.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.4743,2026-04-30,13.97,7.0,-0.0845,0.004,0.0497,0.0,0.0004,0.759,2026-05-13,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,6.9718,2026-05-14,12.79,1
2026-05-14,2,"=""603270""",金帝股份,1,52.9,47.81,90.53,66.79,25.09,86.24,32.42,3.06,38.45,above_signal,bottom_divergence,bullish,False,True,2026-05-06,True,False,0.8211,0.7028,0.2366,0.8669,27.4631,26.5961,30.0639,30.9308,中等波动,0.0,100.0,allow,401.0,"near old high 29.24 from 2025-08-21, distance=3.11%, drawdown=21.78%, vol20=1.03",2025-08-21,29.2392,172.0,0.2178,0.0311,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,6.7694,2026-05-14,28.33,1
2026-05-14,3,"=""002157""",正邦科技,5,14.09,30.83,52.43,55.86,11.22,46.08,93.78,4.3,27.39,above_signal,none,none,False,False,,False,False,0.0584,0.051,0.0149,0.1486,3.3114,3.1627,3.7573,3.9059,中等波动,1.0,100.0,allow,1569.0,"recent 10d high on 2026-05-07 at 3.68, MA20 touch on 2026-05-14, latest distance=-5.98%, vol5_20=0.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,1.3284,2026-05-07,3.68,5.0,-0.0598,0.0043,0.052,0.0013,0.0067,0.8623,2026-05-14,-0.059,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.957,2026-05-14,3.46,1
2026-05-14,4,"=""603985""",恒润股份,5,9.54,16.07,86.94,47.75,26.37,6.95,69.07,6.46,18.22,below_signal,none,none,False,False,,False,False,1.7427,1.9289,-0.3723,1.7113,24.7887,23.0774,29.9226,31.6338,高波动,1.0,100.0,allow,2707.0,"recent 10d high on 2026-05-07 at 29.60, MA20 touch on 2026-05-13, latest distance=-10.47%, vol5_20=0.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0238,0.5777,2026-05-07,29.6,5.0,-0.1047,0.0094,0.1596,0.0091,0.0983,0.7763,2026-05-13,0.066,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.9354,2026-05-14,26.5,1
2026-05-14,5,"=""603375""",盛景微,1,6.8,6.09,2.68,24.71,33.94,12.0,74.9,4.15,28.32,above_signal,none,bullish,False,False,,True,False,2.3897,1.9484,0.8826,2.0309,46.8491,44.8182,52.9418,54.9727,中等波动,1.0,100.0,allow,2560.0,"near old high 49.70 from 2024-12-13, distance=1.64%, drawdown=43.14%, vol20=1.50",2024-12-13,49.6954,339.0,0.4314,0.0164,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.4996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7585,2026-05-14,48.88,1
2026-05-14,6,"=""002591""",恒大高新,1,24.67,6.7,59.73,62.47,33.28,46.63,71.38,4.36,26.97,above_signal,none,bullish,False,False,,True,False,0.5387,0.3481,0.3811,0.3957,8.6743,8.2786,9.8614,10.257,中等波动,1.0,100.0,allow,1553.0,"near old high 9.44 from 2025-12-31, distance=3.92%, drawdown=33.79%, vol20=1.07",2025-12-31,9.44,84.0,0.3379,0.0392,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7564,2026-05-14,9.07,2
2026-05-14,7,"=""603333""",尚纬股份,1,43.02,35.29,87.14,71.09,18.6,96.42,72.68,3.53,33.34,above_signal,none,none,False,False,,False,False,0.1966,0.1143,0.1646,0.3095,8.4605,8.1511,9.3889,9.6984,中等波动,0.0,100.0,allow,105.0,"near old high 9.22 from 2026-01-09, distance=4.88%, drawdown=21.58%, vol20=1.36",2026-01-09,9.22,79.0,0.2158,0.0488,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.3632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9647,2026-05-14,8.77,1
2026-05-14,8,"=""002443""",金洲管道,1,33.68,4.89,70.61,86.35,10.82,40.72,79.23,4.35,27.06,above_signal,none,none,False,False,,False,False,0.7517,0.6956,0.1122,0.5322,11.7078,11.1757,13.3043,13.8365,中等波动,1.0,100.0,allow,1725.0,"near old high 12.62 from 2016-06-21, distance=3.01%, drawdown=67.75%, vol20=1.21",2016-06-21,12.62,2341.0,0.6775,0.0301,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.2111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9565,2026-05-14,12.24,2
2026-05-14,9,"=""000906""",浙商中拓,2,33.88,60.9,92.8,42.36,29.04,96.46,42.67,3.13,37.54,above_signal,bottom_divergence,none,False,True,2026-04-21,False,False,0.2447,0.1852,0.119,0.2084,6.4416,6.2333,7.0667,7.2751,中等波动,1.0,100.0,allow,104.0,"price above old high 6.38 from 2025-11-14, post_breakout=10d, vol_ratio=1.27",2025-11-14,6.38,117.0,0.1677,-0.0423,2026-04-27,1.2689,0.8837,0.1163,0.3023,0.1054,low,0.0423,10.0,0.0792,,,,,,,,,,,,,,,,,,,,,,,,0.7525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,2.9687,2026-05-14,6.65,1
2026-05-14,10,"=""002805""",丰元股份,2,0.8,0.6,4.62,78.89,37.24,0.14,70.61,5.83,20.16,above_signal,none,bullish,False,False,,True,False,2.1672,1.6214,1.0915,1.4336,23.1364,21.7028,27.4372,28.8708,中等波动,1.0,100.0,allow,2905.0,"price above old high 23.85 from 2025-11-18, post_breakout=6d, vol_ratio=1.07",2025-11-18,23.85,115.0,0.3459,-0.0302,2026-05-06,1.0671,1.0,0.0,0.7627,0.2487,low,0.0302,6.0,0.0859,,,,,,,,,,,,,,,,,,,,,,,,1.2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,2.7417,2026-05-14,24.57,1
2026-05-14,11,"=""002768""",国恩股份,2,31.37,9.17,39.54,51.66,30.66,16.02,81.09,3.79,31.04,above_signal,none,none,False,False,,False,False,2.7932,1.8194,1.9475,2.3204,58.9096,56.5893,65.8707,68.1911,中等波动,0.0,100.0,allow,2443.0,"price above old high 60.98 from 2026-01-27, post_breakout=3d, vol_ratio=1.30",2026-01-27,60.98,67.0,0.2748,-0.0041,2026-05-11,1.3047,0.8072,0.1928,0.6992,0.0567,low,0.0041,3.0,0.037,,,,,,,,,,,,,,,,,,,,,,,,1.0408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.9621,2026-05-14,61.23,3
2026-05-14,12,"=""600790""",轻纺城,2,6.96,66.42,75.19,25.76,25.54,99.69,76.15,3.81,30.88,above_signal,none,none,False,False,,False,False,0.2302,0.1801,0.1002,0.1684,4.2516,4.0832,4.7568,4.9252,中等波动,1.0,100.0,allow,10.0,"price above old high 4.35 from 2025-04-24, post_breakout=6d, vol_ratio=1.18",2025-04-24,4.3479,253.0,0.2165,-0.0166,2026-05-06,1.175,1.0,0.0,0.9318,0.0413,low,0.0166,6.0,0.0866,,,,,,,,,,,,,,,,,,,,,,,,0.9654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.9619,2026-05-14,4.42,1
2026-05-14,13,"=""600854""",春兰股份,2,3.82,3.45,11.18,41.48,45.5,15.58,70.83,3.94,29.82,above_signal,none,none,False,False,,False,False,0.1917,0.1153,0.1527,0.2304,5.6096,5.3793,6.3007,6.5311,中等波动,1.0,100.0,allow,2456.0,"price above old high 5.79 from 2025-11-14, post_breakout=3d, vol_ratio=1.20",2025-11-14,5.79,117.0,0.2038,-0.0086,2026-05-11,1.198,1.0,0.0,0.9444,0.0438,low,0.0086,3.0,0.0906,,,,,,,,,,,,,,,,,,,,,,,,3.0919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.9606,2026-05-14,5.84,1
2026-05-14,14,"=""603290""",斯达半导,2,5.66,2.21,2.51,72.64,35.93,27.34,67.66,4.45,26.42,above_signal,none,none,False,False,,False,False,3.897,1.883,4.0278,5.5418,118.9182,113.3764,135.5436,141.0855,中等波动,0.0,100.0,allow,2114.0,"price above old high 117.06 from 2026-01-28, post_breakout=1d, vol_ratio=1.14",2026-01-28,117.06,66.0,0.1799,-0.0632,2026-05-13,1.1386,1.0,0.0,0.9099,0.0644,low,0.0632,1.0,0.0849,,,,,,,,,,,,,,,,,,,,,,,,2.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.9555,2026-05-14,124.46,1
2026-05-14,15,"=""603222""",济民健康,4,49.82,21.12,80.38,61.49,21.9,82.91,66.09,4.89,24.05,golden_cross,none,none,False,False,,False,False,0.1399,0.1351,0.0097,0.5014,9.7486,9.2473,11.2527,11.7541,中等波动,0.0,100.0,allow,498.0,"duck peak 2026-04-07 at 11.52, neck=29.15%, pullback=20.75%, cross=2026-05-08, vol/pk_tail=0.40",,,,,,,,,,,,,,,,2026-04-07,11.52,24.0,2026-02-24,0.2915,0.3714,2026-04-28,9.13,0.2075,2026-05-08,4.0,5.0,0.0125,0.0207,0.6086,-0.1102,0.4013,0.5923,0.994,0.0,0.0327,2.4768,,0.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81460579.0,,,,,,,第三梯队,1.3511,2026-05-14,10.25,2
2026-05-14,16,"=""605162""",新中港,6,33.91,31.5,90.16,74.64,16.88,23.14,69.03,6.55,17.95,below_signal,none,none,False,False,,False,False,-0.1371,0.0022,-0.2785,0.7577,10.8023,10.0447,13.0753,13.833,高波动,1.0,100.0,allow,2236.0,"double-volume break reclaim: anchor=2026-03-31 support=11.61, peak=15.48 on 2026-04-08, launch=33.33%, limit_up_like=5, pullback_max/rise_tail=0.84, broke=2026-05-06 vol_ratio=0.37, reclaimed=2026-05-07 in 1d",,,,,,,,,,,,,,,,,,,,,,2026-04-30,11.09,0.2836,,,,,,,,,0.4504,,,,,,0.9909,,,,,,,,,,,,break_reclaim,2026-03-31,11.61,11.61,1.1209,1.6448,2026-04-08,15.48,0.3333,2026-04-08,15.48,0.3333,5.0,0.8302,37970096.1818,17102871.8333,62073972.6667,51978014.0,0.8374,2026-05-06,0.3736,2026-05-07,1.0,5.0,第二梯队,3.9345,2026-05-14,11.56,1
2026-05-14,17,"=""600150""",中国船舶,3,14.93,28.36,91.36,69.91,25.65,58.49,72.23,3.49,33.66,above_signal,none,none,False,False,,False,False,1.9482,1.8473,0.2019,1.4057,38.8143,37.4086,43.0314,44.437,中等波动,1.0,100.0,allow,1208.0,"post breakout 9d from 2026-04-28, below old high 40.98, vol_ratio=1.09",2025-08-19,40.98,174.0,0.2679,0.0185,2026-04-28,1.0865,0.8077,0.1923,0.7722,0.0433,low,0.0,9.0,0.0508,,,,,,,,,,,,,,,,,,,,,,,,0.7336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第二梯队,2.9651,2026-05-14,40.22,3
