trade_date,candidate_index,symbol,name,pattern_id,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase8_score_100,phase5_score_100,ATR%,建议总仓位%,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,ATR14,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,phase2_is_cusum_event,phase7_score_100,phase7_trade_permission,phase8_rank,reason,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,extension_above_old_high_pct,days_after_breakout,post_breakout_max_high_extension_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,pullback_back_half_volume_ratio,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_volume,pullback_max_rise_tail_volume_ratio,support_touch_date,tier,stable_score,交易日期,收盘价,连续上榜天数
2026-05-15,1,"=""600203""",福日电子,5,45.97,66.52,90.33,62.64,22.71,78.41,57.19,3.19,36.85,above_signal,none,none,False,False,False,False,0.3565,0.3355,0.042,0.4019,12.1881,11.7863,13.3937,13.7956,中等波动,0.0,100.0,allow,629.0,"recent 10d high on 2026-05-08 at 13.43, MA20 touch on 2026-05-15, latest distance=-6.25%, vol5_20=0.88",,,,,,,,,,,,,,,,,,,,0.0189,0.8389,2026-05-08,13.43,5.0,-0.0625,0.0046,0.0721,0.0005,0.0061,0.8815,2026-05-15,0.123,,,,,,,,,,,,,,,,,,,,,第一梯队,5.9681,2026-05-15,12.59,1
2026-05-15,2,"=""000301""",东方盛虹,5,92.47,40.78,46.45,72.49,28.0,92.92,68.67,3.49,33.72,below_signal,none,none,False,False,False,False,0.3452,0.363,-0.0357,0.4543,12.5657,12.1114,13.9286,14.3829,中等波动,0.0,100.0,allow,207.0,"recent 10d high on 2026-04-30 at 13.48, MA20 touch on 2026-05-14, latest distance=-3.41%, vol5_20=0.85",,,,,,,,,,,,,,,,,,,,0.0242,1.0411,2026-04-30,13.48,8.0,-0.0341,0.0064,0.0781,0.0003,0.0057,0.8541,2026-05-14,0.089,,,,,,,,,,,,,,,,,,,,,第一梯队,5.9651,2026-05-15,13.02,1
2026-05-15,3,"=""603985""",恒润股份,5,7.7,10.28,37.32,52.68,21.13,9.38,69.07,6.49,18.14,below_signal,none,none,False,False,False,False,1.6362,1.8704,-0.4683,1.7548,25.2952,23.5405,30.5595,32.3143,高波动,0.0,100.0,allow,2637.0,"recent 10d high on 2026-05-07 at 29.60, MA20 touch on 2026-05-15, latest distance=-8.61%, vol5_20=0.74",,,,,,,,,,,,,,,,,,,,0.0333,0.7582,2026-05-07,29.6,6.0,-0.0861,0.0114,0.1513,0.0092,0.0982,0.7406,2026-05-15,-0.4095,,,,,,,,,,,,,,,,,,,,,第一梯队,5.9351,2026-05-15,27.05,2
2026-05-15,4,"=""603601""",再升科技,5,61.33,18.61,2.51,25.65,22.52,4.5,63.17,7.92,14.86,above_signal,none,none,False,False,False,False,0.9415,0.9272,0.0285,1.3357,15.5343,14.1985,19.5415,20.8772,高波动,0.0,100.0,allow,2779.0,"recent 10d high on 2026-05-08 at 18.75, MA20 touch on 2026-05-15, latest distance=-10.03%, vol5_20=0.88",,,,,,,,,,,,,,,,,,,,0.0525,0.6553,2026-05-08,18.75,5.0,-0.1003,0.0084,0.0955,0.0062,0.0687,0.8776,2026-05-15,0.061,,,,,,,,,,,,,,,,,,,,,第一梯队,5.9208,2026-05-15,16.87,1
2026-05-15,5,"=""002443""",金洲管道,1,42.62,6.83,74.3,86.02,11.15,25.3,79.23,4.26,27.6,above_signal,none,bullish,False,False,True,False,0.758,0.7081,0.0999,0.5256,11.8044,11.2788,13.3812,13.9067,中等波动,0.0,100.0,allow,2174.0,"near old high 12.62 from 2016-06-21, distance=2.30%, drawdown=67.75%, vol20=1.07",2016-06-21,12.62,2342.0,0.6775,0.023,,,,,,,,0.0,,,,,,,,1.0677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7574,2026-05-15,12.33,3
2026-05-15,6,"=""603375""",盛景微,1,11.65,13.46,4.82,24.47,34.07,28.84,74.9,4.27,27.58,above_signal,none,bullish,False,False,True,False,2.3995,2.0386,0.7217,2.0451,45.8949,43.8497,52.0303,54.0754,中等波动,0.0,100.0,allow,2071.0,"near old high 49.70 from 2024-12-13, distance=3.53%, drawdown=43.14%, vol20=0.99",2024-12-13,49.6954,340.0,0.4314,0.0353,,,,,,,,0.0,,,,,,,,0.9856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7573,2026-05-15,47.94,1
2026-05-15,7,"=""603226""",菲林格尔,1,12.39,7.0,12.62,57.39,28.94,12.41,60.14,4.58,25.71,above_signal,none,bullish,False,False,True,False,2.3395,1.7821,1.1149,2.1667,45.1833,43.0167,51.6833,53.85,中等波动,1.0,100.0,allow,2549.0,"near old high 49.70 from 2025-10-14, distance=4.73%, drawdown=45.01%, vol20=1.16",2025-10-14,49.7,141.0,0.4501,0.0473,,,,,,,,0.0,,,,,,,,1.1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.7542,2026-05-15,47.35,1
2026-05-15,8,"=""600060""",海信视像,1,38.3,15.6,44.14,55.36,15.08,81.02,70.63,2.64,40.0,above_signal,none,none,False,False,False,False,0.6666,0.6363,0.0607,0.6729,24.7971,24.1243,26.8157,27.4886,低波动,0.0,100.0,allow,553.0,"near old high 26.68 from 2025-11-14, distance=4.54%, drawdown=22.04%, vol20=1.26",2025-11-14,26.68,118.0,0.2204,0.0454,,,,,,,,0.0,,,,,,,,1.2645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9736,2026-05-15,25.47,1
2026-05-15,9,"=""002832""",比音勒芬,1,7.16,5.22,33.43,34.54,11.51,73.91,55.87,3.31,35.53,above_signal,none,none,False,False,False,False,0.9577,0.788,0.3395,0.7,20.44,19.74,22.54,23.24,中等波动,0.0,100.0,allow,760.0,"near old high 22.16 from 2024-12-16, distance=4.60%, drawdown=33.48%, vol20=1.19",2024-12-16,22.1594,339.0,0.3348,0.046,,,,,,,,0.0,,,,,,,,1.1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9669,2026-05-15,21.14,1
2026-05-15,10,"=""601918""",新集能源,1,28.59,9.24,35.34,69.98,20.36,34.82,73.46,3.5,33.59,above_signal,none,none,False,False,False,False,0.2861,0.2586,0.0549,0.3096,8.5304,8.2208,9.4592,9.7688,中等波动,0.0,100.0,allow,1897.0,"near old high 9.30 from 2024-10-08, distance=4.97%, drawdown=35.62%, vol20=0.96",2024-10-08,9.3023,388.0,0.3563,0.0497,,,,,,,,0.0,,,,,,,,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.965,2026-05-15,8.84,1
