交易日期,编号,名称,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,长期主线指数,短期主线指数,P9买入分
2026-05-15,"=""600105""",永鼎股份,P9买入Top20,共封装光学(CPO)/超导概念/3D打印/光纤概念/通信-通信设备,3D打印,92.22,2.14,2.85,8.4,8.4,73.62,40.84,32.56
2026-05-15,"=""600487""",亨通光电,P9买入Top20,共封装光学(CPO)/柔性直流输电/6G概念/特高压/F5G概念/光纤概念/通信-通信设备,柔性直流输电,91.92,4.99,14.13,95.08,95.08,79.73,32.79,37.64
2026-05-15,"=""002290""",禾盛新材,短期强度Top20,家用电器-家电零部件Ⅱ,家用电器-家电零部件Ⅱ,91.78,1.34,0.17,1.97,1.97,66.22,60.39,27.62
2026-05-15,"=""601869""",长飞光纤,P9买入Top20,第三代半导体/共封装光学(CPO)/铜缆高速连接/特高压/光纤概念/通信-通信设备,铜缆高速连接,91.43,5.29,14.73,7.56,7.56,96.16,49.68,35.02
2026-05-15,"=""603306""",华懋科技,短期强度Top20,光刻胶,光刻胶,90.41,24.81,15.23,92.34,92.34,79.33,72.87,29.45
2026-05-15,"=""603256""",宏和科技,短期强度Top20,电子-电子化学品Ⅱ,电子-电子化学品Ⅱ,89.7,3.01,12.69,99.83,99.83,93.61,65.97,30.53
2026-05-15,"=""002384""",东山精密,P9买入Top20,共封装光学(CPO)/电子-元件/光纤概念,电子-元件,89.47,0.64,12.29,99.33,99.33,84.92,47.37,37.39
2026-05-15,"=""002980""",华盛昌,短期强度Top20,PM2.5/电力设备-电网设备,PM2.5,88.58,0.23,1.57,6.49,6.49,72.28,52.49,23.36
2026-05-15,"=""001309""",德明利,短期强度Top20,中芯国际概念/电子-半导体/存储芯片/共封装光学(CPO),中芯国际概念,88.55,0.84,3.35,99.2,99.2,85.84,77.77,29.32
2026-05-15,"=""002428""",云南锗业,短期强度Top20,第三代半导体/氟化工概念/光纤概念,氟化工概念,88.55,0.87,5.93,32.33,32.33,78.76,51.23,28.79
2026-05-15,"=""002046""",国机精工,P9买入Top20,中芯国际概念/第三代半导体/工业母机,工业母机,87.42,16.44,36.32,69.08,70.5968,79.32,43.8,32.26
