交易日期,序号,板块类型,板块名称,板块代码,当日涨幅%,成交额加权涨幅%,上涨家数占比,长期主线指数,长期主线排名,短期主线指数,短期主线Top10排名,P9买入分,P9Top10排名,P9排名,入选原因,龙头编号,龙头名称,龙头详细,成员数,有效成员数
2026-05-15,1,概念,新型烟草(电子烟),885899,0.1134,1.0275,0.5,97.15,1,51.52,,30.84,,28.0,长期主线,002565/603626/002957,顺灏股份/科森科技/科瑞技术,"[{""symbol"": ""002565"", ""name"": ""顺灏股份"", ""leader_score"": 88.53, ""combined_leader_score"": 81.09, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""603626"", ""name"": ""科森科技"", ""leader_score"": 85.94, ""combined_leader_score"": 80.4, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002957"", ""name"": ""科瑞技术"", ""leader_score"": 82.06, ""combined_leader_score"": 76.71, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",16,16
2026-05-15,2,概念,铜缆高速连接,886073,-2.0087,-3.6872,0.2143,96.16,2,49.68,,35.02,5.0,6.0,长期主线/P9高买入分,601869/600869/002792,长飞光纤/远东股份/通宇通讯,"[{""symbol"": ""601869"", ""name"": ""长飞光纤"", ""leader_score"": 91.86, ""combined_leader_score"": 91.43, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""600869"", ""name"": ""远东股份"", ""leader_score"": 79.15, ""combined_leader_score"": 78.97, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002792"", ""name"": ""通宇通讯"", ""leader_score"": 74.75, ""combined_leader_score"": 70.79, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/波段活跃候选""}]",14,14
2026-05-15,3,概念,光纤概念,886084,-3.2856,-5.2513,0.1515,94.65,3,47.92,,32.42,,18.0,长期主线,600105/002384/601869,永鼎股份/东山精密/长飞光纤,"[{""symbol"": ""600105"", ""name"": ""永鼎股份"", ""leader_score"": 91.2, ""combined_leader_score"": 88.44, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002384"", ""name"": ""东山精密"", ""leader_score"": 94.22, ""combined_leader_score"": 85.39, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""601869"", ""name"": ""长飞光纤"", ""leader_score"": 87.94, ""combined_leader_score"": 84.56, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",33,33
2026-05-15,4,行业,通信-通信设备,通信-通信设备,-3.4159,-5.0159,0.1,93.97,4,39.27,,32.36,,19.0,长期主线,601869/600105/603083,长飞光纤/永鼎股份/剑桥科技,"[{""symbol"": ""601869"", ""name"": ""长飞光纤"", ""leader_score"": 90.14, ""combined_leader_score"": 86.78, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""600105"", ""name"": ""永鼎股份"", ""leader_score"": 93.62, ""combined_leader_score"": 83.81, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""603083"", ""name"": ""剑桥科技"", ""leader_score"": 78.55, ""combined_leader_score"": 76.84, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",30,30
2026-05-15,5,行业,建筑装饰-装修装饰Ⅱ,建筑装饰-装修装饰Ⅱ,-0.4055,-0.6615,0.3333,93.89,5,44.71,,19.88,,149.0,长期主线,600234/605178/605289,科新发展/时空科技/罗曼股份,"[{""symbol"": ""600234"", ""name"": ""科新发展"", ""leader_score"": 95.04, ""combined_leader_score"": 83.92, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""605178"", ""name"": ""时空科技"", ""leader_score"": 82.03, ""combined_leader_score"": 79.61, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""605289"", ""name"": ""罗曼股份"", ""leader_score"": 79.23, ""combined_leader_score"": 78.74, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",12,12
2026-05-15,6,行业,电子-电子化学品Ⅱ,电子-电子化学品Ⅱ,-0.1553,-4.5536,0.5714,93.61,6,65.97,6.0,30.53,,32.0,长期主线/短期主线,603256/603115/600330,宏和科技/海星股份/天通股份,"[{""symbol"": ""603256"", ""name"": ""宏和科技"", ""leader_score"": 93.51, ""combined_leader_score"": 89.7, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""603115"", ""name"": ""海星股份"", ""leader_score"": 80.64, ""combined_leader_score"": 77.22, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""600330"", ""name"": ""天通股份"", ""leader_score"": 78.76, ""combined_leader_score"": 74.04, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",7,7
2026-05-15,7,概念,共封装光学(CPO),886033,-1.8775,-2.3846,0.2903,92.2,7,54.08,,28.39,,60.0,长期主线,600105/002384/601869,永鼎股份/东山精密/长飞光纤,"[{""symbol"": ""600105"", ""name"": ""永鼎股份"", ""leader_score"": 91.35, ""combined_leader_score"": 84.33, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002384"", ""name"": ""东山精密"", ""leader_score"": 93.45, ""combined_leader_score"": 83.64, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""601869"", ""name"": ""长飞光纤"", ""leader_score"": 86.28, ""combined_leader_score"": 83.06, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",62,62
2026-05-15,8,概念,PET铜箔,886020,-1.88,-4.026,0.25,91.85,8,38.61,,29.5,,41.0,长期主线,601208/600869/603773,东材科技/远东股份/沃格光电,"[{""symbol"": ""601208"", ""name"": ""东材科技"", ""leader_score"": 89.05, ""combined_leader_score"": 83.08, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""600869"", ""name"": ""远东股份"", ""leader_score"": 86.37, ""combined_leader_score"": 79.74, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""603773"", ""name"": ""沃格光电"", ""leader_score"": 76.64, ""combined_leader_score"": 72.79, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/波段活跃候选""}]",20,20
2026-05-15,9,概念,太赫兹,886043,-3.2888,-4.7481,0.0,91.59,9,25.71,,27.61,,78.0,长期主线,601869/600487/002413,长飞光纤/亨通光电/雷科防务,"[{""symbol"": ""601869"", ""name"": ""长飞光纤"", ""leader_score"": 93.44, ""combined_leader_score"": 91.88, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""600487"", ""name"": ""亨通光电"", ""leader_score"": 90.7, ""combined_leader_score"": 84.85, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002413"", ""name"": ""雷科防务"", ""leader_score"": 80.54, ""combined_leader_score"": 66.8, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/波段活跃候选""}]",11,11
2026-05-15,10,概念,F5G概念,885998,-2.7021,-4.5011,0.2857,91.44,10,41.19,,33.08,,15.0,长期主线,603083/600487/002792,剑桥科技/亨通光电/通宇通讯,"[{""symbol"": ""603083"", ""name"": ""剑桥科技"", ""leader_score"": 90.88, ""combined_leader_score"": 87.29, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""600487"", ""name"": ""亨通光电"", ""leader_score"": 90.46, ""combined_leader_score"": 83.92, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002792"", ""name"": ""通宇通讯"", ""leader_score"": 86.46, ""combined_leader_score"": 77.74, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",14,14
